contrast,scenario,metric,label_budget,target_fpr,review_fraction,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPLATE_OOD,dapt_recall,0.25,0.005,0.2,10,0.18796838407494146,0.06772579629569042,0.13952026798125977,0.23641650016862314,0.001953125,2.775432617348235,10,0,0
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPLATE_OOD,dapt_empirical_fpr,0.25,0.005,0.2,10,0.0010245901639344263,0.0014489893057101383,-1.1954342608571289e-05,0.0020611346704774236,0.078125,0.7071067811865476,7,1,2
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPLATE_OOD,assisted_recall,0.25,0.005,0.2,10,0.0801814988290398,0.06985058746287034,0.030213398700132933,0.13014959895794667,0.0078125,1.1479001357241403,8,0,2
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPLATE_OOD,review_precision,0.25,0.005,0.2,10,-0.02273783842136412,0.051282163430688504,-0.05942288818552985,0.013947211342801608,0.216796875,-0.4433868795745314,3,0,7
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPLATE_OOD,capture_rate_of_stage1_fn,0.25,0.005,0.2,10,0.1048642531334677,0.0808318923104478,0.047040600745083073,0.16268790552185233,0.0078125,1.2973128567956789,8,0,2
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_TEMPLATE_OOD,dapt_recall,0.25,0.005,0.2,10,0.24476806903991372,0.08879032715430382,0.18125129532511844,0.308284842754709,0.001953125,2.7566974566333644,10,0,0
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_TEMPLATE_OOD,dapt_empirical_fpr,0.25,0.005,0.2,10,0.0008629989212513483,0.0018719043631528758,-0.0004760807922797669,0.0022020786347824637,0.1953125,0.46102725023717916,7,1,2
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_TEMPLATE_OOD,assisted_recall,0.25,0.005,0.2,10,0.10264293419633227,0.08846763913920574,0.03935699758161708,0.16592887081104746,0.0078125,1.1602314156346074,8,0,2
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_TEMPLATE_OOD,review_precision,0.25,0.005,0.2,10,0.004779002433782964,0.03483409752527972,-0.020139809794797223,0.029697814662363153,0.669921875,0.1371932323010452,4,0,6
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_TEMPLATE_OOD,capture_rate_of_stage1_fn,0.25,0.005,0.2,10,0.1015181173142649,0.07802635262795302,0.04570142711277724,0.15733480751575254,0.0078125,1.301074750966841,8,0,2
PRODUCTIVE_LOOP_25pct_minus_10pct,TEMPORAL,dapt_recall,0.25,0.005,0.2,10,0.2659250000000001,0.11683589214982033,0.18234563768331724,0.3495043623166829,0.001953125,2.2760557146172227,10,0,0
PRODUCTIVE_LOOP_25pct_minus_10pct,TEMPORAL,assisted_recall,0.25,0.005,0.2,10,0.15710000000000002,0.04293247281746325,0.126387959078871,0.18781204092112905,0.001953125,3.659234832988653,10,0,0
PRODUCTIVE_LOOP_25pct_minus_10pct,TEMPORAL,review_precision,0.25,0.005,0.2,10,-0.0040248961511510474,0.07302385937006987,-0.05626301825345189,0.04821322595114979,0.857421875,-0.055117549056859665,5,0,5
PRODUCTIVE_LOOP_25pct_minus_10pct,DOMAIN_OOD,dapt_recall,0.25,0.005,0.2,10,0.3415241057542769,0.13956292847044674,0.2416868010529861,0.44136141045556765,0.001953125,2.4470975888600432,10,0,0
PRODUCTIVE_LOOP_25pct_minus_10pct,DOMAIN_OOD,assisted_recall,0.25,0.005,0.2,10,0.18553654743390358,0.05452933230280424,0.1465286129921595,0.22454448187564766,0.001953125,3.4025090643620834,10,0,0
PRODUCTIVE_LOOP_25pct_minus_10pct,DOMAIN_OOD,review_precision,0.25,0.005,0.2,10,0.033904992781890256,0.05293040190887264,-0.003959135760360201,0.0717691213241407,0.068359375,0.6405580074805141,8,0,2
PRODUCTIVE_LOOP_25pct_minus_10pct,TEMPLATE_OOD,dapt_recall,0.25,0.005,0.2,10,0.26346604215456676,0.11881672237364889,0.1784696792576777,0.3484624050514558,0.001953125,2.217415502558907,10,0,0
PRODUCTIVE_LOOP_25pct_minus_10pct,TEMPLATE_OOD,assisted_recall,0.25,0.005,0.2,10,0.15843091334894613,0.04536280723307542,0.12598031591974782,0.19088151077814444,0.001953125,3.4925288581661955,10,0,0
PRODUCTIVE_LOOP_25pct_minus_10pct,TEMPLATE_OOD,review_precision,0.25,0.005,0.2,10,0.0025419869723790844,0.06604418463067957,-0.044703176603546536,0.0497871505483047,0.892578125,0.03848918699797609,5,0,5
PRODUCTIVE_LOOP_25pct_minus_10pct,DOMAIN_TEMPLATE_OOD,dapt_recall,0.25,0.005,0.2,10,0.3275080906148867,0.14012428714047973,0.22726921411225143,0.427746967117522,0.001953125,2.3372685584944164,10,0,0
PRODUCTIVE_LOOP_25pct_minus_10pct,DOMAIN_TEMPLATE_OOD,assisted_recall,0.25,0.005,0.2,10,0.18942826321467102,0.05664189489264535,0.1489090925349515,0.22994743389439054,0.001953125,3.344313667007409,10,0,0
PRODUCTIVE_LOOP_25pct_minus_10pct,DOMAIN_TEMPLATE_OOD,review_precision,0.25,0.005,0.2,10,0.04105894392048335,0.04987866173489555,0.005377898786969461,0.07673998905399723,0.021484375,0.8231765346614773,9,0,1
