source,target,SHA256,method
90_UNASSIGNED_REVIEW/cascade_results.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/cascade_results.csv,fb452f1482c87508940730cbfa1b105ac7047cee0fd6ef75f372369da13c6d9d,git mv
90_UNASSIGNED_REVIEW/CASCADE_STAGE1_JUSTIFICATION.csv,04_RESULTS/E03_FINAL_N10_PRIMARY/CASCADE_STAGE1_JUSTIFICATION.csv,79b5ac9db626048cfdf28c23b8ec223a7d1af9f7bdc085c39721a01e8ef6ab16,git mv
90_UNASSIGNED_REVIEW/CASCADE_stage1_sensitivity_n10.csv,04_RESULTS/E03_FINAL_N10_PRIMARY/CASCADE_stage1_sensitivity_n10.csv,5b78d254c953d578b97f7fa41ed4064cc588020b935b73233e26bc076a02eabb,git mv
90_UNASSIGNED_REVIEW/CASCADE_stage1_sensitivity_summary_n10.csv,04_RESULTS/E03_FINAL_N10_PRIMARY/CASCADE_stage1_sensitivity_summary_n10.csv,3d99462adb3e1ed3b385d87971cc034aaaa430497c8cc1aba2001a608d83d41b,git mv
90_UNASSIGNED_REVIEW/cascade_summary.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/cascade_summary.csv,375aa8aad2c271a8acc9064747a4e1f0a976070b3530270627fda20ad7b84849,git mv
90_UNASSIGNED_REVIEW/classifier_tuning.csv,04_RESULTS/E01_CORE_FREEZE/classifier_tuning.csv,715b0134527755d75e3bbd427f2a641d1bd01f6d4834dc1900e9f05835375319,git mv
90_UNASSIGNED_REVIEW/configuration.json,04_RESULTS/E01_CORE_FREEZE/configuration.json,7b63177a9b5cec8c200070ede07c54c3efc354ba5d576579365fad72087a4ed1,git mv
90_UNASSIGNED_REVIEW/contrastive_training_history.csv,04_RESULTS/E01_CORE_FREEZE/contrastive_training_history.csv,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,git mv
90_UNASSIGNED_REVIEW/DAPT_E2E_training_history_seed42.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed42.csv,1531cf2f1fe385334840951be62f5752c12a26ee4511dd7805a9da9826e2f77d,git mv
90_UNASSIGNED_REVIEW/DAPT_E2E_training_history_seed52.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed52.csv,5e83cc85829d5eca31672497ed60b0b433c64a70898c3ade683df0f5727c82e0,git mv
90_UNASSIGNED_REVIEW/DAPT_E2E_training_history_seed62.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed62.csv,a00a1768c7a6aec4a88a7d1e9ab948444cd15642c5cb25befa19e431f7407b6c,git mv
90_UNASSIGNED_REVIEW/DAPT_E2E_training_history_seed72.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed72.csv,579522ea949e031a50491bf70cafb92d5b39be4bf6670bd0907673427177e439,git mv
90_UNASSIGNED_REVIEW/DAPT_E2E_training_history_seed82.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/DAPT_E2E_training_history_seed82.csv,707fc1d28ccec232c2465644b5f884d30b6ab3cd6e7b216065042736dd0e3fd8,git mv
90_UNASSIGNED_REVIEW/DAPT_T0_gaps_by_AL_strategy.csv,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/DAPT_T0_gaps_by_AL_strategy.csv,b395100a62ee56678e0deaa28f30f7831a95033470897b82e60b10343f4c4010,git mv
90_UNASSIGNED_REVIEW/effect_confidence_intervals.csv,04_RESULTS/E01_CORE_FREEZE/effect_confidence_intervals.csv,81e665c8a65242b9ea85e37ae0fdc546118d52565ae36fbc5bb584ae6915f3ab,git mv
90_UNASSIGNED_REVIEW/error_complementarity.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/error_complementarity.csv,3aa031a28a62196e7962188acf14e5a18605903aa70d4fc7cd182ea2f4139073,git mv
90_UNASSIGNED_REVIEW/error_complementarity_summary.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/error_complementarity_summary.csv,b6a8a5848dae88b9023129382def2249bd262ff97c99d6afe3b93e578e4c05b7,git mv
90_UNASSIGNED_REVIEW/error_feature_profiles_seed42.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/error_feature_profiles_seed42.csv,43528461900b171c299638d1ec0fbfc1ce417511583f737c834a8bed1036244a,git mv
90_UNASSIGNED_REVIEW/figure_manifest.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/figures/figure_manifest.csv,86d419ec07018aa8845c6ed861b083b78015035bfcf7c69a8925611a0ba8945d,git mv
90_UNASSIGNED_REVIEW/FINAL_FREEZE_COMPLETE.json,04_RESULTS/E01_CORE_FREEZE/FINAL_FREEZE_COMPLETE.json,6bf0a86f5c92e43bacbf97187398d4af36bc6220f574aeac3c0a22288b479485,git mv
90_UNASSIGNED_REVIEW/FINAL_FREEZE_COMPLETE.json,06_LOGS_AUDITS/FINAL_FREEZE_COMPLETE.json,6bf0a86f5c92e43bacbf97187398d4af36bc6220f574aeac3c0a22288b479485,git blob copy
90_UNASSIGNED_REVIEW/FINAL_N10_COMPLETE.json,04_RESULTS/E03_FINAL_N10_PRIMARY/FINAL_N10_COMPLETE.json,522e928e383045decff4a2608aed9b7dfa1ca7d8acee5c9eeae51685c5d5bf9a,git mv
90_UNASSIGNED_REVIEW/FINAL_N10_COMPLETE.json,06_LOGS_AUDITS/FINAL_N10_COMPLETE.json,522e928e383045decff4a2608aed9b7dfa1ca7d8acee5c9eeae51685c5d5bf9a,git blob copy
90_UNASSIGNED_REVIEW/freeze_corrected_results.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/freeze_corrected_results.csv,ad9bcc4057b4065dfaef627fe37b9f80cc4b888e9093dfe485e71d6cb64f41e9,git mv
90_UNASSIGNED_REVIEW/freeze_corrected_summary.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/freeze_corrected_summary.csv,1c92d3344a2809a6f9806d2d547c26cb6dfa166f7d3d234a7d81e7ef1195f952,git mv
90_UNASSIGNED_REVIEW/HYBRID_FREEZE_EXTENSION_COMPLETE.json,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/HYBRID_FREEZE_EXTENSION_COMPLETE.json,bd2728885507710430bf86ecd2452d0d3992928b47d7ef83afa98b9f67293e98,git mv
90_UNASSIGNED_REVIEW/HYBRID_FREEZE_EXTENSION_COMPLETE.json,06_LOGS_AUDITS/HYBRID_FREEZE_EXTENSION_COMPLETE.json,bd2728885507710430bf86ecd2452d0d3992928b47d7ef83afa98b9f67293e98,git blob copy
90_UNASSIGNED_REVIEW/label_budget_audit.csv,04_RESULTS/E01_CORE_FREEZE/label_budget_audit.csv,c356bc5e27b100cf7400c65871b990b209d0650772eb98839cbed5bbbfd72a0f,git mv
90_UNASSIGNED_REVIEW/label_budget_audit.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/label_budget_audit.csv,c356bc5e27b100cf7400c65871b990b209d0650772eb98839cbed5bbbfd72a0f,git blob copy
90_UNASSIGNED_REVIEW/LOOP_acquisition_audit.csv,04_RESULTS/E04_PRODUCTIVE_AL/LOOP_acquisition_audit.csv,fa4c14246fa5cfa091ff4dd0c2324f743f8d10c4f5488eb578b9126a126edbb3,git mv
90_UNASSIGNED_REVIEW/LOOP_acquisition_audit.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_acquisition_audit.csv,fa4c14246fa5cfa091ff4dd0c2324f743f8d10c4f5488eb578b9126a126edbb3,git blob copy
90_UNASSIGNED_REVIEW/LOOP_annotation_efficiency.csv,04_RESULTS/E04_PRODUCTIVE_AL/LOOP_annotation_efficiency.csv,b387ffdad0562169f62c1c6057916e131ee23bcd56af1c63b817da802d9490bf,git mv
90_UNASSIGNED_REVIEW/LOOP_annotation_efficiency.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_annotation_efficiency.csv,b387ffdad0562169f62c1c6057916e131ee23bcd56af1c63b817da802d9490bf,git blob copy
90_UNASSIGNED_REVIEW/LOOP_results_long.csv,04_RESULTS/E04_PRODUCTIVE_AL/LOOP_results_long.csv,f1d0d9193b0dab2ccf7dbbe6f470fc82a965c56e3992bc34ffb02f3ef05dd5f9,git mv
90_UNASSIGNED_REVIEW/LOOP_results_long.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_results_long.csv,f1d0d9193b0dab2ccf7dbbe6f470fc82a965c56e3992bc34ffb02f3ef05dd5f9,git blob copy
90_UNASSIGNED_REVIEW/LOOP_SSL_refresh_ablation.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_SSL_refresh_ablation.csv,772fa1d304b1a533f938bd97f07e7bf74baa71d2899cdc30ef5cfca6ed661075,git mv
90_UNASSIGNED_REVIEW/LOOP_SSL_refresh_statistics.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_SSL_refresh_statistics.csv,b536b185eb76822f8baea6cf4bbce8cf3b8a06d12e99a84d2570b55882bc047a,git mv
90_UNASSIGNED_REVIEW/LOOP_statistics_n10.csv,04_RESULTS/E04_PRODUCTIVE_AL/LOOP_statistics_n10.csv,af361e932af31faa6ee68e60d33915cbb1e5ab3e81450a841c74b0401fe5efd9,git mv
90_UNASSIGNED_REVIEW/LOOP_statistics_n10.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_statistics_n10.csv,af361e932af31faa6ee68e60d33915cbb1e5ab3e81450a841c74b0401fe5efd9,git blob copy
90_UNASSIGNED_REVIEW/LOOP_summary.csv,04_RESULTS/E04_PRODUCTIVE_AL/LOOP_summary.csv,28f041fcd147303d84bdf7b61f90f905a01425d5458c4bafa3841a6d3971107d,git mv
90_UNASSIGNED_REVIEW/LOOP_summary.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_summary.csv,28f041fcd147303d84bdf7b61f90f905a01425d5458c4bafa3841a6d3971107d,git blob copy
90_UNASSIGNED_REVIEW/LOOP_T0_DAPT_same_AL_labels.csv,04_RESULTS/E04_PRODUCTIVE_AL/LOOP_T0_DAPT_same_AL_labels.csv,acce0165dc1cb0b75b6de003264adcdea58521c60e8af09b11064020d01d0024,git mv
90_UNASSIGNED_REVIEW/LOOP_T0_DAPT_same_AL_labels.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_T0_DAPT_same_AL_labels.csv,acce0165dc1cb0b75b6de003264adcdea58521c60e8af09b11064020d01d0024,git blob copy
90_UNASSIGNED_REVIEW/LOOP_T0_DAPT_same_AL_labels_statistics.csv,04_RESULTS/E04_PRODUCTIVE_AL/LOOP_T0_DAPT_same_AL_labels_statistics.csv,123ff76146fa94fc2c833de1cbb380f92884627e82ba86d4c01ed4e343349285,git mv
90_UNASSIGNED_REVIEW/LOOP_T0_DAPT_same_AL_labels_statistics.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/LOOP_T0_DAPT_same_AL_labels_statistics.csv,123ff76146fa94fc2c833de1cbb380f92884627e82ba86d4c01ed4e343349285,git blob copy
90_UNASSIGNED_REVIEW/markdown(9).md eingefügt,06_LOGS_AUDITS/markdown(9).md eingefügt,906dc1aa133dd2f43ed29da0722243c2f5ace696c0658c76a28498572df0638f,git mv
90_UNASSIGNED_REVIEW/MASTER_ap_equal_n_n10.csv,04_RESULTS/E03_FINAL_N10_PRIMARY/MASTER_ap_equal_n_n10.csv,4b8d8f3e5d8a1d8389d727a1501c53b82aef7bda6bf9f982ec75c1a68be65f31,git mv
90_UNASSIGNED_REVIEW/MASTER_ap_n10.csv,04_RESULTS/E03_FINAL_N10_PRIMARY/MASTER_ap_n10.csv,f291e2c5e8f627c64a567fb4c7c072cd9f463b3ccacc0aec66e0a3f4006f4052,git mv
90_UNASSIGNED_REVIEW/MASTER_summary_n10.csv,04_RESULTS/E03_FINAL_N10_PRIMARY/MASTER_summary_n10.csv,abd5168a31406631060a18926712bdb5433bb99ce71a0a9aad235a26db16111b,git mv
90_UNASSIGNED_REVIEW/MASTER_threshold_results_n10.csv,04_RESULTS/E03_FINAL_N10_PRIMARY/MASTER_threshold_results_n10.csv,931dd0e8c7535cc077a3710f3f74c213e7076628620bec0797b5da7f4c5aa5b5,git mv
90_UNASSIGNED_REVIEW/N10_PROGRESS.json,04_RESULTS/E03_FINAL_N10_PRIMARY/N10_PROGRESS.json,292d7e0705d6f59834c7e0771a7e0c620bbe68e0dc4836ed2fe5779d4672a898,git mv
90_UNASSIGNED_REVIEW/N10_RUN_NOTES.txt,04_RESULTS/E03_FINAL_N10_PRIMARY/N10_RUN_NOTES.txt,5c69c09f8115c10c30708e8ea37583ea92e5bc0f6fc17dc6e798a5511064a8c2,git mv
90_UNASSIGNED_REVIEW/phase5.log,06_LOGS_AUDITS/phase5.log,2bcd7473e202ea78d3364f543dda8bb1cf3d3b6f3a5294f4df40ed19eb8119b2,git mv
90_UNASSIGNED_REVIEW/PRODUCTIVE_FINISH_ONLY_COMPLETE.json,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/PRODUCTIVE_FINISH_ONLY_COMPLETE.json,d6dc6f2c9d14e125db57700aa2bce3dbc1379b9d6c0ce0b6c7cf29589b7fd0e6,git mv
90_UNASSIGNED_REVIEW/PRODUCTIVE_FINISH_ONLY_COMPLETE.json,06_LOGS_AUDITS/PRODUCTIVE_FINISH_ONLY_COMPLETE.json,d6dc6f2c9d14e125db57700aa2bce3dbc1379b9d6c0ce0b6c7cf29589b7fd0e6,git blob copy
90_UNASSIGNED_REVIEW/README_DO_NOT_USE_AS_FINAL_EVIDENCE.md,99_LEGACY_PROVENANCE_ONLY/README_DO_NOT_USE_AS_FINAL_EVIDENCE.md,3e37fa3a8ea24db3f34947b4b16202f013fbf03ac4fafe263e7317537a59ebd1,git mv
90_UNASSIGNED_REVIEW/README_INTERACTION.md,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/README_INTERACTION.md,0aa330145f511c07e8df4ee1c0ede4aa8289bda928de3a026599e14434d3e745,git mv
90_UNASSIGNED_REVIEW/README_PENDING.md,04_RESULTS/E07_REPLICATION10_PENDING/README_PENDING.md,2bffc4268c981a208c5dda6eb76d7d6b6994b7f3387b888fa77c1650a05e8c33,git mv
90_UNASSIGNED_REVIEW/REQUIRED_REPRO_ASSETS.md,05_REPRO_ASSETS_EXTERNAL/REQUIRED_REPRO_ASSETS.md,3be0ab37c0cc355ca024337b4155d8ec3237df6cab12de3edc1e785091928255,git mv
90_UNASSIGNED_REVIEW/rescued_b0_false_negatives_seed42.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/rescued_b0_false_negatives_seed42.csv,fc7d4df7b4e90134e2d47986b96effdf787580c09ddd85496b7787a37d6ec286,git mv
90_UNASSIGNED_REVIEW/results_long.csv,04_RESULTS/E01_CORE_FREEZE/results_long.csv,77680db9e4543e93a9db7c2cc7459eea7f80af32b17df0e08c9c3df12e290c75,git mv
90_UNASSIGNED_REVIEW/scenario_regression_audit.json,04_RESULTS/E01_CORE_FREEZE/scenario_regression_audit.json,5dd4d7041d28aab6953c7d483605b99df73d5dddfaea4947dfb268fb4307fc1e,git mv
90_UNASSIGNED_REVIEW/scenario_regression_audit.json,06_LOGS_AUDITS/scenario_regression_audit.json,5dd4d7041d28aab6953c7d483605b99df73d5dddfaea4947dfb268fb4307fc1e,git blob copy
90_UNASSIGNED_REVIEW/scenario_summary.csv,04_RESULTS/E01_CORE_FREEZE/scenario_summary.csv,159bda937b92a78963b070dd25df7766889489ce701a8fdf7214e55a08803cb1,git mv
90_UNASSIGNED_REVIEW/shift_degradation.csv,04_RESULTS/E01_CORE_FREEZE/shift_degradation.csv,9fb15cef318c6cd0d8ca72a9e0708752e9e2ded0f70cfbc1125e34b8637f340f,git mv
90_UNASSIGNED_REVIEW/ssl_effects.csv,04_RESULTS/E01_CORE_FREEZE/ssl_effects.csv,1f637f8fb2081e0f8f5736428106c0c3e3b8f93a9d93c42c54213ebb2df57188,git mv
90_UNASSIGNED_REVIEW/STATISTICS_original5_replication5_pooled10.csv,04_RESULTS/E03_FINAL_N10_PRIMARY/STATISTICS_original5_replication5_pooled10.csv,a18e8ace69d4484cae0306d46626490ae3f034f1e085a9c587814c14f4fcaede,git mv
90_UNASSIGNED_REVIEW/summary_metrics(2).csv,04_RESULTS/E01_CORE_FREEZE/summary_metrics(2).csv,df09af8fd681fd19a997c8c7e7819b9fa4055c6f29525330e672fec6b235539d,git mv
90_UNASSIGNED_REVIEW/system_25pct_results.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/system_25pct_results.csv,62da8999246078840dd9290d0e99fbd3b880f7c0d5d8227498788026eed2d18f,git mv
90_UNASSIGNED_REVIEW/system_25pct_summary.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/system_25pct_summary.csv,7c61db58e82cdef0948f6d4e6db993b91d1520482273c0100d96fa5223ae966c,git mv
90_UNASSIGNED_REVIEW/system_ap_shift_corrected.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/system_ap_shift_corrected.csv,4258f2080532b2d17c63ed7d0b34c273923aa3672e7e0cc8c205618d422c04ba,git mv
90_UNASSIGNED_REVIEW/T0_acquisition_audit.csv,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/audit/T0_acquisition_audit.csv,562cd989eafe64d2335dd954f805a563c8bc3cf91864187158fe46d4c245926e,git mv
90_UNASSIGNED_REVIEW/T0_ACTIVE_LEARNING_results_n10.csv,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/T0_ACTIVE_LEARNING_results_n10.csv,e6589e3bf927b65e02ff788683f1dbdfa8e3d5cc686291c6db284ae61a345363,git mv
90_UNASSIGNED_REVIEW/T0_E2E_training_history_seed42.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/T0_E2E_training_history_seed42.csv,4e4c185316a07754c39ae6178c2d23a30536e232381cf441db1649dd3d8664b0,git mv
90_UNASSIGNED_REVIEW/T0_E2E_training_history_seed52.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/T0_E2E_training_history_seed52.csv,7d1ea5841191002ed27e232c26f1f49b75ec0a1f2ba043be13c048487ed8e5a2,git mv
90_UNASSIGNED_REVIEW/T0_E2E_training_history_seed62.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/T0_E2E_training_history_seed62.csv,d1b1fd72956041005bd9bcd2b4543b56172273a84d0b9c28859e20a6f0c8d6bb,git mv
90_UNASSIGNED_REVIEW/T0_E2E_training_history_seed72.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/T0_E2E_training_history_seed72.csv,4a1dc6b7a46773461e211d3b88c1d1a2617f96ae82f6ddf3126866c8134b4f3d,git mv
90_UNASSIGNED_REVIEW/T0_E2E_training_history_seed82.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/T0_E2E_training_history_seed82.csv,6e5b0b5d292a618f5526bb772e84be9315787584633f56769fd7adae5a067509,git mv
90_UNASSIGNED_REVIEW/TABLE01_primary_interaction_25pct_fpr005.csv,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/tables/TABLE01_primary_interaction_25pct_fpr005.csv,f8a37b8b462e1707562334a49aa3d6e8726d0bd0b504f853c5b396630a2831e4,git mv
90_UNASSIGNED_REVIEW/TABLE01_SSL_refresh_primary.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/tables/TABLE01_SSL_refresh_primary.csv,05538ea5bf878ccfa392cb8b0de3f728ab0684c285689ca888b8ceab474dbad1,git mv
90_UNASSIGNED_REVIEW/TABLE02_SSL_refresh_statistics.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/tables/TABLE02_SSL_refresh_statistics.csv,b536b185eb76822f8baea6cf4bbce8cf3b8a06d12e99a84d2570b55882bc047a,git mv
90_UNASSIGNED_REVIEW/TABLE02_stress_mean_25pct.csv,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/tables/TABLE02_stress_mean_25pct.csv,4fa5a6d193f662606bb6773dafbc2966637f65101c073d6e1740a7e5dacb15e9,git mv
90_UNASSIGNED_REVIEW/TABLE03_stress_mean_interaction_25pct.csv,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/tables/TABLE03_stress_mean_interaction_25pct.csv,7210af4bc2a60f93c08afdcbb641e735ca950ab8f2bab5d90ab94de567331566,git mv
90_UNASSIGNED_REVIEW/TABLE03_T0_DAPT_same_AL_labels.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/tables/TABLE03_T0_DAPT_same_AL_labels.csv,1b0c362f5c791a5e210c29a8e971a72ce6905fc79921273290ef1b7d30c420fc,git mv
90_UNASSIGNED_REVIEW/TABLE04_core_25pct_stress_mean.csv,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/tables/TABLE04_core_25pct_stress_mean.csv,da08be9747dcd0ceee60b83199f8e1643bc9c3397b90da560caccceb9c23c4c9,git mv
90_UNASSIGNED_REVIEW/TABLE04_T0_DAPT_same_AL_labels_statistics.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/tables/TABLE04_T0_DAPT_same_AL_labels_statistics.csv,9df908ec269e1a08a37b26479e5c7b5c43735d0cfd5f4482054a7572755c3759,git mv
90_UNASSIGNED_REVIEW/TABLE05_DAPT_T0_gap_random_vs_uncertainty.csv,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/tables/TABLE05_DAPT_T0_gap_random_vs_uncertainty.csv,b47c8d62def56403be28954eec068967ed9efcc75ee5e02511d13704d0cd2532,git mv
90_UNASSIGNED_REVIEW/TABLE05_productive_loop_summary.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/tables/TABLE05_productive_loop_summary.csv,766163cee87c0c710bda482d076e06c45690dad850d45b114dc246e15d9cd9e0,git mv
90_UNASSIGNED_REVIEW/TABLE06_AL_gain_plot_data.csv,04_RESULTS/E06_AL_SSL_ORIGINAL10/EXTRACTED/tables/TABLE06_AL_gain_plot_data.csv,f237bcba9230ded6d08f816d5724ddcbae15fa314a0d616f128d5cc54be6868b,git mv
90_UNASSIGNED_REVIEW/TABLE06_SSL_refresh_summary.csv,04_RESULTS/E05_SSL_REFRESH_ABLATION/EXTRACTED/tables/TABLE06_SSL_refresh_summary.csv,de73a3e3b4ebf951ead544943832b82fb3f245391a2a90e3ade8d4720972b690,git mv
90_UNASSIGNED_REVIEW/TABLE_cascade_stress_all_fpr.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/TABLE_cascade_stress_all_fpr.csv,9ea233cedd4916167529700e0db80c2fd248fd6824ff70f500140bef1d760ff0,git mv
90_UNASSIGNED_REVIEW/TABLE_error_complementarity_stress.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/TABLE_error_complementarity_stress.csv,3aecace28e19661595348f2e2ffbbaa3efcc584b2d2fec92fcca4752503d4df0,git mv
90_UNASSIGNED_REVIEW/TABLE_freeze_25pct_primary_fpr.csv,04_RESULTS/E02_HYBRID_5SEED_SUPPORT/EXTRACTED/TABLE_freeze_25pct_primary_fpr.csv,3b046d2adfcbdfc51c8ebcda29cd847f499b12d412a035b570adfae68d0f5f11,git mv
