seed,candidate_model,scenario,target_fpr,group,feature,n,mean,median,q25,q75
42,T0_E2E,TEMPORAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,895,1048.0469273743017,721.0,303.5,1644.5
42,T0_E2E,TEMPORAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,895,64.07374301675978,38.0,31.0,80.0
42,T0_E2E,TEMPORAL,0.01,COMMON_FN,text_chars,862,1073.6751740139212,838.0,257.5,2068.75
42,T0_E2E,TEMPORAL,0.01,COMMON_FN,url_chars,862,56.74941995359629,38.0,29.0,79.75
42,T0_E2E,DOMAIN_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,543,1050.9944751381215,817.0,370.5,1508.0
42,T0_E2E,DOMAIN_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,543,64.17311233885819,38.0,31.0,85.0
42,T0_E2E,DOMAIN_OOD,0.01,COMMON_FN,text_chars,512,992.177734375,661.0,221.0,1911.0
42,T0_E2E,DOMAIN_OOD,0.01,COMMON_FN,url_chars,512,53.044921875,34.5,28.0,57.5
42,T0_E2E,TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,822,1066.2676399026764,768.0,353.25,1795.0
42,T0_E2E,TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,822,63.929440389294406,38.0,31.0,80.0
42,T0_E2E,TEMPLATE_OOD,0.01,COMMON_FN,text_chars,764,1098.541884816754,947.5,272.0,2070.5
42,T0_E2E,TEMPLATE_OOD,0.01,COMMON_FN,url_chars,764,55.08769633507853,37.0,29.0,73.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,529,1061.8865784499055,768.0,442.0,1541.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,529,65.13232514177693,38.0,31.0,84.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.01,COMMON_FN,text_chars,541,1084.9463955637707,846.0,274.0,2072.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.01,COMMON_FN,url_chars,541,51.94639556377079,34.0,28.0,54.0
42,T0_E2E,IID_ORIGINAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,176,916.2784090909091,549.0,179.75,1843.5
42,T0_E2E,IID_ORIGINAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,176,58.14204545454545,42.0,28.0,69.0
42,T0_E2E,IID_ORIGINAL,0.02,COMMON_FN,text_chars,252,1173.9404761904761,977.0,278.25,2122.0
42,T0_E2E,IID_ORIGINAL,0.02,COMMON_FN,url_chars,252,87.96428571428571,93.0,56.0,108.0
42,T0_E2E,IID_BALANCED,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,176,916.2784090909091,549.0,179.75,1843.5
42,T0_E2E,IID_BALANCED,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,176,58.14204545454545,42.0,28.0,69.0
42,T0_E2E,IID_BALANCED,0.02,COMMON_FN,text_chars,252,1173.9404761904761,977.0,278.25,2122.0
42,T0_E2E,IID_BALANCED,0.02,COMMON_FN,url_chars,252,87.96428571428571,93.0,56.0,108.0
42,T0_E2E,TEMPORAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,704,1097.3494318181818,1103.5,288.25,1930.5
42,T0_E2E,TEMPORAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,704,68.90625,44.0,31.0,87.0
42,T0_E2E,TEMPORAL,0.02,COMMON_FN,text_chars,561,1161.288770053476,948.0,268.0,2088.0
42,T0_E2E,TEMPORAL,0.02,COMMON_FN,url_chars,561,60.746880570409985,39.0,29.0,89.0
42,T0_E2E,DOMAIN_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,454,1069.2643171806167,1056.5,305.25,1539.5
42,T0_E2E,DOMAIN_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,454,67.89867841409692,43.0,30.0,88.0
42,T0_E2E,DOMAIN_OOD,0.02,COMMON_FN,text_chars,322,1078.552795031056,795.5,226.25,2074.0
42,T0_E2E,DOMAIN_OOD,0.02,COMMON_FN,url_chars,322,55.94409937888199,33.0,28.0,79.5
42,T0_E2E,TEMPLATE_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,635,1127.0094488188977,1109.0,324.5,2028.5
42,T0_E2E,TEMPLATE_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,635,68.80629921259843,43.0,31.0,87.0
42,T0_E2E,TEMPLATE_OOD,0.02,COMMON_FN,text_chars,500,1180.44,1040.5,274.5,2088.5
42,T0_E2E,TEMPLATE_OOD,0.02,COMMON_FN,url_chars,500,59.088,39.0,29.0,88.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,413,1106.6707021791767,1107.0,388.0,1552.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,413,69.02663438256658,43.0,30.0,87.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.02,COMMON_FN,text_chars,363,1178.2754820936639,914.0,284.0,2114.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.02,COMMON_FN,url_chars,363,54.7465564738292,33.0,28.0,74.5
42,DAPT_E2E,IID_ORIGINAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,180,639.2444444444444,337.0,167.25,913.25
42,DAPT_E2E,IID_ORIGINAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,180,56.483333333333334,44.0,32.0,71.5
42,DAPT_E2E,IID_ORIGINAL,0.005,COMMON_FN,text_chars,377,1183.8355437665782,976.0,297.0,2092.0
42,DAPT_E2E,IID_ORIGINAL,0.005,COMMON_FN,url_chars,377,74.59151193633953,68.0,31.0,104.0
42,DAPT_E2E,IID_BALANCED,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,180,639.2444444444444,337.0,167.25,913.25
42,DAPT_E2E,IID_BALANCED,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,180,56.483333333333334,44.0,32.0,71.5
42,DAPT_E2E,IID_BALANCED,0.005,COMMON_FN,text_chars,377,1183.8355437665782,976.0,297.0,2092.0
42,DAPT_E2E,IID_BALANCED,0.005,COMMON_FN,url_chars,377,74.59151193633953,68.0,31.0,104.0
42,DAPT_E2E,TEMPORAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,779,1003.2143774069319,628.0,297.5,1502.0
42,DAPT_E2E,TEMPORAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,779,55.32862644415918,37.0,31.0,69.0
42,DAPT_E2E,TEMPORAL,0.005,COMMON_FN,text_chars,1100,1086.550909090909,894.5,270.75,2072.0
42,DAPT_E2E,TEMPORAL,0.005,COMMON_FN,url_chars,1100,64.34727272727272,40.0,30.0,84.0
42,DAPT_E2E,DOMAIN_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,459,1015.9869281045752,686.0,373.0,1470.5
42,DAPT_E2E,DOMAIN_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,459,55.729847494553375,37.0,31.0,77.0
42,DAPT_E2E,DOMAIN_OOD,0.005,COMMON_FN,text_chars,670,1018.8567164179104,687.0,239.25,1927.5
42,DAPT_E2E,DOMAIN_OOD,0.005,COMMON_FN,url_chars,670,62.332835820895525,37.0,29.0,68.0
42,DAPT_E2E,TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,715,1021.3286713286714,631.0,353.5,1517.0
42,DAPT_E2E,TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,715,55.204195804195805,37.0,31.0,67.0
42,DAPT_E2E,TEMPLATE_OOD,0.005,COMMON_FN,text_chars,985,1110.2873096446701,987.0,276.0,2072.0
42,DAPT_E2E,TEMPLATE_OOD,0.005,COMMON_FN,url_chars,985,61.833502538071066,39.0,29.0,80.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,459,1015.3856209150326,629.0,454.5,1480.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,459,57.233115468409586,37.0,31.0,76.5
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.005,COMMON_FN,text_chars,684,1094.7149122807018,910.5,288.25,2073.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.005,COMMON_FN,url_chars,684,59.97076023391813,36.0,29.0,67.0
42,DAPT_E2E,IID_ORIGINAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,211,785.042654028436,384.0,180.5,1300.0
42,DAPT_E2E,IID_ORIGINAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,211,52.86255924170616,41.0,29.0,63.5
42,DAPT_E2E,IID_ORIGINAL,0.01,COMMON_FN,text_chars,312,1179.423076923077,978.0,279.75,2106.0
42,DAPT_E2E,IID_ORIGINAL,0.01,COMMON_FN,url_chars,312,82.15384615384616,85.0,42.5,107.0
42,DAPT_E2E,IID_BALANCED,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,211,785.042654028436,384.0,180.5,1300.0
42,DAPT_E2E,IID_BALANCED,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,211,52.86255924170616,41.0,29.0,63.5
42,DAPT_E2E,IID_BALANCED,0.01,COMMON_FN,text_chars,312,1179.423076923077,978.0,279.75,2106.0
42,DAPT_E2E,IID_BALANCED,0.01,COMMON_FN,url_chars,312,82.15384615384616,85.0,42.5,107.0
42,DAPT_E2E,TEMPORAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,950,1050.6663157894736,741.0,302.75,1619.5
42,DAPT_E2E,TEMPORAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,950,59.19157894736842,38.0,31.0,76.0
42,DAPT_E2E,TEMPORAL,0.01,COMMON_FN,text_chars,807,1072.3382899628252,823.0,255.0,2056.0
42,DAPT_E2E,TEMPORAL,0.01,COMMON_FN,url_chars,807,61.99752168525403,39.0,29.0,86.0
42,DAPT_E2E,DOMAIN_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,570,1055.2280701754387,983.0,354.25,1508.5
42,DAPT_E2E,DOMAIN_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,570,59.27543859649123,37.0,31.0,84.0
42,DAPT_E2E,DOMAIN_OOD,0.01,COMMON_FN,text_chars,485,983.9278350515464,620.0,221.0,1880.0
42,DAPT_E2E,DOMAIN_OOD,0.01,COMMON_FN,url_chars,485,58.18144329896907,35.0,28.0,63.0
42,DAPT_E2E,TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,867,1071.6908881199538,846.0,354.5,1800.5
42,DAPT_E2E,TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,867,59.445213379469436,38.0,31.0,76.5
42,DAPT_E2E,TEMPLATE_OOD,0.01,COMMON_FN,text_chars,719,1094.0222531293464,890.0,272.5,2063.5
42,DAPT_E2E,TEMPLATE_OOD,0.01,COMMON_FN,url_chars,719,59.941585535465926,39.0,29.0,80.5
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,553,1068.491862567812,942.0,468.0,1535.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,553,59.90958408679928,37.0,31.0,82.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.01,COMMON_FN,text_chars,517,1078.9516441005803,815.0,273.0,2072.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.01,COMMON_FN,url_chars,517,56.92069632495164,34.0,28.0,62.0
42,DAPT_E2E,IID_ORIGINAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,177,904.1242937853108,550.0,180.0,1741.0
42,DAPT_E2E,IID_ORIGINAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,177,54.24858757062147,39.0,27.0,65.0
42,DAPT_E2E,IID_ORIGINAL,0.02,COMMON_FN,text_chars,251,1183.5378486055777,976.0,277.5,2122.0
42,DAPT_E2E,IID_ORIGINAL,0.02,COMMON_FN,url_chars,251,90.82868525896414,94.0,58.0,108.5
42,DAPT_E2E,IID_BALANCED,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,177,904.1242937853108,550.0,180.0,1741.0
42,DAPT_E2E,IID_BALANCED,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,177,54.24858757062147,39.0,27.0,65.0
42,DAPT_E2E,IID_BALANCED,0.02,COMMON_FN,text_chars,251,1183.5378486055777,976.0,277.5,2122.0
42,DAPT_E2E,IID_BALANCED,0.02,COMMON_FN,url_chars,251,90.82868525896414,94.0,58.0,108.5
42,DAPT_E2E,TEMPORAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,716,1118.8030726256984,1107.0,296.0,2066.5
42,DAPT_E2E,TEMPORAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,716,62.94972067039106,40.0,30.0,84.0
42,DAPT_E2E,TEMPORAL,0.02,COMMON_FN,text_chars,549,1134.7067395264116,886.0,256.0,2086.0
42,DAPT_E2E,TEMPORAL,0.02,COMMON_FN,url_chars,549,68.33697632058288,46.0,29.0,96.0
42,DAPT_E2E,DOMAIN_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,460,1079.6717391304348,1063.5,320.25,1542.5
42,DAPT_E2E,DOMAIN_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,460,62.0,38.5,29.0,86.0
42,DAPT_E2E,DOMAIN_OOD,0.02,COMMON_FN,text_chars,316,1063.5791139240507,697.0,224.0,2074.0
42,DAPT_E2E,DOMAIN_OOD,0.02,COMMON_FN,url_chars,316,64.30379746835443,39.0,28.0,89.0
42,DAPT_E2E,TEMPLATE_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,653,1138.689127105666,1111.0,338.0,2076.0
42,DAPT_E2E,TEMPLATE_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,653,63.372128637059724,40.0,30.0,84.0
42,DAPT_E2E,TEMPLATE_OOD,0.02,COMMON_FN,text_chars,482,1166.6120331950208,1037.0,273.5,2089.5
42,DAPT_E2E,TEMPLATE_OOD,0.02,COMMON_FN,url_chars,482,66.08713692946058,43.0,29.0,93.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,431,1127.7633410672854,1109.0,392.0,1869.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,431,64.23897911832947,39.0,30.0,85.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.02,COMMON_FN,text_chars,345,1155.6608695652174,866.0,275.0,2127.0
42,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.02,COMMON_FN,url_chars,345,59.982608695652175,37.0,28.0,85.0
42,DAPT_EMB_MLP,IID_ORIGINAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,118,597.8305084745763,290.0,163.5,799.25
42,DAPT_EMB_MLP,IID_ORIGINAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,118,62.32203389830509,49.5,31.0,84.5
42,DAPT_EMB_MLP,IID_ORIGINAL,0.005,COMMON_FN,text_chars,439,1118.0546697038724,892.0,281.0,2090.0
42,DAPT_EMB_MLP,IID_ORIGINAL,0.005,COMMON_FN,url_chars,439,70.46469248291572,57.0,31.0,100.0
42,DAPT_EMB_MLP,IID_BALANCED,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,118,597.8305084745763,290.0,163.5,799.25
42,DAPT_EMB_MLP,IID_BALANCED,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,118,62.32203389830509,49.5,31.0,84.5
42,DAPT_EMB_MLP,IID_BALANCED,0.005,COMMON_FN,text_chars,439,1118.0546697038724,892.0,281.0,2090.0
42,DAPT_EMB_MLP,IID_BALANCED,0.005,COMMON_FN,url_chars,439,70.46469248291572,57.0,31.0,100.0
42,DAPT_EMB_MLP,TEMPORAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,400,840.29,623.0,343.25,1043.75
42,DAPT_EMB_MLP,TEMPORAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,400,51.945,34.0,31.0,40.0
42,DAPT_EMB_MLP,TEMPORAL,0.005,COMMON_FN,text_chars,1479,1109.2589587559162,1103.0,272.0,2068.0
42,DAPT_EMB_MLP,TEMPORAL,0.005,COMMON_FN,url_chars,1479,62.95131845841785,42.0,30.0,85.0
42,DAPT_EMB_MLP,DOMAIN_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,232,782.9698275862069,623.0,318.25,722.0
42,DAPT_EMB_MLP,DOMAIN_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,232,46.883620689655174,32.0,31.0,38.0
42,DAPT_EMB_MLP,DOMAIN_OOD,0.005,COMMON_FN,text_chars,897,1078.3979933110368,1012.0,272.0,1880.0
42,DAPT_EMB_MLP,DOMAIN_OOD,0.005,COMMON_FN,url_chars,897,62.94983277591973,39.0,30.0,86.0
42,DAPT_EMB_MLP,TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,364,874.1675824175824,623.0,440.5,1073.75
42,DAPT_EMB_MLP,TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,364,50.10989010989011,34.0,31.0,40.0
42,DAPT_EMB_MLP,TEMPLATE_OOD,0.005,COMMON_FN,text_chars,1336,1127.0104790419161,1109.5,285.75,2072.0
42,DAPT_EMB_MLP,TEMPLATE_OOD,0.005,COMMON_FN,url_chars,1336,61.479790419161674,41.0,30.0,84.0
42,DAPT_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,243,820.9958847736625,623.0,494.5,725.0
42,DAPT_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,243,52.72839506172839,33.0,31.0,38.5
42,DAPT_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.005,COMMON_FN,text_chars,900,1128.161111111111,1107.0,296.0,2069.75
42,DAPT_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.005,COMMON_FN,url_chars,900,60.53,39.0,30.0,82.0
42,DAPT_EMB_MLP,IID_ORIGINAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,118,629.7457627118644,285.0,164.75,799.25
42,DAPT_EMB_MLP,IID_ORIGINAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,118,62.55084745762712,53.0,32.0,81.75
42,DAPT_EMB_MLP,IID_ORIGINAL,0.01,COMMON_FN,text_chars,405,1134.1086419753087,935.0,281.0,2090.0
42,DAPT_EMB_MLP,IID_ORIGINAL,0.01,COMMON_FN,url_chars,405,72.60493827160494,61.0,31.0,101.0
42,DAPT_EMB_MLP,IID_BALANCED,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,118,629.7457627118644,285.0,164.75,799.25
42,DAPT_EMB_MLP,IID_BALANCED,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,118,62.55084745762712,53.0,32.0,81.75
42,DAPT_EMB_MLP,IID_BALANCED,0.01,COMMON_FN,text_chars,405,1134.1086419753087,935.0,281.0,2090.0
42,DAPT_EMB_MLP,IID_BALANCED,0.01,COMMON_FN,url_chars,405,72.60493827160494,61.0,31.0,101.0
42,DAPT_EMB_MLP,TEMPORAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,419,848.7494033412888,623.0,290.0,1107.0
42,DAPT_EMB_MLP,TEMPORAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,419,58.105011933174225,34.0,31.0,43.0
42,DAPT_EMB_MLP,TEMPORAL,0.01,COMMON_FN,text_chars,1338,1126.9686098654709,1109.5,275.25,2072.75
42,DAPT_EMB_MLP,TEMPORAL,0.01,COMMON_FN,url_chars,1338,61.224215246636774,42.0,30.0,86.0
42,DAPT_EMB_MLP,DOMAIN_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,245,773.4040816326531,623.0,289.0,741.0
42,DAPT_EMB_MLP,DOMAIN_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,245,55.0,33.0,30.0,39.0
42,DAPT_EMB_MLP,DOMAIN_OOD,0.01,COMMON_FN,text_chars,810,1097.7790123456791,1092.5,272.25,1914.5
42,DAPT_EMB_MLP,DOMAIN_OOD,0.01,COMMON_FN,url_chars,810,59.91358024691358,39.0,29.0,86.0
42,DAPT_EMB_MLP,TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,381,877.0892388451443,623.0,352.0,1143.0
42,DAPT_EMB_MLP,TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,381,56.496062992125985,34.0,31.0,42.0
42,DAPT_EMB_MLP,TEMPLATE_OOD,0.01,COMMON_FN,text_chars,1205,1146.5452282157676,1143.0,290.0,2074.0
42,DAPT_EMB_MLP,TEMPLATE_OOD,0.01,COMMON_FN,url_chars,1205,60.67385892116182,41.0,30.0,85.0
42,DAPT_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,248,830.891129032258,623.0,431.75,1012.25
42,DAPT_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,248,57.11290322580645,33.0,31.0,38.25
42,DAPT_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.01,COMMON_FN,text_chars,822,1146.7554744525548,1112.5,297.25,2074.0
42,DAPT_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.01,COMMON_FN,url_chars,822,58.873479318734795,39.0,29.0,84.0
42,DAPT_EMB_MLP,IID_ORIGINAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,105,778.7619047619048,309.0,163.0,1369.0
42,DAPT_EMB_MLP,IID_ORIGINAL,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,105,66.77142857142857,58.0,39.0,86.0
42,DAPT_EMB_MLP,IID_ORIGINAL,0.02,COMMON_FN,text_chars,323,1162.0061919504644,980.0,276.0,2089.5
42,DAPT_EMB_MLP,IID_ORIGINAL,0.02,COMMON_FN,url_chars,323,78.60371517027863,81.0,33.0,106.5
42,DAPT_EMB_MLP,IID_BALANCED,0.02,B0_FN_RESCUED_BY_CANDIDATE,text_chars,105,778.7619047619048,309.0,163.0,1369.0
42,DAPT_EMB_MLP,IID_BALANCED,0.02,B0_FN_RESCUED_BY_CANDIDATE,url_chars,105,66.77142857142857,58.0,39.0,86.0
