model,label_budget,scenario,target_fpr,recall_mean,recall_std,precision_mean,f1_mean,empirical_fpr_mean,empirical_fpr_std,roc_auc_mean,fit_seconds_mean
B0_STRUCT_XGB,0.25,TEMPLATE_OOD,0.02,0.6750292740046838,0.021793552232015803,0.9713981328558129,0.7963301573345397,0.01993559718969555,0.003909172831492863,0.9415496720557345,0.19026824080028745
B0_STRUCT_XGB,0.25,TEMPORAL,0.005,0.5229999999999999,0.04834540079239989,0.9919912009650751,0.6836629199890789,0.0043,0.0019500712237705007,0.9452281499999999,0.19026824080028745
B0_STRUCT_XGB,0.25,TEMPORAL,0.01,0.59555,0.03741950620257361,0.9863252158252882,0.7420000772003554,0.00835,0.0026671874491473015,0.9452281499999999,0.19026824080028745
B0_STRUCT_XGB,0.25,TEMPORAL,0.02,0.6897249999999999,0.019930242932120316,0.9738288702429548,0.807351150094474,0.018575,0.0030139720930655238,0.9452281499999999,0.19026824080028745
B0_STRUCT_XGB,1.0,DOMAIN_OOD,0.005,0.6034214618973561,0.016675082884831258,0.9947229273865116,0.7510390418763568,0.0032141005702436497,0.0008394648558141435,0.9520938898550163,0.3602382024997496
B0_STRUCT_XGB,1.0,DOMAIN_OOD,0.01,0.646604458268533,0.01045425269014646,0.9908703144917752,0.7825012839003176,0.005961638154484189,0.000559939579955751,0.9520938898550163,0.3602382024997496
B0_STRUCT_XGB,1.0,DOMAIN_OOD,0.02,0.7328667703473302,0.012267783253657193,0.9745184443352514,0.8365314637317895,0.01918092275790565,0.002073613271124935,0.9520938898550163,0.3602382024997496
B0_STRUCT_XGB,1.0,DOMAIN_TEMPLATE_OOD,0.005,0.5830097087378641,0.018142818456926085,0.9943227342498127,0.734880189589434,0.003344120819848975,0.0008734237901108319,0.948477271219754,0.3602382024997496
B0_STRUCT_XGB,1.0,DOMAIN_TEMPLATE_OOD,0.01,0.6306364617044229,0.010974054885342028,0.990265425582282,0.7705032118837951,0.006202804746494067,0.0005825908574620514,0.948477271219754,0.3602382024997496
B0_STRUCT_XGB,1.0,DOMAIN_TEMPLATE_OOD,0.02,0.7229773462783171,0.012531863319108414,0.9745005571394796,0.8300430053989677,0.018932038834951457,0.0019931728230011634,0.948477271219754,0.3602382024997496
B0_STRUCT_XGB,1.0,TEMPLATE_OOD,0.005,0.669115925058548,0.015405934595529636,0.9947487880721821,0.7999703917667943,0.0035421545667447306,0.0006538589214578824,0.9609492447375348,0.3602382024997496
B0_STRUCT_XGB,1.0,TEMPLATE_OOD,0.01,0.706791569086651,0.008504813525477854,0.9920717477154877,0.8254517851674613,0.005649882903981265,0.00036641263379232227,0.9609492447375348,0.3602382024997496
B0_STRUCT_XGB,1.0,TEMPLATE_OOD,0.02,0.7782786885245901,0.009274927869688771,0.9810830747249742,0.867959418703634,0.015017564402810305,0.0015120180069111103,0.9609492447375348,0.3602382024997496
B0_STRUCT_XGB,1.0,TEMPORAL,0.005,0.684975,0.014395914736865823,0.9954328750776071,0.8114432478722394,0.00315,0.0005676462121975466,0.962606215625,0.3602382024997496
B0_STRUCT_XGB,1.0,TEMPORAL,0.01,0.7201500000000001,0.007965376464563504,0.9930042855367894,0.8348249743313547,0.0050750000000000005,0.00040909792362111923,0.962606215625,0.3602382024997496
B0_STRUCT_XGB,1.0,TEMPORAL,0.02,0.787725,0.008871341186339554,0.9827340450970077,0.8744601922731065,0.013850000000000001,0.0014102797200870791,0.962606215625,0.3602382024997496
BASE_XGBOOST,0.1,DOMAIN_OOD,0.005,0.11586314152410575,0.042486763622652246,0.9530696394499831,0.2042508623409022,0.005650596163815449,0.003227728540155885,0.8516949692303847,1.9721094890997848
BASE_XGBOOST,0.1,DOMAIN_OOD,0.01,0.17744945567651632,0.0507776865697778,0.94233979065992,0.2958410215741491,0.010679108346293417,0.0038031949251044867,0.8516949692303847,1.9721094890997848
BASE_XGBOOST,0.1,DOMAIN_OOD,0.02,0.3110938310005184,0.04088084870484061,0.9168360800650153,0.46316644413925595,0.028252980819077244,0.005779157251837099,0.8516949692303847,1.9721094890997848
BASE_XGBOOST,0.1,DOMAIN_TEMPLATE_OOD,0.005,0.11494066882416396,0.041618864567718336,0.9529839944534715,0.20283362254903747,0.005717367853290183,0.0033268704800346284,0.8396193716260012,1.9721094890997848
BASE_XGBOOST,0.1,DOMAIN_TEMPLATE_OOD,0.01,0.17351672060409923,0.05053134351499947,0.9403779786537452,0.290120499076598,0.010895361380798274,0.004002530631958109,0.8396193716260012,1.9721094890997848
BASE_XGBOOST,0.1,DOMAIN_TEMPLATE_OOD,0.02,0.29902912621359223,0.041080829798100515,0.9126804109424398,0.44901591501367155,0.028640776699029126,0.005811742717174101,0.8396193716260012,1.9721094890997848
BASE_XGBOOST,0.1,TEMPLATE_OOD,0.005,0.20562060889929742,0.060863527372998466,0.9757137459582118,0.33585557904845637,0.004859484777517564,0.002391009078187631,0.8815473719553664,1.9721094890997848
BASE_XGBOOST,0.1,TEMPLATE_OOD,0.01,0.27617096018735365,0.057744980839946385,0.9674657479990543,0.4267798426398174,0.009221311475409836,0.0031202726298437708,0.8815473719553664,1.9721094890997848
BASE_XGBOOST,0.1,TEMPLATE_OOD,0.02,0.4060304449648712,0.039958271728265105,0.9469146970401937,0.5672864833280029,0.022804449648711943,0.004080781786232777,0.8815473719553664,1.9721094890997848
BASE_XGBOOST,0.1,TEMPORAL,0.005,0.20259999999999997,0.05812357525135563,0.9748178459736231,0.33193680371848866,0.00515,0.002415804443888435,0.890022590625,1.9721094890997848
BASE_XGBOOST,0.1,TEMPORAL,0.01,0.27490000000000003,0.05364378394143683,0.9675973836804435,0.4256433522017108,0.009174999999999999,0.0025794325388003897,0.890022590625,1.9721094890997848
BASE_XGBOOST,0.1,TEMPORAL,0.02,0.41095,0.03558202573709871,0.9493621225701476,0.5727950544536499,0.0219,0.002993511501750262,0.890022590625,1.9721094890997848
BASE_XGBOOST,0.25,DOMAIN_OOD,0.005,0.1636080870917574,0.04531818958456098,0.9817584703032246,0.278180310800594,0.0030067392431311563,0.0015222198407150677,0.8851081055005844,3.950645880099728
BASE_XGBOOST,0.25,DOMAIN_OOD,0.01,0.2600311041990669,0.0676132549426329,0.9722747863832542,0.40608351408162535,0.0075686884396060135,0.0034142979879670902,0.8851081055005844,3.950645880099728
BASE_XGBOOST,0.25,DOMAIN_OOD,0.02,0.4300155520995334,0.04481865770136723,0.9432517673694779,0.5894635552642659,0.025868325557283568,0.004950985398067546,0.8851081055005844,3.950645880099728
BASE_XGBOOST,0.25,DOMAIN_TEMPLATE_OOD,0.005,0.15701186623516722,0.04207231148852078,0.9810681977643911,0.2686918679983565,0.00302049622437972,0.0015715047381094683,0.8749190793048995,3.950645880099728
BASE_XGBOOST,0.25,DOMAIN_TEMPLATE_OOD,0.01,0.24563106796116502,0.06419999696282297,0.9705596295796379,0.38810944483383053,0.007605177993527508,0.003453212808323481,0.8749190793048995,3.950645880099728
BASE_XGBOOST,0.25,DOMAIN_TEMPLATE_OOD,0.02,0.4065803667745415,0.04774050201174368,0.9400229546556529,0.5661237181097745,0.02594390507011866,0.005213641821433532,0.8749190793048995,3.950645880099728
BASE_XGBOOST,0.25,TEMPLATE_OOD,0.005,0.25992388758782203,0.04630980381302908,0.9884034391312125,0.4096646431087606,0.0031030444964871193,0.0013535160721623498,0.9085186025330584,3.950645880099728
BASE_XGBOOST,0.25,TEMPLATE_OOD,0.01,0.3529566744730679,0.0607258320553789,0.981386003662808,0.5163845128653239,0.006879391100702575,0.002918441925983252,0.9085186025330584,3.950645880099728
BASE_XGBOOST,0.25,TEMPLATE_OOD,0.02,0.49961943793911007,0.03774569826511201,0.9599616057802421,0.6563908554354672,0.020901639344262295,0.0033125505017609596,0.9085186025330584,3.950645880099728
BASE_XGBOOST,0.25,TEMPORAL,0.005,0.261325,0.04659355135399938,0.9880862835062398,0.4113717122701381,0.0032,0.0013112758841847295,0.915906915625,3.950645880099728
BASE_XGBOOST,0.25,TEMPORAL,0.01,0.35910000000000003,0.06269770950982004,0.9812759878658204,0.5228630407892974,0.007000000000000001,0.0028819360776317637,0.915906915625,3.950645880099728
BASE_XGBOOST,0.25,TEMPORAL,0.02,0.5126999999999999,0.03486438010348098,0.9624331970957993,0.668362746104399,0.020025,0.002433704309620761,0.915906915625,3.950645880099728
BASE_XGBOOST,1.0,DOMAIN_OOD,0.005,0.23597719025401762,0.04835702407707665,0.9892298109132467,0.3787332245746948,0.002747537584240539,0.0015465457636263658,0.9187823246236737,11.020092420800301
BASE_XGBOOST,1.0,DOMAIN_OOD,0.01,0.40098496630378433,0.03988094539857811,0.9729455985686245,0.5668403685147536,0.01119751166407465,0.002396895231988899,0.9187823246236737,11.020092420800301
BASE_XGBOOST,1.0,DOMAIN_OOD,0.02,0.5363400725764645,0.025529221571291085,0.9510368126741394,0.6854899244727015,0.027734577501296008,0.004127378922583786,0.9187823246236737,11.020092420800301
BASE_XGBOOST,1.0,DOMAIN_TEMPLATE_OOD,0.005,0.2135382955771305,0.04195921656782409,0.9889342500601609,0.3493879639678209,0.002535059331175836,0.0013704307083897524,0.9114525112035088,11.020092420800301
BASE_XGBOOST,1.0,DOMAIN_TEMPLATE_OOD,0.01,0.3709816612729234,0.04160359980670278,0.9723218076835078,0.535831101806443,0.010571736785329019,0.002053089165569248,0.9114525112035088,11.020092420800301
BASE_XGBOOST,1.0,DOMAIN_TEMPLATE_OOD,0.02,0.5066343042071197,0.02690157049260064,0.9499479708801903,0.6603877128656513,0.026806903991370014,0.003972129685739829,0.9114525112035088,11.020092420800301
BASE_XGBOOST,1.0,TEMPLATE_OOD,0.005,0.3312353629976581,0.043016797166001326,0.9934513227613412,0.4953483762749591,0.0022833723653395786,0.0012014632296347685,0.9356836062831475,11.020092420800301
BASE_XGBOOST,1.0,TEMPLATE_OOD,0.01,0.4706967213114754,0.031405745630871576,0.9822994898586197,0.635849872974977,0.008518735362997657,0.0015517983935244232,0.9356836062831475,11.020092420800301
BASE_XGBOOST,1.0,TEMPLATE_OOD,0.02,0.5805620608899298,0.022165832687294867,0.9659791543045608,0.7249816628694085,0.020521077283372366,0.0030373886182365997,0.9356836062831475,11.020092420800301
BASE_XGBOOST,1.0,TEMPORAL,0.005,0.340175,0.046322548205190744,0.9941556327273002,0.5052354514817511,0.0021,0.0011438239957848994,0.9417321093750001,11.020092420800301
BASE_XGBOOST,1.0,TEMPORAL,0.01,0.48760000000000003,0.03115489973949168,0.9842357618569219,0.6515738511603736,0.00785,0.0015509853498842454,0.9417321093750001,11.020092420800301
BASE_XGBOOST,1.0,TEMPORAL,0.02,0.59925,0.021072296188756227,0.9696963189291885,0.7405056293884016,0.0188,0.002950517845320641,0.9417321093750001,11.020092420800301
