scenario,target_fpr,candidate_model,base_empirical_fpr_mean,candidate_empirical_fpr_mean,candidate_minus_base_fpr_mean,base_fn_mean,candidate_fn_mean,rescued_b0_fn_mean,regressed_b0_tp_mean,fn_rescue_rate_mean,fn_jaccard_mean,base_fp_mean,candidate_fp_mean,new_fp_vs_b0_mean,avoided_b0_fp_mean,fp_jaccard_mean
DOMAIN_TEMPLATE_OOD,0.01,DAPT_E2E,0.00895361380798274,0.008198489751887809,-0.0007551240560949305,1018.0,789.4,410.0,181.4,0.4032277335940176,0.5064863015583854,16.6,15.2,12.8,14.2,0.0626068376068376
DOMAIN_TEMPLATE_OOD,0.01,DAPT_EMB_MLP,0.00895361380798274,0.009600862998921251,0.0006472491909385114,1018.0,1243.8,223.0,448.8,0.22023070973927542,0.5418884163311694,16.6,17.8,16.0,14.8,0.05117408906882591
DOMAIN_TEMPLATE_OOD,0.01,T0_E2E,0.00895361380798274,0.00819848975188781,-0.0007551240560949304,1018.0,888.4,370.0,240.4,0.36145394184923874,0.5154544899360335,16.6,15.2,12.4,13.8,0.08821862348178137
DOMAIN_TEMPLATE_OOD,0.02,BASE_EMB_MLP,0.023624595469255664,0.026429341963322545,0.0028047464940668823,783.6,970.2,252.0,438.6,0.3213232969988984,0.43538861091419523,43.8,49.0,42.6,37.4,0.07130043047883358
DOMAIN_TEMPLATE_OOD,0.02,CONTRASTIVE_EMB_MLP,0.023624595469255664,0.018985976267529667,-0.004638619201725998,783.6,1292.6,174.8,683.8,0.22174978755746574,0.4148249945506258,43.8,35.2,32.4,41.0,0.03598850204498877
DOMAIN_TEMPLATE_OOD,0.02,DAPT_E2E,0.023624595469255664,0.017583603020496226,-0.00604099244875944,783.6,561.4,360.2,138.0,0.46026026261600883,0.45864794326329417,43.8,32.6,25.0,36.2,0.10673604253231225
DOMAIN_TEMPLATE_OOD,0.02,DAPT_EMB_MLP,0.023624595469255664,0.021143473570658038,-0.0024811218985976275,783.6,1041.0,205.8,463.2,0.26032933039138684,0.46359945311274053,43.8,39.2,34.4,39.0,0.06014069417061065
DOMAIN_TEMPLATE_OOD,0.02,T0_E2E,0.023624595469255664,0.020819848975188782,-0.0028047464940668828,783.6,629.2,329.0,174.6,0.42120150283812546,0.4728318085052014,43.8,38.6,30.2,35.4,0.11072550066103652
IID_BALANCED,0.005,BASE_EMB_MLP,0.00718336483931947,0.005103969754253308,-0.002079395085066162,576.4,685.8,107.2,216.6,0.1860004140807445,0.5916174053800841,7.6,5.4,5.2,7.4,0.015384615384615385
IID_BALANCED,0.005,CONTRASTIVE_EMB_MLP,0.00718336483931947,0.00945179584120983,0.00226843100189036,576.4,859.8,62.6,346.0,0.1092863498812872,0.5576741054458996,7.6,10.0,8.6,6.2,0.07411477411477412
IID_BALANCED,0.005,DAPT_E2E,0.00718336483931947,0.010207939508506616,0.003024574669187146,576.4,497.0,172.6,93.2,0.30017600375591924,0.6033739053464505,7.6,10.8,7.2,4.0,0.24563936063936062
IID_BALANCED,0.005,DAPT_EMB_MLP,0.00718336483931947,0.007561436672967864,0.00037807183364839376,576.4,724.8,108.8,257.2,0.18916671896307805,0.5617157284747579,7.6,8.0,6.0,5.6,0.14705882352941177
IID_BALANCED,0.005,T0_E2E,0.00718336483931947,0.010775047258979206,0.0035916824196597355,576.4,512.8,166.0,102.4,0.288404445977043,0.604122455912459,7.6,11.4,7.4,3.6,0.28332419214772153
IID_BALANCED,0.01,BASE_EMB_MLP,0.010586011342155009,0.011720226843100189,0.0011342155009451795,521.4,594.4,119.6,192.6,0.2289272198437126,0.5636617124589681,11.2,12.4,10.4,9.2,0.09370681605975724
IID_BALANCED,0.01,CONTRASTIVE_EMB_MLP,0.010586011342155009,0.015500945179584122,0.004914933837429112,521.4,784.8,73.8,337.2,0.14111568519844248,0.5217851210852779,11.2,16.4,13.8,8.6,0.10191534391534392
IID_BALANCED,0.01,DAPT_E2E,0.010586011342155009,0.016635160680529303,0.006049149338374291,521.4,414.0,176.0,68.6,0.3382972917963529,0.5858827237687223,11.2,17.6,11.6,5.2,0.2587037037037037
IID_BALANCED,0.01,DAPT_EMB_MLP,0.010586011342155009,0.014744801512287334,0.004158790170132326,521.4,621.2,114.2,214.0,0.21906827159798095,0.555136259309889,11.2,15.6,11.6,7.2,0.1758095238095238
IID_BALANCED,0.01,T0_E2E,0.010586011342155009,0.017013232514177697,0.006427221172022685,521.4,430.0,172.8,81.4,0.33107631951340055,0.5793165241609153,11.2,18.0,12.0,5.2,0.26101611395259305
IID_BALANCED,0.02,BASE_EMB_MLP,0.02060491493383743,0.02570888468809074,0.005103969754253308,434.6,493.2,110.4,169.0,0.2541250042975665,0.5374059767109387,21.8,27.2,20.8,15.4,0.1535475051264525
IID_BALANCED,0.02,CONTRASTIVE_EMB_MLP,0.02060491493383743,0.028166351606805296,0.007561436672967864,434.6,670.6,86.0,322.0,0.1974798172074821,0.46120434159654444,21.8,29.8,25.2,17.2,0.09604520112304234
IID_BALANCED,0.02,DAPT_E2E,0.02060491493383743,0.02438563327032136,0.003780718336483932,434.6,331.0,152.2,48.6,0.35038431933416236,0.5848142239726005,21.8,25.8,16.0,12.0,0.2650051993670507
IID_BALANCED,0.02,DAPT_EMB_MLP,0.02060491493383743,0.03232514177693761,0.01172022684310019,434.6,504.6,100.4,170.4,0.23086042023368564,0.5531764498205869,21.8,34.2,26.4,14.0,0.1650489326877174
IID_BALANCED,0.02,T0_E2E,0.02060491493383743,0.02646502835538752,0.005860113421550095,434.6,346.0,151.4,62.8,0.3487343108424861,0.5697100029542501,21.8,28.0,17.8,11.6,0.2584964343500929
IID_ORIGINAL,0.005,BASE_EMB_MLP,0.005920722528850978,0.005218263923733066,-0.000702458605117913,576.4,685.8,107.2,216.6,0.1860004140807445,0.5916174053800841,11.8,10.4,10.2,11.6,0.011764705882352941
IID_ORIGINAL,0.005,CONTRASTIVE_EMB_MLP,0.005920722528850978,0.007325639739086803,0.0014049172102358252,576.4,859.8,62.6,346.0,0.1092863498812872,0.5576741054458996,11.8,14.6,13.2,10.4,0.0476984126984127
IID_ORIGINAL,0.005,DAPT_E2E,0.005920722528850978,0.007526342197691921,0.0016056196688409429,576.4,497.0,172.6,93.2,0.30017600375591924,0.6033739053464505,11.8,15.0,11.4,8.2,0.15447007894066717
IID_ORIGINAL,0.005,DAPT_EMB_MLP,0.005920722528850978,0.006221776216758655,0.00030105368790767664,576.4,724.8,108.8,257.2,0.18916671896307805,0.5617157284747579,11.8,12.4,10.4,9.8,0.08410052910052909
IID_ORIGINAL,0.005,T0_E2E,0.005920722528850978,0.007927747114902158,0.002007024586051179,576.4,512.8,166.0,102.4,0.288404445977043,0.604122455912459,11.8,15.8,11.8,7.8,0.17221586575133485
IID_ORIGINAL,0.01,BASE_EMB_MLP,0.008830908178625188,0.011741093828399399,0.00291018564977421,521.4,594.4,119.6,192.6,0.2289272198437126,0.5636617124589681,17.6,23.4,21.2,15.4,0.05665958337357931
IID_ORIGINAL,0.01,CONTRASTIVE_EMB_MLP,0.008830908178625188,0.013146011038635223,0.004315102860010035,521.4,784.8,73.8,337.2,0.14111568519844248,0.5217851210852779,17.6,26.2,23.4,14.8,0.06687992648968259
IID_ORIGINAL,0.01,DAPT_E2E,0.008830908178625188,0.014049172102358254,0.005218263923733066,521.4,414.0,176.0,68.6,0.3382972917963529,0.5858827237687223,17.6,28.0,21.6,11.2,0.15774053684107608
IID_ORIGINAL,0.01,DAPT_EMB_MLP,0.008830908178625188,0.012644254892122429,0.00381334671349724,521.4,621.2,114.2,214.0,0.21906827159798095,0.555136259309889,17.6,25.2,21.0,13.4,0.10869489639827563
IID_ORIGINAL,0.01,T0_E2E,0.008830908178625188,0.014049172102358254,0.005218263923733066,521.4,430.0,172.8,81.4,0.33107631951340055,0.5793165241609153,17.6,28.0,21.8,11.4,0.15848712690817954
IID_ORIGINAL,0.02,BASE_EMB_MLP,0.018665328650275967,0.024586051179126944,0.0059207225288509776,434.6,493.2,110.4,169.0,0.2541250042975665,0.5374059767109387,37.2,49.0,41.6,29.8,0.09380018730601022
IID_ORIGINAL,0.02,CONTRASTIVE_EMB_MLP,0.018665328650275967,0.026091319618665332,0.007425990968389362,434.6,670.6,86.0,322.0,0.1974798172074821,0.46120434159654444,37.2,52.0,47.0,32.2,0.05799610146956402
IID_ORIGINAL,0.02,DAPT_E2E,0.018665328650275967,0.022579026593075764,0.003913697942799799,434.6,331.0,152.2,48.6,0.35038431933416236,0.5848142239726005,37.2,45.0,32.8,25.0,0.1736572468544897
IID_ORIGINAL,0.02,DAPT_EMB_MLP,0.018665328650275967,0.027496236828901156,0.008830908178625188,434.6,504.6,100.4,170.4,0.23086042023368564,0.5531764498205869,37.2,54.8,46.0,28.4,0.10710562991264745
IID_ORIGINAL,0.02,T0_E2E,0.018665328650275967,0.025087807325639738,0.006422478675363772,434.6,346.0,151.4,62.8,0.3487343108424861,0.5697100029542501,37.2,50.0,37.0,24.2,0.17464869574130065
TEMPLATE_OOD,0.005,BASE_EMB_MLP,0.005152224824355972,0.0052693208430913355,0.00011709601873536304,1743.4,2276.8,319.4,852.8,0.1817975633424508,0.5478531499215873,17.6,18.0,16.8,16.4,0.0387433951950081
TEMPLATE_OOD,0.005,CONTRASTIVE_EMB_MLP,0.005152224824355972,0.0055620608899297425,0.0004098360655737707,1743.4,2636.2,240.6,1133.4,0.14091681638722314,0.5214009219196863,17.6,19.0,19.0,17.6,0.0
TEMPLATE_OOD,0.005,DAPT_E2E,0.005152224824355972,0.005035128805620609,-0.0001170960187353626,1743.4,1498.2,631.2,386.0,0.36296492734775543,0.5205435638461151,17.6,17.2,14.4,14.8,0.0940432659827131
TEMPLATE_OOD,0.005,DAPT_EMB_MLP,0.005152224824355972,0.004625292740046838,-0.0005269320843091336,1743.4,2265.2,289.4,811.2,0.16412947640001452,0.5697749246627006,17.6,15.8,15.0,16.8,0.029634615384615388
TEMPLATE_OOD,0.005,T0_E2E,0.005152224824355972,0.004274004683840749,-0.0008782201405152223,1743.4,1635.6,567.2,459.4,0.32667455404778256,0.5308472352465764,17.6,14.6,11.8,14.8,0.09508273703041145
TEMPLATE_OOD,0.01,BASE_EMB_MLP,0.008021077283372365,0.011416861826697893,0.0033957845433255267,1522.4,1868.8,409.8,756.2,0.26923881817144646,0.4881921546017877,27.4,39.0,35.2,23.6,0.057536489614802865
TEMPLATE_OOD,0.01,CONTRASTIVE_EMB_MLP,0.008021077283372365,0.008489461358313816,0.00046838407494145145,1522.4,2390.4,282.2,1150.2,0.18648206920862426,0.46419688874406606,27.4,29.0,28.4,26.8,0.010505319148936171
TEMPLATE_OOD,0.01,DAPT_E2E,0.008021077283372365,0.010245901639344263,0.0022248243559718967,1522.4,1125.0,666.2,268.8,0.43862017497785877,0.47755328167882194,27.4,35.0,28.0,20.4,0.1227326884715401
TEMPLATE_OOD,0.01,DAPT_EMB_MLP,0.008021077283372365,0.008372365339578455,0.00035128805620608867,1522.4,1958.0,344.0,779.6,0.22706291783433982,0.5116711300786004,27.4,28.6,25.2,24.0,0.06601730112491824
TEMPLATE_OOD,0.01,T0_E2E,0.008021077283372365,0.009660421545667448,0.0016393442622950817,1522.4,1274.8,608.0,360.4,0.3975749701921792,0.4863807277959351,27.4,33.0,26.4,20.8,0.12026583060062793
TEMPLATE_OOD,0.02,BASE_EMB_MLP,0.018325526932084307,0.021311475409836068,0.002985948477751757,1155.8,1504.6,368.2,717.0,0.3185883979109748,0.4210532257265486,62.6,72.8,61.6,51.4,0.08894040317528903
TEMPLATE_OOD,0.02,CONTRASTIVE_EMB_MLP,0.018325526932084307,0.017388758782201405,-0.0009367681498829037,1155.8,2070.4,263.8,1178.4,0.22782164352077752,0.38243930873490556,62.6,59.4,54.4,57.6,0.042262836457335765
TEMPLATE_OOD,0.02,DAPT_E2E,0.018325526932084307,0.019262295081967213,0.0009367681498829037,1155.8,792.4,557.8,194.4,0.48348412689619735,0.44234737325313633,62.6,65.8,50.0,46.8,0.14167468407736059
TEMPLATE_OOD,0.02,DAPT_EMB_MLP,0.018325526932084307,0.017857142857142856,-0.0004683840749414511,1155.8,1600.6,310.0,754.8,0.2654274985662027,0.44311042340306067,62.6,61.0,51.4,53.0,0.08500218771928239
TEMPLATE_OOD,0.02,T0_E2E,0.018325526932084307,0.020140515222482436,0.0018149882903981264,1155.8,895.2,517.0,256.4,0.4490267512847952,0.4514955609188608,62.6,68.8,53.0,46.8,0.13900501960617845
TEMPORAL,0.005,BASE_EMB_MLP,0.0046,0.00515,0.0005500000000000001,1958.8,2624.8,363.6,1029.6,0.18411375886186804,0.5329888312398319,18.4,20.6,19.4,17.2,0.03540781040781041
TEMPORAL,0.005,CONTRASTIVE_EMB_MLP,0.0046,0.0059499999999999996,0.00135,1958.8,3099.6,272.2,1413.0,0.14205120348442543,0.4990716018330241,18.4,23.8,23.8,18.4,0.0
TEMPORAL,0.005,DAPT_E2E,0.0046,0.0058,0.0012000000000000001,1958.8,1736.0,711.4,488.6,0.3640553553131415,0.5078531341060806,18.4,23.2,20.0,15.2,0.08411301440251856
TEMPORAL,0.005,DAPT_EMB_MLP,0.0046,0.0047,0.00010000000000000009,1958.8,2600.2,335.2,976.6,0.1694386820594467,0.553493858572614,18.4,18.8,17.8,17.4,0.0355119825708061
TEMPORAL,0.005,T0_E2E,0.0046,0.0053,0.0007000000000000001,1958.8,1876.2,641.0,558.4,0.3289865979337286,0.520212104467179,18.4,21.2,18.2,15.4,0.08785464282936477
TEMPORAL,0.01,BASE_EMB_MLP,0.007300000000000001,0.0113,0.003999999999999999,1702.6,2135.6,463.6,896.6,0.2722161012812506,0.4767892185962149,29.2,45.2,41.4,25.4,0.05064680919002991
TEMPORAL,0.01,CONTRASTIVE_EMB_MLP,0.007300000000000001,0.0098,0.0024999999999999996,1702.6,2796.2,319.2,1412.8,0.18842816509942073,0.4441061904778545,29.2,39.2,38.2,28.2,0.014355611601513241
TEMPORAL,0.01,DAPT_E2E,0.007300000000000001,0.01205,0.004749999999999999,1702.6,1283.0,746.8,327.2,0.4396915991598756,0.4703632609033536,29.2,48.2,40.6,21.6,0.10435692192934731
TEMPORAL,0.01,DAPT_EMB_MLP,0.007300000000000001,0.0087,0.0013999999999999998,1702.6,2218.4,393.8,909.6,0.23247573752799083,0.5005350189540481,29.2,34.8,31.2,25.6,0.06162107452523365
TEMPORAL,0.01,T0_E2E,0.007300000000000001,0.01195,0.00465,1702.6,1450.0,682.0,429.4,0.39879877644436484,0.4793342796115464,29.2,47.8,40.6,22.0,0.09951952217921756
TEMPORAL,0.02,BASE_EMB_MLP,0.017099999999999997,0.0214,0.0043,1292.2,1692.0,418.4,818.2,0.32378299640690206,0.41468418341644586,68.4,85.6,73.0,55.8,0.08861065013359254
TEMPORAL,0.02,CONTRASTIVE_EMB_MLP,0.017099999999999997,0.019950000000000002,0.0028499999999999997,1292.2,2400.6,304.2,1412.6,0.23489119842980827,0.3654973709508255,68.4,79.8,73.6,62.2,0.043226222977506015
TEMPORAL,0.02,DAPT_E2E,0.017099999999999997,0.0217,0.0046,1292.2,905.6,620.4,233.8,0.48112349692771356,0.43942529851828444,68.4,86.8,68.8,50.4,0.1317164996190794
TEMPORAL,0.02,DAPT_EMB_MLP,0.017099999999999997,0.018,0.0008999999999999994,1292.2,1787.2,355.0,850.0,0.2724002144003117,0.4381583627289941,68.4,72.0,62.2,58.6,0.07643368841752896
TEMPORAL,0.02,T0_E2E,0.017099999999999997,0.0229,0.0058000000000000005,1292.2,1008.2,577.4,293.4,0.448581906710895,0.4497914658443666,68.4,91.6,73.8,50.6,0.12691513510921174
