representation,classifier,seed,label_budget,target_fpr,comparison,n_each_test,iid_ap,ood_ap,ap_delta_ood_minus_iid,iid_empirical_fpr,ood_empirical_fpr,empirical_fpr_delta
BASE,LOGREG,42,0.1,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9037980924555247,0.8804328071886078,-0.023365285266916835,0.01606805293005671,0.021739130434782608,0.0056710775047258966
BASE,LOGREG,42,0.25,0.005,IID_BALANCED->TEMPORAL,2116,0.9177763846888436,0.9300433618034504,0.01226697711460678,0.000945179584120983,0.001890359168241966,0.000945179584120983
BASE,LOGREG,42,0.25,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.9177763846888436,0.9187999264700449,0.0010235417812013425,0.000945179584120983,0.002835538752362949,0.0018903591682419662
BASE,LOGREG,42,0.25,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.9177763846888436,0.927084086948244,0.009307702259400363,0.000945179584120983,0.001890359168241966,0.000945179584120983
BASE,LOGREG,42,0.25,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9177763846888436,0.9093792478717413,-0.008397136817102302,0.000945179584120983,0.001890359168241966,0.000945179584120983
BASE,LOGREG,42,0.25,0.01,IID_BALANCED->TEMPORAL,2116,0.9177763846888436,0.9300433618034504,0.01226697711460678,0.004725897920604915,0.008506616257088847,0.0037807183364839316
BASE,LOGREG,42,0.25,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.9177763846888436,0.9187999264700449,0.0010235417812013425,0.004725897920604915,0.010396975425330813,0.005671077504725898
BASE,LOGREG,42,0.25,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.9177763846888436,0.927084086948244,0.009307702259400363,0.004725897920604915,0.007561436672967864,0.002835538752362949
BASE,LOGREG,42,0.25,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9177763846888436,0.9093792478717413,-0.008397136817102302,0.004725897920604915,0.007561436672967864,0.002835538752362949
BASE,LOGREG,42,0.25,0.02,IID_BALANCED->TEMPORAL,2116,0.9177763846888436,0.9300433618034504,0.01226697711460678,0.01890359168241966,0.01984877126654064,0.0009451795841209816
BASE,LOGREG,42,0.25,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.9177763846888436,0.9187999264700449,0.0010235417812013425,0.01890359168241966,0.026465028355387523,0.007561436672967863
BASE,LOGREG,42,0.25,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.9177763846888436,0.927084086948244,0.009307702259400363,0.01890359168241966,0.024574669187145556,0.0056710775047258966
BASE,LOGREG,42,0.25,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9177763846888436,0.9093792478717413,-0.008397136817102302,0.01890359168241966,0.021739130434782608,0.0028355387523629483
BASE,LOGREG,42,1.0,0.005,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.001890359168241966,0.001890359168241966,0.0
BASE,LOGREG,42,1.0,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.001890359168241966,0.004725897920604915,0.002835538752362949
BASE,LOGREG,42,1.0,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.001890359168241966,0.000945179584120983,-0.000945179584120983
BASE,LOGREG,42,1.0,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.001890359168241966,0.004725897920604915,0.002835538752362949
BASE,LOGREG,42,1.0,0.01,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.005671077504725898,0.007561436672967864,0.0018903591682419658
BASE,LOGREG,42,1.0,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.005671077504725898,0.013232514177693762,0.007561436672967863
BASE,LOGREG,42,1.0,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.005671077504725898,0.006616257088846881,0.0009451795841209825
BASE,LOGREG,42,1.0,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.005671077504725898,0.008506616257088847,0.0028355387523629483
BASE,LOGREG,42,1.0,0.02,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.013232514177693762,0.011342155009451797,-0.001890359168241965
BASE,LOGREG,42,1.0,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.013232514177693762,0.01984877126654064,0.00661625708884688
BASE,LOGREG,42,1.0,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.013232514177693762,0.015122873345935728,0.0018903591682419667
BASE,LOGREG,42,1.0,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.013232514177693762,0.01890359168241966,0.005671077504725898
BASE,LOGREG,52,0.1,0.005,IID_BALANCED->TEMPORAL,2116,0.8993387007893024,0.9077305932935623,0.008391892504259868,0.010396975425330813,0.008506616257088847,-0.0018903591682419667
BASE,LOGREG,52,0.1,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.8993387007893024,0.8863302837120643,-0.0130084170772381,0.010396975425330813,0.008506616257088847,-0.0018903591682419667
BASE,LOGREG,52,0.1,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.8993387007893024,0.9000148875528355,0.0006761867635330931,0.010396975425330813,0.005671077504725898,-0.004725897920604915
BASE,LOGREG,52,0.1,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.8993387007893024,0.8751438782568317,-0.02419482253247074,0.010396975425330813,0.005671077504725898,-0.004725897920604915
BASE,LOGREG,52,0.1,0.01,IID_BALANCED->TEMPORAL,2116,0.8993387007893024,0.9077305932935623,0.008391892504259868,0.013232514177693762,0.012287334593572778,-0.0009451795841209833
BASE,LOGREG,52,0.1,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.8993387007893024,0.8863302837120643,-0.0130084170772381,0.013232514177693762,0.015122873345935728,0.0018903591682419667
BASE,LOGREG,52,0.1,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.8993387007893024,0.9000148875528355,0.0006761867635330931,0.013232514177693762,0.010396975425330813,-0.0028355387523629483
BASE,LOGREG,52,0.1,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.8993387007893024,0.8751438782568317,-0.02419482253247074,0.013232514177693762,0.008506616257088847,-0.004725897920604915
BASE,LOGREG,52,0.1,0.02,IID_BALANCED->TEMPORAL,2116,0.8993387007893024,0.9077305932935623,0.008391892504259868,0.01890359168241966,0.01606805293005671,-0.0028355387523629483
BASE,LOGREG,52,0.1,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.8993387007893024,0.8863302837120643,-0.0130084170772381,0.01890359168241966,0.022684310018903593,0.0037807183364839334
BASE,LOGREG,52,0.1,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.8993387007893024,0.9000148875528355,0.0006761867635330931,0.01890359168241966,0.023629489603024575,0.004725897920604915
BASE,LOGREG,52,0.1,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.8993387007893024,0.8751438782568317,-0.02419482253247074,0.01890359168241966,0.01984877126654064,0.0009451795841209816
BASE,LOGREG,52,0.25,0.005,IID_BALANCED->TEMPORAL,2116,0.9116633850872597,0.9322090986087559,0.020545713521496145,0.007561436672967864,0.010396975425330813,0.002835538752362949
BASE,LOGREG,52,0.25,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.9116633850872597,0.9279719776602933,0.01630859257303352,0.007561436672967864,0.006616257088846881,-0.0009451795841209833
BASE,LOGREG,52,0.25,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.9116633850872597,0.9274488636392574,0.015785478551997634,0.007561436672967864,0.008506616257088847,0.0009451795841209825
BASE,LOGREG,52,0.25,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9116633850872597,0.919329792149719,0.007666407062459246,0.007561436672967864,0.005671077504725898,-0.0018903591682419658
BASE,LOGREG,52,0.25,0.01,IID_BALANCED->TEMPORAL,2116,0.9116633850872597,0.9322090986087559,0.020545713521496145,0.012287334593572778,0.014177693761814745,0.0018903591682419667
BASE,LOGREG,52,0.25,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.9116633850872597,0.9279719776602933,0.01630859257303352,0.012287334593572778,0.015122873345935728,0.00283553875236295
BASE,LOGREG,52,0.25,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.9116633850872597,0.9274488636392574,0.015785478551997634,0.012287334593572778,0.017013232514177693,0.004725897920604915
BASE,LOGREG,52,0.25,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9116633850872597,0.919329792149719,0.007666407062459246,0.012287334593572778,0.011342155009451797,-0.0009451795841209816
BASE,LOGREG,52,0.25,0.02,IID_BALANCED->TEMPORAL,2116,0.9116633850872597,0.9322090986087559,0.020545713521496145,0.024574669187145556,0.01890359168241966,-0.0056710775047258966
BASE,LOGREG,52,0.25,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.9116633850872597,0.9279719776602933,0.01630859257303352,0.024574669187145556,0.021739130434782608,-0.0028355387523629483
BASE,LOGREG,52,0.25,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.9116633850872597,0.9274488636392574,0.015785478551997634,0.024574669187145556,0.027410207939508508,0.0028355387523629517
BASE,LOGREG,52,0.25,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9116633850872597,0.919329792149719,0.007666407062459246,0.024574669187145556,0.023629489603024575,-0.0009451795841209816
BASE,LOGREG,52,1.0,0.005,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.001890359168241966,0.001890359168241966,0.0
BASE,LOGREG,52,1.0,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.001890359168241966,0.004725897920604915,0.002835538752362949
BASE,LOGREG,52,1.0,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.001890359168241966,0.000945179584120983,-0.000945179584120983
BASE,LOGREG,52,1.0,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.001890359168241966,0.004725897920604915,0.002835538752362949
BASE,LOGREG,52,1.0,0.01,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.005671077504725898,0.007561436672967864,0.0018903591682419658
BASE,LOGREG,52,1.0,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.005671077504725898,0.013232514177693762,0.007561436672967863
BASE,LOGREG,52,1.0,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.005671077504725898,0.006616257088846881,0.0009451795841209825
BASE,LOGREG,52,1.0,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.005671077504725898,0.008506616257088847,0.0028355387523629483
BASE,LOGREG,52,1.0,0.02,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.013232514177693762,0.011342155009451797,-0.001890359168241965
BASE,LOGREG,52,1.0,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.013232514177693762,0.01984877126654064,0.00661625708884688
BASE,LOGREG,52,1.0,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.013232514177693762,0.015122873345935728,0.0018903591682419667
BASE,LOGREG,52,1.0,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.013232514177693762,0.01890359168241966,0.005671077504725898
BASE,LOGREG,62,0.1,0.005,IID_BALANCED->TEMPORAL,2116,0.9039167477242702,0.9161063655596648,0.012189617835394628,0.006616257088846881,0.004725897920604915,-0.0018903591682419658
BASE,LOGREG,62,0.1,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.9039167477242702,0.8814643648994417,-0.022452382824828532,0.006616257088846881,0.008506616257088847,0.0018903591682419658
BASE,LOGREG,62,0.1,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.9039167477242702,0.9065142028280665,0.0025974551037962756,0.006616257088846881,0.006616257088846881,0.0
BASE,LOGREG,62,0.1,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9039167477242702,0.878584365780112,-0.02533238194415821,0.006616257088846881,0.007561436672967864,0.0009451795841209833
BASE,LOGREG,62,0.1,0.01,IID_BALANCED->TEMPORAL,2116,0.9039167477242702,0.9161063655596648,0.012189617835394628,0.008506616257088847,0.004725897920604915,-0.0037807183364839316
BASE,LOGREG,62,0.1,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.9039167477242702,0.8814643648994417,-0.022452382824828532,0.008506616257088847,0.012287334593572778,0.0037807183364839316
BASE,LOGREG,62,0.1,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.9039167477242702,0.9065142028280665,0.0025974551037962756,0.008506616257088847,0.011342155009451797,0.00283553875236295
BASE,LOGREG,62,0.1,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9039167477242702,0.878584365780112,-0.02533238194415821,0.008506616257088847,0.00945179584120983,0.0009451795841209833
BASE,LOGREG,62,0.1,0.02,IID_BALANCED->TEMPORAL,2116,0.9039167477242702,0.9161063655596648,0.012189617835394628,0.021739130434782608,0.01984877126654064,-0.0018903591682419667
BASE,LOGREG,62,0.1,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.9039167477242702,0.8814643648994417,-0.022452382824828532,0.021739130434782608,0.027410207939508508,0.0056710775047259
BASE,LOGREG,62,0.1,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.9039167477242702,0.9065142028280665,0.0025974551037962756,0.021739130434782608,0.020793950850661626,-0.0009451795841209816
BASE,LOGREG,62,0.1,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9039167477242702,0.878584365780112,-0.02533238194415821,0.021739130434782608,0.022684310018903593,0.0009451795841209851
BASE,LOGREG,62,0.25,0.005,IID_BALANCED->TEMPORAL,2116,0.9100901729147833,0.9302843514273655,0.020194178512582206,0.002835538752362949,0.001890359168241966,-0.0009451795841209831
BASE,LOGREG,62,0.25,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.9100901729147833,0.8998806514933304,-0.010209521421452927,0.002835538752362949,0.004725897920604915,0.0018903591682419658
BASE,LOGREG,62,0.25,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.9100901729147833,0.9207115050086604,0.010621332093877056,0.002835538752362949,0.002835538752362949,0.0
BASE,LOGREG,62,0.25,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9100901729147833,0.8971781370712817,-0.012912035843501646,0.002835538752362949,0.002835538752362949,0.0
BASE,LOGREG,62,0.25,0.01,IID_BALANCED->TEMPORAL,2116,0.9100901729147833,0.9302843514273655,0.020194178512582206,0.006616257088846881,0.007561436672967864,0.0009451795841209833
BASE,LOGREG,62,0.25,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.9100901729147833,0.8998806514933304,-0.010209521421452927,0.006616257088846881,0.01606805293005671,0.00945179584120983
BASE,LOGREG,62,0.25,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.9100901729147833,0.9207115050086604,0.010621332093877056,0.006616257088846881,0.007561436672967864,0.0009451795841209833
BASE,LOGREG,62,0.25,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9100901729147833,0.8971781370712817,-0.012912035843501646,0.006616257088846881,0.011342155009451797,0.004725897920604916
BASE,LOGREG,62,0.25,0.02,IID_BALANCED->TEMPORAL,2116,0.9100901729147833,0.9302843514273655,0.020194178512582206,0.017013232514177693,0.023629489603024575,0.006616257088846882
BASE,LOGREG,62,0.25,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.9100901729147833,0.8998806514933304,-0.010209521421452927,0.017013232514177693,0.036862003780718335,0.01984877126654064
BASE,LOGREG,62,0.25,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.9100901729147833,0.9207115050086604,0.010621332093877056,0.017013232514177693,0.030245746691871456,0.013232514177693763
BASE,LOGREG,62,0.25,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9100901729147833,0.8971781370712817,-0.012912035843501646,0.017013232514177693,0.034026465028355386,0.017013232514177693
BASE,LOGREG,62,1.0,0.005,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.001890359168241966,0.001890359168241966,0.0
BASE,LOGREG,62,1.0,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.001890359168241966,0.004725897920604915,0.002835538752362949
BASE,LOGREG,62,1.0,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.001890359168241966,0.000945179584120983,-0.000945179584120983
BASE,LOGREG,62,1.0,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.001890359168241966,0.004725897920604915,0.002835538752362949
BASE,LOGREG,62,1.0,0.01,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.005671077504725898,0.007561436672967864,0.0018903591682419658
BASE,LOGREG,62,1.0,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.005671077504725898,0.013232514177693762,0.007561436672967863
BASE,LOGREG,62,1.0,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.005671077504725898,0.006616257088846881,0.0009451795841209825
BASE,LOGREG,62,1.0,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.005671077504725898,0.008506616257088847,0.0028355387523629483
BASE,LOGREG,62,1.0,0.02,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.013232514177693762,0.011342155009451797,-0.001890359168241965
BASE,LOGREG,62,1.0,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.013232514177693762,0.01984877126654064,0.00661625708884688
BASE,LOGREG,62,1.0,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.013232514177693762,0.015122873345935728,0.0018903591682419667
BASE,LOGREG,62,1.0,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.013232514177693762,0.01890359168241966,0.005671077504725898
BASE,LOGREG,72,0.1,0.005,IID_BALANCED->TEMPORAL,2116,0.902441313606155,0.9280178034051891,0.025576489799034152,0.000945179584120983,0.000945179584120983,0.0
BASE,LOGREG,72,0.1,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.902441313606155,0.9074913735691236,0.005050059962968589,0.000945179584120983,0.005671077504725898,0.004725897920604915
BASE,LOGREG,72,0.1,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.902441313606155,0.9081246197938178,0.005683306187662773,0.000945179584120983,0.005671077504725898,0.004725897920604915
BASE,LOGREG,72,0.1,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.902441313606155,0.9038945354930649,0.0014532218869098834,0.000945179584120983,0.005671077504725898,0.004725897920604915
BASE,LOGREG,72,0.1,0.01,IID_BALANCED->TEMPORAL,2116,0.902441313606155,0.9280178034051891,0.025576489799034152,0.002835538752362949,0.001890359168241966,-0.0009451795841209831
BASE,LOGREG,72,0.1,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.902441313606155,0.9074913735691236,0.005050059962968589,0.002835538752362949,0.007561436672967864,0.004725897920604915
BASE,LOGREG,72,0.1,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.902441313606155,0.9081246197938178,0.005683306187662773,0.002835538752362949,0.007561436672967864,0.004725897920604915
BASE,LOGREG,72,0.1,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.902441313606155,0.9038945354930649,0.0014532218869098834,0.002835538752362949,0.006616257088846881,0.0037807183364839316
BASE,LOGREG,72,0.1,0.02,IID_BALANCED->TEMPORAL,2116,0.902441313606155,0.9280178034051891,0.025576489799034152,0.01890359168241966,0.012287334593572778,-0.006616257088846882
BASE,LOGREG,72,0.1,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.902441313606155,0.9074913735691236,0.005050059962968589,0.01890359168241966,0.022684310018903593,0.0037807183364839334
BASE,LOGREG,72,0.1,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.902441313606155,0.9081246197938178,0.005683306187662773,0.01890359168241966,0.022684310018903593,0.0037807183364839334
BASE,LOGREG,72,0.1,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.902441313606155,0.9038945354930649,0.0014532218869098834,0.01890359168241966,0.01984877126654064,0.0009451795841209816
BASE,LOGREG,72,0.25,0.005,IID_BALANCED->TEMPORAL,2116,0.9192824981563628,0.9469419866222504,0.027659488465887616,0.001890359168241966,0.001890359168241966,0.0
BASE,LOGREG,72,0.25,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.9192824981563628,0.9278506262576114,0.008568128101248629,0.001890359168241966,0.003780718336483932,0.001890359168241966
BASE,LOGREG,72,0.25,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.9192824981563628,0.9347571933943641,0.01547469523800138,0.001890359168241966,0.001890359168241966,0.0
BASE,LOGREG,72,0.25,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9192824981563628,0.9202513488759085,0.0009688507195457774,0.001890359168241966,0.001890359168241966,0.0
BASE,LOGREG,72,0.25,0.01,IID_BALANCED->TEMPORAL,2116,0.9192824981563628,0.9469419866222504,0.027659488465887616,0.004725897920604915,0.007561436672967864,0.002835538752362949
BASE,LOGREG,72,0.25,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.9192824981563628,0.9278506262576114,0.008568128101248629,0.004725897920604915,0.010396975425330813,0.005671077504725898
BASE,LOGREG,72,0.25,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.9192824981563628,0.9347571933943641,0.01547469523800138,0.004725897920604915,0.012287334593572778,0.007561436672967863
BASE,LOGREG,72,0.25,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9192824981563628,0.9202513488759085,0.0009688507195457774,0.004725897920604915,0.00945179584120983,0.004725897920604915
BASE,LOGREG,72,0.25,0.02,IID_BALANCED->TEMPORAL,2116,0.9192824981563628,0.9469419866222504,0.027659488465887616,0.015122873345935728,0.012287334593572778,-0.00283553875236295
BASE,LOGREG,72,0.25,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.9192824981563628,0.9278506262576114,0.008568128101248629,0.015122873345935728,0.024574669187145556,0.009451795841209828
BASE,LOGREG,72,0.25,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.9192824981563628,0.9347571933943641,0.01547469523800138,0.015122873345935728,0.022684310018903593,0.007561436672967865
BASE,LOGREG,72,0.25,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9192824981563628,0.9202513488759085,0.0009688507195457774,0.015122873345935728,0.026465028355387523,0.011342155009451795
BASE,LOGREG,72,1.0,0.005,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.001890359168241966,0.001890359168241966,0.0
BASE,LOGREG,72,1.0,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.001890359168241966,0.004725897920604915,0.002835538752362949
BASE,LOGREG,72,1.0,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.001890359168241966,0.000945179584120983,-0.000945179584120983
BASE,LOGREG,72,1.0,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.933757155456087,0.9210694680697082,-0.01268768738637871,0.001890359168241966,0.004725897920604915,0.002835538752362949
BASE,LOGREG,72,1.0,0.01,IID_BALANCED->TEMPORAL,2116,0.933757155456087,0.9482099370719944,0.014452781615907462,0.005671077504725898,0.007561436672967864,0.0018903591682419658
BASE,LOGREG,72,1.0,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.933757155456087,0.9267180762817451,-0.007039079174341878,0.005671077504725898,0.013232514177693762,0.007561436672967863
BASE,LOGREG,72,1.0,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.933757155456087,0.9412801874570603,0.007523032000973373,0.005671077504725898,0.006616257088846881,0.0009451795841209825
