representation,classifier,label_budget,scenario,target_fpr,n_test,prevalence_phish,average_precision_mean,average_precision_std,roc_auc_mean,recall_mean,recall_std,precision_mean,f1_mean,calibration_empirical_fpr_mean,empirical_fpr_mean,empirical_fpr_std,fp_mean,fn_mean
BASE,XGBOOST,0.25,DOMAIN_OOD,0.005,3858,0.5,0.8880644103474532,0.006537093072344853,0.8859604341903247,0.15800933125972008,0.0376001467923117,0.9803461035485121,0.27071090007428217,0.00468384074941452,0.003110419906687403,0.0013216743166388765,6.0,1624.2
BASE,XGBOOST,0.25,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8782780049800379,0.007008013561110707,0.8762992695463554,0.1517799352750809,0.030003469560853566,0.9795591516514769,0.2619000913969116,0.00468384074941452,0.003128371089536138,0.0013961358258408616,5.8,1572.6
BASE,XGBOOST,0.25,IID_BALANCED,0.005,2116,0.5,0.9023111623884759,0.0070516077639019795,0.9013039547457307,0.25954631379962195,0.0515040488720819,0.9809063271483642,0.4084671120648742,0.00468384074941452,0.004725897920604915,0.001157603848196209,5.0,783.4
BASE,XGBOOST,0.25,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.8468054235813354,0.010127070248287885,0.9016440338917782,0.25954631379962195,0.0515040488720819,0.9740089917493628,0.40794529664649415,0.00468384074941452,0.0034119417962870046,0.0011979263809647085,6.8,783.4
BASE,XGBOOST,0.25,TEMPLATE_OOD,0.005,6832,0.5,0.9137777603898858,0.004579425184638524,0.908654170483028,0.2542740046838407,0.04184114554403239,0.9881205026052701,0.4030754489763284,0.00468384074941452,0.002985948477751756,0.0009117336945197562,10.2,2547.4
BASE,XGBOOST,0.25,TEMPORAL,0.005,8000,0.5,0.9195224279945544,0.005297437639837459,0.9154718374999999,0.25565,0.040867392258376364,0.9875611452194175,0.40481429404994407,0.00468384074941452,0.0032,0.0013393095235978872,12.8,2977.4
CONTRASTIVE,LOGREG,0.25,DOMAIN_OOD,0.005,3858,0.5,0.8428458136200756,0.0048173026388638514,0.8318351773065655,0.16993260756868844,0.06624151833667681,0.9624801330664908,0.28431723820209104,0.00468384074941452,0.006946604458268534,0.0034112356405105447,13.4,1601.2
CONTRASTIVE,LOGREG,0.25,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8358848965392645,0.004500140129837499,0.8235138695423988,0.16267529665587918,0.06991360772924547,0.9604107056048825,0.27317708503956134,0.00468384074941452,0.006903991370010787,0.0032897412474599576,12.8,1552.4
CONTRASTIVE,LOGREG,0.25,IID_BALANCED,0.005,2116,0.5,0.864328081814096,0.010396149320273626,0.8639439896226786,0.18903591682419657,0.05884834131771197,0.9587621242889522,0.3123724051243074,0.00468384074941452,0.008317580340264651,0.003301370358520412,8.8,858.0
CONTRASTIVE,LOGREG,0.25,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.7860558232766022,0.01770659485078087,0.8624640874440503,0.18903591682419657,0.05884834131771197,0.932198695351705,0.31077825681255805,0.00468384074941452,0.007526342197691922,0.003458115592596644,15.0,858.0
CONTRASTIVE,LOGREG,0.25,TEMPLATE_OOD,0.005,6832,0.5,0.873641942405125,0.0048757332063163825,0.8608681456323459,0.22827868852459016,0.08508855945069044,0.9748326022620415,0.363416965855646,0.00468384074941452,0.006147540983606557,0.0028154836155842135,21.0,2636.2
CONTRASTIVE,LOGREG,0.25,TEMPORAL,0.005,8000,0.5,0.8746711857455015,0.006284889397469536,0.8627271249999999,0.22824999999999998,0.08144841158672157,0.9733589750112024,0.36383996760004,0.00468384074941452,0.00645,0.0027351873793215707,25.8,3087.0
CONTRASTIVE,MLP,0.25,DOMAIN_OOD,0.005,3858,0.5,0.8417031697244466,0.011454566511491706,0.8327008759108002,0.15717988595127008,0.05371468941716424,0.9552805841421671,0.26700367130411423,0.00468384074941452,0.0066355624675997925,0.0013910220699843174,12.8,1625.8
CONTRASTIVE,MLP,0.25,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8348395159373648,0.01175728190052365,0.8238870095155638,0.1551240560949299,0.05823069833267238,0.9536056500223495,0.2633748052858512,0.00468384074941452,0.006580366774541532,0.0015909256961976939,12.2,1566.4
CONTRASTIVE,MLP,0.25,IID_BALANCED,0.005,2116,0.5,0.8640765499817391,0.007022251289138457,0.8696411533692346,0.18733459357277882,0.04332594343390145,0.9523108377294518,0.31121016754354497,0.00468384074941452,0.00945179584120983,0.0032052599164108077,10.0,859.8
CONTRASTIVE,MLP,0.25,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.7885606157901437,0.012872735246825022,0.8687840333416486,0.18733459357277882,0.04332594343390145,0.931255934704758,0.3100703784876214,0.00468384074941452,0.007325639739086803,0.0018298627725850947,14.6,859.8
CONTRASTIVE,MLP,0.25,TEMPLATE_OOD,0.005,6832,0.5,0.8761059970441176,0.00917836603478034,0.8627040096473957,0.22827868852459016,0.07673179569599216,0.9749077769428254,0.3645741469476942,0.00468384074941452,0.0055620608899297425,0.0013885879655306118,19.0,2636.2
CONTRASTIVE,MLP,0.25,TEMPORAL,0.005,8000,0.5,0.8752912858915476,0.010183366062596351,0.86255129375,0.2251,0.07303051588206123,0.973396268754143,0.360751895070786,0.00468384074941452,0.0059499999999999996,0.0014832396974191326,23.8,3099.6
CONTRASTIVE,XGBOOST,0.25,DOMAIN_OOD,0.005,3858,0.5,0.8223814861199001,0.009197245089359792,0.8091698532749303,0.11435977190254018,0.032532854442138354,0.9636196304818296,0.20313781156305355,0.00468384074941452,0.004561949196474858,0.0022417572120725406,8.8,1708.4
CONTRASTIVE,XGBOOST,0.25,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8156986555646542,0.00958941129487574,0.8012332296477833,0.10819848975188781,0.02388094674614583,0.9642826714917472,0.19382327795836976,0.00468384074941452,0.004207119741100324,0.001996413756561138,7.8,1653.4
CONTRASTIVE,XGBOOST,0.25,IID_BALANCED,0.005,2116,0.5,0.8347783125825357,0.007102022565219365,0.8406241401367206,0.1448015122873346,0.05097577036961494,0.9332282552563145,0.24735094114093864,0.00468384074941452,0.011342155009451797,0.006125463798117071,12.0,904.8
CONTRASTIVE,XGBOOST,0.25,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.7456273017414738,0.014835267413342026,0.8393327496900778,0.1448015122873346,0.05097577036961494,0.8996313249449018,0.2460726629348831,0.00468384074941452,0.009031610637230306,0.00459867104360847,18.0,904.8
CONTRASTIVE,XGBOOST,0.25,TEMPLATE_OOD,0.005,6832,0.5,0.8594322725089996,0.007393047753137865,0.8414904341876499,0.18870023419203746,0.04586901187696359,0.9804238234422419,0.314381881669951,0.00468384074941452,0.003922716627634661,0.0017878725391806173,13.4,2771.4
CONTRASTIVE,XGBOOST,0.25,TEMPORAL,0.005,8000,0.5,0.8582219165162261,0.00991975936684403,0.84237830625,0.19065,0.05019169503015414,0.9747849984668957,0.31639175299545624,0.00468384074941452,0.0052,0.002558075448457297,20.8,3237.4
DAPT,LOGREG,0.25,DOMAIN_OOD,0.005,3858,0.5,0.9161586521123984,0.007561916059325838,0.9125696276928956,0.2536029030585796,0.0756161923002414,0.9836535740655936,0.3984286982236326,0.00468384074941452,0.0037325038880248835,0.0013418537175266753,7.2,1439.8
DAPT,LOGREG,0.25,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.9076916320079258,0.007921672253275377,0.90409872121155,0.24271844660194178,0.07761838306879965,0.9817493626566355,0.3840336377846401,0.00468384074941452,0.003883495145631068,0.0013961358258408614,7.2,1404.0
DAPT,LOGREG,0.25,IID_BALANCED,0.005,2116,0.5,0.9090616300759787,0.00693086617645756,0.9006464385132986,0.2340264650283554,0.05529744864446497,0.9800390365510498,0.3751590714182931,0.00468384074941452,0.004914933837429111,0.003862536246068535,5.2,810.4
DAPT,LOGREG,0.25,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.8562240427746561,0.014024515203614286,0.9005260377294064,0.2340264650283554,0.05529744864446497,0.9635475093372179,0.37400102730826384,0.00468384074941452,0.004716507777220271,0.003896290749285936,9.4,810.4
DAPT,LOGREG,0.25,TEMPLATE_OOD,0.005,6832,0.5,0.9319862680362092,0.0032583229953479756,0.9277974842180893,0.28296252927400467,0.07964912811386997,0.9863576223132137,0.4347128443661873,0.00468384074941452,0.0035714285714285713,0.0009575777068967287,12.2,2449.4
DAPT,LOGREG,0.25,TEMPORAL,0.005,8000,0.5,0.9349460420648683,0.0043865401317520585,0.9307789750000002,0.29225,0.07831307362120324,0.9852582058970336,0.44589475402621287,0.00468384074941452,0.0042499999999999994,0.0021650635094610966,17.0,2831.0
DAPT,MLP,0.25,DOMAIN_OOD,0.005,3858,0.5,0.904501713828736,0.012023644326391388,0.9010218914545687,0.25152928978745465,0.029317071204970263,0.9823897630499998,0.3997810223282074,0.00468384074941452,0.004561949196474858,0.0024425544819885424,8.8,1443.8
DAPT,MLP,0.25,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8944554356587728,0.013086939744287323,0.8909427879194116,0.23646170442286946,0.027544025431794586,0.9805911617447333,0.3803620509029989,0.00468384074941452,0.004746494066882417,0.002541363320256687,8.8,1415.6
DAPT,MLP,0.25,IID_BALANCED,0.005,2116,0.5,0.9036878232379177,0.0057983975983467145,0.89742148219882,0.3149338374291115,0.06549555757077234,0.9759704806434064,0.47318874547902345,0.00468384074941452,0.007561436672967864,0.0030627318990585346,8.0,724.8
DAPT,MLP,0.25,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.8507626262807403,0.006713511184661539,0.8984304233057667,0.3149338374291115,0.06549555757077234,0.9631365541938312,0.4717253981832991,0.00468384074941452,0.006221776216758655,0.0028071451541795012,12.4,724.8
DAPT,MLP,0.25,TEMPLATE_OOD,0.005,6832,0.5,0.9258848956539325,0.009059642294611267,0.9204161330616634,0.3368852459016393,0.033072759437526,0.9866012269378361,0.50151151500369,0.00468384074941452,0.004625292740046838,0.0014548915269073977,15.8,2265.2
DAPT,MLP,0.25,TEMPORAL,0.005,8000,0.5,0.9307900321158182,0.008835954245231885,0.92554805625,0.34995000000000004,0.03329808553055265,0.9868319050068297,0.5159450958979882,0.00468384074941452,0.0047,0.0017446346322367904,18.8,2600.2
DAPT,XGBOOST,0.25,DOMAIN_OOD,0.005,3858,0.5,0.888988160906474,0.00814794261095345,0.887004631230884,0.1339554173146708,0.03176167059797524,0.9816798889275382,0.23460047202013148,0.00468384074941452,0.002592016588906169,0.001511392404055288,5.0,1670.6
DAPT,XGBOOST,0.25,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8770958739955494,0.00847065712540232,0.8746327367050337,0.12513484358144553,0.029648421040586435,0.9794781384932817,0.22090068868831123,0.00468384074941452,0.002696871628910464,0.0015725328734750002,5.0,1622.0
DAPT,XGBOOST,0.25,IID_BALANCED,0.005,2116,0.5,0.8940930915247967,0.00747708531586135,0.8886875046901632,0.22419659735349717,0.04903287058411637,0.9789760794104785,0.3626476229740694,0.00468384074941452,0.004914933837429111,0.0018180892307817905,5.2,820.8
DAPT,XGBOOST,0.25,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.837512395909138,0.010521517772155603,0.8901709859745403,0.22419659735349717,0.04903287058411637,0.9711425035325508,0.36215846695829834,0.00468384074941452,0.0035122930255895636,0.0010035122930255895,7.0,820.8
DAPT,XGBOOST,0.25,TEMPLATE_OOD,0.005,6832,0.5,0.9152599929425225,0.004848943564795704,0.9089578368635818,0.20948477751756442,0.025626544626644363,0.9904819845998881,0.34519497466431215,0.00468384074941452,0.002107728337236534,0.001379299647469525,7.2,2700.4
DAPT,XGBOOST,0.25,TEMPORAL,0.005,8000,0.5,0.9191198908740346,0.005681385853758571,0.9131079187500001,0.21444999999999997,0.03152102472953568,0.9902899468985961,0.3516291684975547,0.00468384074941452,0.0021999999999999997,0.0013157697366940769,8.8,3142.2
