contrast,model,scenario,label_budget,target_fpr,metric,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses,holm_p_primary4
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_ORIGINAL,0.25,0.005,f1,10,0.11936548711928947,0.04374651386350549,0.08807111631411615,0.1506598579244628,0.001953125,2.728571412380984,10,0,0,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_ORIGINAL,0.25,0.005,f1,10,0.027810632030788505,0.08004831675217121,-0.029452484170619297,0.08507374823219631,0.296875,0.3474230709546329,7,0,3,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_ORIGINAL,0.25,0.005,average_precision,10,0.000823680281659267,0.01934499915568031,-0.013014898460695248,0.014662259024013783,0.900390625,0.04257846046053758,4,0,6,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_ORIGINAL,0.25,0.005,average_precision,10,0.011466911065114927,0.008169132742725387,0.005623065541670852,0.017310756588559004,0.005859375,1.4036876895318187,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_ORIGINAL,0.25,0.005,average_precision,10,0.01064323078345566,0.021741455543806944,-0.004909669586045119,0.026196131152956437,0.15625,0.4895362576811186,7,0,3,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_ORIGINAL,0.25,0.005,roc_auc,10,-0.016372118103342815,0.02799589975168575,-0.03639917833006846,0.0036549421233828365,0.09765625,-0.5848041409119913,2,0,8,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_ORIGINAL,0.25,0.005,roc_auc,10,0.0020269667845019155,0.01732445391160832,-0.010366200963643806,0.014420134532647639,0.67578125,0.11700032767807696,6,0,4,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_ORIGINAL,0.25,0.005,roc_auc,10,0.01839908488784473,0.03048463023174463,-0.0034083058749347223,0.040206475650624185,0.091796875,0.6035528313112084,8,0,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_BALANCED,0.25,0.005,recall,10,0.11550094517958412,0.07734036188217389,0.06017498319553365,0.17082690716363458,0.00390625,1.4934109741501718,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_BALANCED,0.25,0.005,recall,10,0.1471644612476371,0.05400874101438194,0.10852893537926328,0.18579998711601092,0.001953125,2.7248267314442454,10,0,0,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_BALANCED,0.25,0.005,recall,10,0.03166351606805297,0.09431215780046462,-0.03580333733317148,0.09913036946927742,0.31640625,0.33573101078911993,7,1,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_BALANCED,0.25,0.005,empirical_fpr,10,0.0007561436672967864,0.002982270842142213,-0.0013772443751573086,0.002889531709750881,0.4921875,0.25354627641855504,6,1,3,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_BALANCED,0.25,0.005,empirical_fpr,10,0.00151228733459355,0.002962232961195496,-0.0006067664713439382,0.0036313411405310384,0.1640625,0.510522755773814,7,2,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_BALANCED,0.25,0.005,empirical_fpr,10,0.0007561436672967636,0.004222272354820636,-0.0022642880206878296,0.0037765753552813563,0.62109375,0.17908453168196556,5,0,5,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_BALANCED,0.25,0.005,precision,10,0.00010934089028806771,0.005145907415868569,-0.003571819517230126,0.003790501297806261,0.94921875,0.021248126219855872,4,0,6,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_BALANCED,0.25,0.005,precision,10,0.00044810499929949233,0.004796727596362797,-0.0029832672129034847,0.0038794772115024697,0.7890625,0.09341889659093335,7,0,3,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_BALANCED,0.25,0.005,precision,10,0.00033876410901142464,0.006726803350217271,-0.004473301122792001,0.005150829340814851,0.869140625,0.050360340770253496,5,0,5,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_BALANCED,0.25,0.005,f1,10,0.09226528240379775,0.06365240267778521,0.04673109656549339,0.1377994682421021,0.00390625,1.4495176697548053,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_BALANCED,0.25,0.005,f1,10,0.12022455809881274,0.04451601366539409,0.08837972029620177,0.1520693959014237,0.001953125,2.700703594047844,10,0,0,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_BALANCED,0.25,0.005,f1,10,0.027959275695014985,0.08131723029434686,-0.03021156657189029,0.08613011796192026,0.294921875,0.3438296606243204,8,0,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_BALANCED,0.25,0.005,average_precision,10,-0.003730090450060353,0.014599749941188457,-0.014174122396192375,0.00671394149607167,0.44921875,-0.2554900231227326,4,0,6,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_BALANCED,0.25,0.005,average_precision,10,0.005162822357571284,0.006807784509982184,0.0002928266938750819,0.010032818021267487,0.05078125,0.758370414046022,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_BALANCED,0.25,0.005,average_precision,10,0.008892912807631636,0.015326915913405733,-0.002071302338525741,0.019857127953789015,0.119140625,0.5802154104501496,8,0,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_BALANCED,0.25,0.005,roc_auc,10,-0.017051781190032932,0.02796625926379793,-0.03705763788905117,0.0029540755089853057,0.091796875,-0.609726922331236,2,0,8,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_BALANCED,0.25,0.005,roc_auc,10,0.001542527721098763,0.01691776759497894,-0.010559714161875174,0.0136447696040727,0.7421875,0.09117797087817739,6,0,4,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_BALANCED,0.25,0.005,roc_auc,10,0.018594308911131695,0.029311423039898993,-0.002373819984805795,0.03956243780706918,0.076171875,0.6343707327283613,8,0,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPORAL,0.25,0.005,recall,10,0.123275,0.1037358725321188,0.04906682718542267,0.19748317281457733,0.00390625,1.1883545873856844,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPORAL,0.25,0.005,recall,10,0.16955,0.11689149764727212,0.0859308599067041,0.25316914009329594,0.005859375,1.450490441243455,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPORAL,0.25,0.005,recall,10,0.046275000000000004,0.12174309528675542,-0.04081476396977702,0.13336476396977703,0.248046875,0.3801036920492551,8,0,2,0.921875
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPORAL,0.25,0.005,empirical_fpr,10,0.0018500000000000003,0.0028411656449813384,-0.00018244746519421634,0.003882447465194217,0.07421875,0.6511411973701208,7,1,2,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPORAL,0.25,0.005,empirical_fpr,10,0.0013499999999999999,0.0016758082626999228,0.00015119898616528784,0.002548801013834712,0.0390625,0.8055814200515948,8,1,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPORAL,0.25,0.005,empirical_fpr,10,-0.0005,0.0035138614403846693,-0.0030136650480653087,0.0020136650480653087,0.724609375,-0.1422936016353747,6,0,4,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPORAL,0.25,0.005,precision,10,-0.001996563197014245,0.0051928269950135145,-0.005711287849499843,0.0017181614554713522,0.2421875,-0.38448482857824323,5,0,5,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPORAL,0.25,0.005,precision,10,-0.0010415910789584703,0.003146056355594906,-0.0032921442195617953,0.0012089620616448544,0.322265625,-0.3310783283033434,3,0,7,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPORAL,0.25,0.005,precision,10,0.0009549721180557747,0.005964833140551208,-0.003312012462105651,0.0052219566982172,0.705078125,0.16010039100063175,4,0,6,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPORAL,0.25,0.005,f1,10,0.09534487260083233,0.08178493037926983,0.03683945784824606,0.1538502873534186,0.00390625,1.1658000093498833,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPORAL,0.25,0.005,f1,10,0.12985910029318742,0.09445276695272434,0.06229166116384881,0.19742653942252603,0.0078125,1.3748575556096172,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPORAL,0.25,0.005,f1,10,0.03451422769235509,0.09531361927886439,-0.033669028093523935,0.10269748347823413,0.275390625,0.362112234888226,8,0,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPORAL,0.25,0.005,average_precision,10,0.0031492131715709637,0.010391478773555531,-0.004284402932523231,0.01058282927566516,0.37890625,0.30305726838273994,6,0,4,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPORAL,0.25,0.005,average_precision,10,0.005451680753121579,0.0045974973001134895,0.002162829309222647,0.008740532197020512,0.0078125,1.185793138581507,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPORAL,0.25,0.005,average_precision,10,0.0023024675815506157,0.010021761469750682,-0.0048666686960033905,0.009471603859104623,0.4921875,0.22974679536130446,6,0,4,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPORAL,0.25,0.005,roc_auc,10,-0.0005556437500000788,0.012829916680445395,-0.009733613250611691,0.008622325750611533,0.890625,-0.04330844570853359,6,0,4,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPORAL,0.25,0.005,roc_auc,10,0.0032237499999999697,0.004106784180648372,0.00028593357496949036,0.006161566425030449,0.02734375,0.784981595865359,8,0,2,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPORAL,0.25,0.005,roc_auc,10,0.0037793937500000484,0.01232258380271415,-0.00503565167289158,0.012594439172891677,0.3515625,0.30670464981277756,7,0,3,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_OOD,0.25,0.005,recall,10,0.16594090202177295,0.12387066213753573,0.07732916841233838,0.2545526356312075,0.00390625,1.3396303786406334,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_OOD,0.25,0.005,recall,10,0.22519440124416795,0.14218899914316438,0.12347851875153515,0.32691028373680076,0.00390625,1.5837681016196532,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_OOD,0.25,0.005,recall,10,0.05925349922239501,0.1478902998393411,-0.04654084809636393,0.16504784654115395,0.23046875,0.40065845621223545,7,1,2,0.921875
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_OOD,0.25,0.005,empirical_fpr,10,0.0007776049766718507,0.0024711162339856735,-0.0009901250868096995,0.0025453350401534007,0.4140625,0.3146776205737795,4,2,4,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_OOD,0.25,0.005,empirical_fpr,10,0.0013478486262312,0.00197326454793434,-6.373979547559007e-05,0.00275943704793799,0.07421875,0.6830552080014612,7,0,3,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_OOD,0.25,0.005,empirical_fpr,10,0.0005702436495593494,0.0030468907241598263,-0.0016093706717601967,0.002749857970878895,0.625,0.18715592424687066,7,1,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_OOD,0.25,0.005,precision,10,0.001242127647516278,0.004973892857592902,-0.0023159809578088835,0.00480023625284144,0.44140625,0.24972947409192914,7,0,3,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_OOD,0.25,0.005,precision,10,3.9370340708011484e-05,0.00324539037717563,-0.002282242078232679,0.002360982759648702,0.970703125,0.012131157159057814,5,0,5,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_OOD,0.25,0.005,precision,10,-0.0012027573068082663,0.005807311975508377,-0.005357058033716973,0.002951543420100441,0.52734375,-0.20711084782094488,4,0,6,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_OOD,0.25,0.005,f1,10,0.14733803407023296,0.11006383746702143,0.06860310783862097,0.22607296030184496,0.00390625,1.3386597947248573,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_OOD,0.25,0.005,f1,10,0.19733450305435535,0.13257293284602797,0.1024975399958208,0.2921714661128899,0.00390625,1.48849768062039,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_OOD,0.25,0.005,f1,10,0.0499964689841224,0.1319421201934874,-0.04438923788703242,0.1443821758552772,0.2578125,0.3789272819839847,8,0,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_OOD,0.25,0.005,average_precision,10,0.011678903765137383,0.011203557999720335,0.003664361178396528,0.019693446351878238,0.01171875,1.0424281076983681,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_OOD,0.25,0.005,average_precision,10,0.011157263499812409,0.0070404098552971734,0.006120857688837206,0.016193669310787612,0.001953125,1.5847463044239865,10,0,0,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_OOD,0.25,0.005,average_precision,10,-0.0005216402653249741,0.00823109538095258,-0.006409811189938128,0.00536653065928818,0.84375,-0.06337434341146038,5,0,5,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_OOD,0.25,0.005,roc_auc,10,0.008696437367930155,0.012019533447990907,9.818110915201482e-05,0.017294693626708296,0.041015625,0.7235253685644333,7,0,3,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_OOD,0.25,0.005,roc_auc,10,0.008077430482491366,0.006075225989660316,0.003731475615348012,0.01242338534963472,0.00390625,1.3295687265360479,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_OOD,0.25,0.005,roc_auc,10,-0.0006190068854387887,0.01051721723413218,-0.00814257086565483,0.006904557094777254,0.86328125,-0.05885652750709447,5,0,5,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPLATE_OOD,0.25,0.005,recall,10,0.12125292740046836,0.0991467509732428,0.050327614385452954,0.19217824041548376,0.00390625,1.2229642041743907,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPLATE_OOD,0.25,0.005,recall,10,0.16463700234192039,0.1181240811813245,0.08013612510533259,0.2491378795785082,0.0078125,1.3937632419692387,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPLATE_OOD,0.25,0.005,recall,10,0.043384074941452015,0.12037133114656923,-0.042724388077255655,0.1294925379601597,0.28125,0.3604186688658093,7,0,3,0.921875
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPLATE_OOD,0.25,0.005,empirical_fpr,10,0.0014929742388758783,0.0019924013660535676,6.769616216885615e-05,0.0029182523155829006,0.048828125,0.7493340771157342,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPLATE_OOD,0.25,0.005,empirical_fpr,10,0.0010831381733020901,0.0017567113157178162,-0.0001735373982245127,0.002339813744828693,0.09375,0.6165715240807822,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPLATE_OOD,0.25,0.005,empirical_fpr,10,-0.0004098360655737881,0.0031745765132847686,-0.0026807912979404324,0.0018611191667928563,0.75,-0.1290994448735861,5,1,4,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPLATE_OOD,0.25,0.005,precision,10,-0.0014350117474497992,0.003653130473463644,-0.004048303860118471,0.0011782803652188726,0.244140625,-0.39281699842743945,2,0,8,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPLATE_OOD,0.25,0.005,precision,10,-0.0006423553408325233,0.002731770197429502,-0.0025965460171368483,0.001311835335471802,0.4921875,-0.2351425245933778,3,0,7,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPLATE_OOD,0.25,0.005,precision,10,0.0007926564066172759,0.0056472653328611296,-0.0032471538491934747,0.004832466662428026,0.720703125,0.1403611057558871,4,0,6,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPLATE_OOD,0.25,0.005,f1,10,0.0950590590225734,0.07863227259205459,0.038808919790289484,0.15130919825485734,0.00390625,1.2089064183066567,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPLATE_OOD,0.25,0.005,f1,10,0.12728595023391026,0.09605203287169001,0.058574465184927774,0.19599743528289276,0.0078125,1.3251770569389585,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPLATE_OOD,0.25,0.005,f1,10,0.03222689121133684,0.09484035859161709,-0.035617814273587046,0.10007159669626073,0.30078125,0.3398014483486502,8,0,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPLATE_OOD,0.25,0.005,average_precision,10,0.003982366007580285,0.009338164301138966,-0.0026977543144932553,0.010662486329653824,0.21875,0.42646133427900385,7,0,3,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPLATE_OOD,0.25,0.005,average_precision,10,0.00596502139763293,0.004679356849097689,0.00261761116004706,0.0093124316352188,0.001953125,1.274752405083864,10,0,0,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPLATE_OOD,0.25,0.005,average_precision,10,0.0019826553900526454,0.009030384759952464,-0.004477292711711208,0.008442603491816499,0.51953125,0.21955381113385494,6,0,4,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,TEMPLATE_OOD,0.25,0.005,roc_auc,10,0.0005392467051319571,0.011914767964993715,-0.007984064841874937,0.00906255825213885,0.890625,0.04525868289808878,6,0,4,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,TEMPLATE_OOD,0.25,0.005,roc_auc,10,0.0037834080151814,0.004573354721832175,0.0005118271313843698,0.00705498889897843,0.0234375,0.8272719360954562,8,0,2,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,TEMPLATE_OOD,0.25,0.005,roc_auc,10,0.0032441613100494425,0.011431624674484013,-0.004933530347509406,0.011421852967608292,0.384765625,0.2837882980264897,7,0,3,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,recall,10,0.16472491909385117,0.11627244744192367,0.0815486208401048,0.24790121734759757,0.001953125,1.4167149889584012,10,0,0,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,recall,10,0.21882416396979504,0.13804237747641382,0.12007459592299313,0.31757373201659694,0.00390625,1.5851955607413655,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_TEMPLATE_OOD,0.25,0.005,recall,10,0.054099244875943905,0.14079771905179242,-0.04662137579516187,0.15481986554704968,0.244140625,0.3842338160041038,7,0,3,0.921875
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,empirical_fpr,10,0.0005933117583603021,0.002149241064691637,-0.000944162679900593,0.002130786196621197,0.46484375,0.2760564034009036,4,1,5,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,empirical_fpr,10,0.00080906148867314,0.0019238524414808397,-0.0005671796414427074,0.002185302618788987,0.2421875,0.42054238216439516,7,0,3,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_TEMPLATE_OOD,0.25,0.005,empirical_fpr,10,0.00021574973031283793,0.0026812444275163398,-0.001702296987553729,0.002133796448179405,0.8515625,0.08046626711787287,6,1,3,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,precision,10,0.0013866049958801475,0.004763881585012951,-0.002021270595269546,0.004794480587029841,0.375,0.29106621798542837,7,0,3,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,precision,10,0.0010442001988625993,0.003351519353911063,-0.0013533323165112593,0.0034417327142364576,0.373046875,0.31156024733799237,5,0,5,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_TEMPLATE_OOD,0.25,0.005,precision,10,-0.00034240479701754813,0.0057528813847441485,-0.00445776822492604,0.003772958630890943,0.857421875,-0.05951883484431969,5,0,5,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,f1,10,0.14948581969564614,0.10499855590473856,0.07437437761038862,0.22459726178090367,0.001953125,1.4236940537665042,10,0,0,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,f1,10,0.19729199537252903,0.130052180504074,0.10425826991009755,0.2903257208349605,0.00390625,1.5170218185334363,9,0,1,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_TEMPLATE_OOD,0.25,0.005,f1,10,0.04780617567688293,0.12746540240620335,-0.0433770802089774,0.13898943156274327,0.267578125,0.3750521692508802,8,0,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,average_precision,10,0.013305244020429962,0.012405781152047237,0.004430682799132987,0.022179805241726937,0.009765625,1.0725035253611817,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,average_precision,10,0.01278380202970152,0.008052325306779856,0.007023515512231871,0.01854408854717117,0.001953125,1.587591353138438,10,0,0,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,DOMAIN_TEMPLATE_OOD,0.25,0.005,average_precision,10,-0.000521441990728444,0.009051775507725216,-0.00699669211163579,0.005953808130178902,0.87109375,-0.057606597764540295,5,0,5,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,roc_auc,10,0.010053541775036067,0.01363638717996681,0.000298658033115946,0.01980842551695619,0.03515625,0.7372584572698043,7,0,3,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.25,0.005,roc_auc,10,0.009956867509417188,0.007547650279069979,0.004557603758299658,0.015356131260534719,0.00390625,1.319200962056773,9,0,1,
