representation,classifier,seed,label_budget,n_train,scenario,n_test,threshold,target_fpr,calibration_fpr,calibration_recall,fit_seconds,predict_seconds,average_precision,roc_auc,precision,recall,f1,empirical_fpr,tp,fp,tn,fn,base_ap,base_recall,base_f1,base_fpr,delta_ssl_ap,delta_ssl_recall,delta_ssl_f1,delta_ssl_fpr
DAPT,MLP,42,0.1,400,IID,3051,0.9953034520149231,0.005,0.00468384074941452,0.24503311258278146,0.4706542860000127,0.022384385000009388,0.8263416780141808,0.8905405687391693,0.9194139194139194,0.23724007561436672,0.377160030052592,0.011038635223281485,251,22,1971,807,0.8472223446253704,0.34120982986767484,0.5041899441340782,0.006522829904666332,-0.02088066661118959,-0.10396975425330812,-0.12702991408148623,0.004515805318615153
DAPT,MLP,42,0.1,400,TEMPORAL,8000,0.9953034520149231,0.005,0.00468384074941452,0.24503311258278146,0.4706542860000127,0.059856022999952074,0.9117350075317493,0.9030664374999999,0.9808459696727854,0.30725,0.4679230915667238,0.006,1229,24,3976,2771,0.9094466636506398,0.3135,0.4742813918305598,0.0085,0.0022883438811095447,-0.006249999999999978,-0.006358300263835992,-0.0025000000000000005
DAPT,MLP,42,0.1,400,DOMAIN_OOD,3858,0.9953034520149231,0.005,0.00468384074941452,0.24503311258278146,0.4706542860000127,0.026628574000028493,0.8779480183053615,0.8752026650606644,0.9733333333333334,0.18921721099015035,0.3168402777777778,0.005184033177812338,365,10,1919,1564,0.8702722232146491,0.19595645412130638,0.3250214961306965,0.009849663037843442,0.007675795090712367,-0.006739243131156036,-0.008181218352918684,-0.004665629860031104
DAPT,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.9953034520149231,0.005,0.00468384074941452,0.24503311258278146,0.4706542860000127,0.04660310700000991,0.9091005888383092,0.9009964902045204,0.9854085603112841,0.2965456674473068,0.45589558955895587,0.004391100702576112,1013,15,3401,2403,0.9054913172079063,0.3050351288056206,0.4648672763774258,0.007318501170960188,0.0036092716304029215,-0.008489461358313799,-0.008971686818469937,-0.0029274004683840756
DAPT,MLP,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9953034520149231,0.005,0.00468384074941452,0.24503311258278146,0.4706542860000127,0.02569826399997055,0.864587006552688,0.8601430592939374,0.9694189602446484,0.1709816612729234,0.2906923429619441,0.005393743257820928,317,10,1844,1537,0.8580664870002435,0.17853290183387271,0.30049931911030414,0.009708737864077669,0.0065205195524445925,-0.007551240560949302,-0.00980697614836007,-0.004314994606256741
CONTRASTIVE,LOGREG,42,0.1,400,IID,3051,0.9992507666442012,0.005,0.00468384074941452,0.04415011037527594,0.019942944000035823,0.023910059999934674,0.7667500650449167,0.8505449602910755,0.9047619047619048,0.035916824196597356,0.06909090909090909,0.002007024586051179,38,4,1989,1020,0.8524317978918843,0.2589792060491493,0.4104868913857677,0.0015052684395383,-0.08568173284696756,-0.22306238185255195,-0.3413959822948586,0.000501756146512879
CONTRASTIVE,LOGREG,42,0.1,400,TEMPORAL,8000,0.9992507666442012,0.005,0.00468384074941452,0.04415011037527594,0.019942944000035823,0.07317361200000505,0.8609343798085001,0.8532411875,0.9871794871794872,0.0385,0.0741097208854668,0.0005,154,2,3998,3846,0.918040854089804,0.17375,0.295618885580604,0.00175,-0.05710647428130389,-0.13524999999999998,-0.2215091646951372,-0.00125
CONTRASTIVE,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.9992507666442012,0.005,0.00468384074941452,0.04415011037527594,0.019942944000035823,0.029116113999975823,0.8261878870507886,0.8211454805254766,0.9629629629629629,0.02695697252462416,0.052445789208270296,0.0010368066355624676,52,2,1927,1877,0.8895582305703407,0.1135303265940902,0.2034370645610775,0.0025920165889061,-0.06337034351955206,-0.08657335406946604,-0.1509912753528072,-0.0015552099533436324
CONTRASTIVE,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.9992507666442012,0.005,0.00468384074941452,0.04415011037527594,0.019942944000035823,0.044902094999997644,0.8603166219008598,0.8522724546012977,0.9849624060150376,0.03834894613583138,0.07382361228515075,0.000585480093676815,131,2,3414,3285,0.9166973883424776,0.1633489461358313,0.2804020100502513,0.0017564402810304,-0.056380766441617824,-0.12499999999999993,-0.20657839776510054,-0.001170960187353585
CONTRASTIVE,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9992507666442012,0.005,0.00468384074941452,0.04415011037527594,0.019942944000035823,0.01977785799999765,0.8164009076024514,0.8104992383592314,0.9615384615384616,0.02696871628910464,0.05246589716684155,0.0010787486515641855,50,2,1852,1804,0.8796824802823101,0.1067961165048543,0.1925133689839572,0.0026968716289104,-0.06328157267985868,-0.07982740021574966,-0.14004747181711566,-0.0016181229773462144
CONTRASTIVE,XGBOOST,42,0.1,400,IID,3051,0.9926749467849731,0.005,0.00468384074941452,0.09933774834437085,2.736205357000017,0.008786955999994461,0.7172357504813407,0.810821808276036,0.9203539823008849,0.09829867674858223,0.1776259607173356,0.004515805318615153,104,9,1984,954,0.7946255207140211,0.10113421550094517,0.18197278911564627,0.0055193176116407425,-0.07738977023268045,-0.0028355387523629483,-0.004346828398310659,-0.0010035122930255897
CONTRASTIVE,XGBOOST,42,0.1,400,TEMPORAL,8000,0.9926749467849731,0.005,0.00468384074941452,0.09933774834437085,2.736205357000017,0.020818888000007973,0.8361877752091628,0.8249835624999999,0.9754768392370572,0.0895,0.1639569498511564,0.00225,358,9,3991,3642,0.8975444058416377,0.17825,0.30160744500846026,0.00375,-0.061356630632474984,-0.08875,-0.13765049515730385,-0.0015
CONTRASTIVE,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.9926749467849731,0.005,0.00468384074941452,0.09933774834437085,2.736205357000017,0.01075845900004424,0.7988854037897182,0.7892909537949192,0.9508196721311475,0.06013478486262312,0.11311555338859093,0.003110419906687403,116,6,1923,1813,0.8586989145683616,0.0782789009849663,0.14498319731156986,0.0015552099533437014,-0.059813510778643386,-0.01814411612234318,-0.03186764392297893,0.0015552099533437014
CONTRASTIVE,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.9926749467849731,0.005,0.00468384074941452,0.09933774834437085,2.736205357000017,0.018269716999952834,0.8327292439824844,0.8205095596421852,0.9735973597359736,0.08635831381733021,0.15864479698843775,0.00234192037470726,295,8,3408,3121,0.8943356991801402,0.18149882903981265,0.3067029433588919,0.0020491803278688526,-0.06160645519765584,-0.09514051522248244,-0.14805814637045417,0.0002927400468384074
CONTRASTIVE,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9926749467849731,0.005,0.00468384074941452,0.09933774834437085,2.736205357000017,0.009648844000025747,0.7873499788848858,0.7800295346718196,0.9494949494949495,0.05070118662351672,0.09626216077828981,0.002696871628910464,94,5,1849,1760,0.8464937847397371,0.07335490830636461,0.1364776718514802,0.0016181229773462784,-0.05914380585485135,-0.02265372168284789,-0.04021551107319038,0.0010787486515641857
CONTRASTIVE,MLP,42,0.1,400,IID,3051,0.9996737837791443,0.005,0.00468384074941452,0.10375275938189846,0.4533132099999193,0.02283946800002923,0.7718509251397644,0.8590819285267812,0.9420289855072463,0.12287334593572778,0.21739130434782608,0.004014049172102358,130,8,1985,928,0.8472223446253704,0.34120982986767484,0.5041899441340782,0.006522829904666332,-0.075371419485606,-0.21833648393194705,-0.2867986397862522,-0.0025087807325639743
CONTRASTIVE,MLP,42,0.1,400,TEMPORAL,8000,0.9996737837791443,0.005,0.00468384074941452,0.10375275938189846,0.4533132099999193,0.07525458399993568,0.8734970463876485,0.86703803125,0.9761499148211243,0.14325,0.249836494440811,0.0035,573,14,3986,3427,0.9094466636506398,0.3135,0.4742813918305598,0.0085,-0.035949617262991285,-0.17025,-0.2244448973897488,-0.005000000000000001
CONTRASTIVE,MLP,42,0.1,400,DOMAIN_OOD,3858,0.9996737837791443,0.005,0.00468384074941452,0.10375275938189846,0.4533132099999193,0.04320874999996249,0.8381014388604534,0.8374718257605869,0.9483870967741935,0.07620528771384137,0.14107485604606526,0.00414722654224987,147,8,1921,1782,0.8702722232146491,0.19595645412130638,0.3250214961306965,0.009849663037843442,-0.032170784354195736,-0.11975116640746501,-0.1839466400846312,-0.005702436495593571
CONTRASTIVE,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.9996737837791443,0.005,0.00468384074941452,0.10375275938189846,0.4533132099999193,0.0682386169999063,0.8730392203236037,0.8653704721273082,0.9779116465863453,0.14256440281030444,0.24885028104241186,0.0032201405152224825,487,11,3405,2929,0.9054913172079063,0.3050351288056206,0.4648672763774258,0.007318501170960188,-0.03245209688430262,-0.16247072599531617,-0.21601699533501395,-0.004098360655737705
CONTRASTIVE,MLP,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9996737837791443,0.005,0.00468384074941452,0.10375275938189846,0.4533132099999193,0.040356353999982275,0.829448874281036,0.8266289744672879,0.9473684210526315,0.06796116504854369,0.1268243583291394,0.0037756202804746495,126,7,1847,1728,0.8580664870002435,0.17853290183387271,0.30049931911030414,0.009708737864077669,-0.028617612719207486,-0.11057173678532903,-0.17367496078116473,-0.00593311758360302
DAPT,LOGREG,42,0.25,1000,IID,3051,0.995419042603774,0.005,0.00468384074941452,0.26490066225165565,0.3726662999999917,0.03571552100004283,0.8644483335481177,0.8995254657843093,0.9844357976653697,0.2391304347826087,0.38479087452471483,0.002007024586051179,253,4,1989,805,0.8692856163366288,0.19281663516068054,0.32252964426877473,0.0015052684395383843,-0.004837282788511144,0.046313799621928164,0.0622612302559401,0.0005017561465127946
DAPT,LOGREG,42,0.25,1000,TEMPORAL,8000,0.995419042603774,0.005,0.00468384074941452,0.26490066225165565,0.3726662999999917,0.05548265699997046,0.935913994398004,0.9278168750000001,0.9935275080906149,0.307,0.4690603514132926,0.002,1228,8,3992,2772,0.9364627804978285,0.214,0.3521909072207365,0.00125,-0.0005487860998244498,0.093,0.11686944419255613,0.00075
DAPT,LOGREG,42,0.25,1000,DOMAIN_OOD,3858,0.995419042603774,0.005,0.00468384074941452,0.26490066225165565,0.3726662999999917,0.023834942000007686,0.9152257751992586,0.909447920622213,0.9900398406374502,0.2576464489372732,0.4088852324146442,0.002592016588906169,497,5,1924,1432,0.9163930765037394,0.18040435458786935,0.30526315789473685,0.0015552099533437014,-0.0011673013044807279,0.07724209434940382,0.10362207451990735,0.0010368066355624676
DAPT,LOGREG,42,0.25,1000,TEMPLATE_OOD,6832,0.995419042603774,0.005,0.00468384074941452,0.26490066225165565,0.3726662999999917,0.04302720099997259,0.9326864021861703,0.9250019881642525,0.9922928709055877,0.3015222482435597,0.4625056129321958,0.00234192037470726,1030,8,3408,2386,0.9314459231083095,0.21311475409836064,0.35092793444203424,0.0014637002341920376,0.0012404790778607344,0.08840749414519908,0.11157767849016154,0.0008782201405152224
DAPT,LOGREG,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.995419042603774,0.005,0.00468384074941452,0.26490066225165565,0.3726662999999917,0.021051413000009234,0.9056939559715602,0.8993205745412992,0.9892933618843683,0.24919093851132687,0.3981042654028436,0.002696871628910464,462,5,1849,1392,0.9084288200381455,0.18122977346278318,0.3064295485636115,0.0016181229773462784,-0.0027348640665852963,0.06796116504854369,0.09167471683923212,0.0010787486515641857
DAPT,XGBOOST,42,0.25,1000,IID,3051,0.996089518070221,0.005,0.00468384074941452,0.2097130242825607,3.802845314000024,0.007897943999978452,0.8459863347139167,0.8968639766593284,0.9777777777777777,0.20793950850661624,0.34294621979734996,0.002508780732563974,220,5,1988,838,0.8545625272379214,0.2948960302457467,0.45348837209302323,0.0030105368790767687,-0.008576192524004655,-0.08695652173913043,-0.11054215229567327,-0.0005017561465127949
DAPT,XGBOOST,42,0.25,1000,TEMPORAL,8000,0.996089518070221,0.005,0.00468384074941452,0.2097130242825607,3.802845314000024,0.020969943999944007,0.9276769982674257,0.9232642812500002,0.9941520467836257,0.2125,0.35015447991761073,0.00125,850,5,3995,3150,0.9256401476110678,0.2545,0.40533545689826794,0.00125,0.002036850656357836,-0.04200000000000001,-0.055180976980657215,0.0
DAPT,XGBOOST,42,0.25,1000,DOMAIN_OOD,3858,0.996089518070221,0.005,0.00468384074941452,0.2097130242825607,3.802845314000024,0.010450570999978481,0.8973448272398755,0.8980766403810116,0.9835390946502057,0.12389839294971487,0.22007366482504603,0.002073613271124935,239,4,1925,1690,0.8937490233996681,0.1394504924831519,0.24454545454545454,0.0010368066355624676,0.003595803840207412,-0.015552099533437017,-0.024471789720408504,0.0010368066355624676
DAPT,XGBOOST,42,0.25,1000,TEMPLATE_OOD,6832,0.996089518070221,0.005,0.00468384074941452,0.2097130242825607,3.802845314000024,0.016892204999976457,0.9214239201167851,0.9171061909378103,0.9929478138222849,0.20608899297423888,0.3413333333333333,0.0014637002341920376,704,5,3411,2712,0.9188520663073494,0.25731850117096017,0.4088372093023256,0.0014637002341920376,0.002571853809435698,-0.051229508196721285,-0.06750387596899227,0.0
DAPT,XGBOOST,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.996089518070221,0.005,0.00468384074941452,0.2097130242825607,3.802845314000024,0.00956677400006356,0.8846748125109842,0.8859070565522634,0.9800995024875622,0.10625674217907227,0.19172749391727495,0.002157497303128371,197,4,1850,1657,0.8842646063958204,0.13754045307443366,0.24159166271909047,0.0010787486515641855,0.000410206115163847,-0.03128371089536139,-0.04986416880181552,0.0010787486515641855
DAPT,MLP,42,0.25,1000,IID,3051,0.9433161616325378,0.005,0.00468384074941452,0.34216335540838855,0.4756644099999221,0.022701751999989028,0.8516855034330265,0.9007902896432409,0.9502762430939227,0.32514177693761814,0.48450704225352115,0.009031610637230306,344,18,1975,714,0.8740764355475602,0.3771266540642722,0.5443383356070941,0.004515805318615153,-0.02239093211453369,-0.05198487712665406,-0.059831293353572956,0.004515805318615153
DAPT,MLP,42,0.25,1000,TEMPORAL,8000,0.9433161616325378,0.005,0.00468384074941452,0.34216335540838855,0.4756644099999221,0.06606955300003392,0.9337253208821631,0.9292800625,0.985239852398524,0.4005,0.5694987557767508,0.006,1602,24,3976,2398,0.932125377759016,0.32275,0.48634394424562066,0.0045,0.0015999431231470407,0.07775000000000004,0.08315481153113014,0.0015000000000000005
DAPT,MLP,42,0.25,1000,DOMAIN_OOD,3858,0.9433161616325378,0.005,0.00468384074941452,0.34216335540838855,0.4756644099999221,0.029298073000063596,0.9015195446682549,0.9004426449480132,0.9716814159292035,0.2846034214618974,0.44025661587810744,0.00829445308449974,549,16,1913,1380,0.8971163480498583,0.20269569725246242,0.3354783354783355,0.005702436495593572,0.00440319661839661,0.08190772420943496,0.10477828039977194,0.0025920165889061686
DAPT,MLP,42,0.25,1000,TEMPLATE_OOD,6832,0.9433161616325378,0.005,0.00468384074941452,0.34216335540838855,0.4756644099999221,0.04632067400007145,0.9266647436538664,0.9218266670414471,0.9828741623231572,0.3864168618266979,0.5547383904181551,0.006733021077283372,1320,23,3393,2096,0.9256942404195135,0.3164519906323185,0.4788482834994463,0.005269320843091335,0.0009705032343528819,0.06996487119437939,0.07589010691870879,0.0014637002341920374
DAPT,MLP,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.9433161616325378,0.005,0.00468384074941452,0.34216335540838855,0.4756644099999221,0.027031781999994564,0.8903806586209242,0.8890689712554797,0.9690522243713733,0.2702265372168285,0.42260649514972587,0.008629989212513484,501,16,1838,1353,0.8880807092531171,0.18770226537216828,0.3145051965657479,0.005933117583603021,0.002299949367807086,0.08252427184466021,0.10810129858397799,0.0026968716289104628
CONTRASTIVE,LOGREG,42,0.25,1000,IID,3051,0.9978094214877402,0.005,0.00468384074941452,0.09492273730684327,0.35407043899999735,0.038749328999983845,0.7916962040312597,0.8661885597701597,0.9624060150375939,0.12098298676748583,0.21494542401343408,0.002508780732563974,128,5,1988,930,0.8692856163366288,0.19281663516068054,0.32252964426877473,0.0015052684395383843,-0.07758941230536909,-0.07183364839319471,-0.10758422025534065,0.0010035122930255895
CONTRASTIVE,LOGREG,42,0.25,1000,TEMPORAL,8000,0.9978094214877402,0.005,0.00468384074941452,0.09492273730684327,0.35407043899999735,0.055598618999965765,0.8790239872030081,0.8751383125,0.985655737704918,0.12025,0.214349376114082,0.00175,481,7,3993,3519,0.9364627804978285,0.214,0.3521909072207365,0.00125,-0.05743879329482038,-0.09375,-0.13784153110665448,0.0005
CONTRASTIVE,LOGREG,42,0.25,1000,DOMAIN_OOD,3858,0.9978094214877402,0.005,0.00468384074941452,0.09492273730684327,0.35407043899999735,0.025041186000066773,0.8494756824506255,0.8450296570233975,0.9831460674157303,0.09072058061171591,0.16611295681063123,0.0015552099533437014,175,3,1926,1754,0.9163930765037394,0.18040435458786935,0.30526315789473685,0.0015552099533437014,-0.06691739405311381,-0.08968377397615344,-0.1391502010841056,0.0
CONTRASTIVE,LOGREG,42,0.25,1000,TEMPLATE_OOD,6832,0.9978094214877402,0.005,0.00468384074941452,0.09492273730684327,0.35407043899999735,0.0425369460000411,0.8775711361146558,0.8731789443807624,0.9875,0.11563231850117096,0.2070230607966457,0.0014637002341920376,395,5,3411,3021,0.9314459231083095,0.21311475409836064,0.35092793444203424,0.0014637002341920376,-0.05387478699365378,-0.09748243559718968,-0.14390487364538854,0.0
CONTRASTIVE,LOGREG,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.9978094214877402,0.005,0.00468384074941452,0.09492273730684327,0.35407043899999735,0.020485574999952405,0.843040450503255,0.8377341507152674,0.9805194805194806,0.081445523193096,0.150398406374502,0.0016181229773462784,151,3,1851,1703,0.9084288200381455,0.18122977346278318,0.3064295485636115,0.0016181229773462784,-0.06538836953489047,-0.09978425026968718,-0.1560311421891095,0.0
CONTRASTIVE,XGBOOST,42,0.25,1000,IID,3051,0.9883657097816467,0.005,0.00468384074941452,0.1390728476821192,5.818751691999978,0.009415741999987404,0.7706134527409534,0.8555938222341521,0.9289940828402367,0.14839319470699433,0.25590872045639773,0.006021073758153537,157,12,1981,901,0.8545625272379214,0.2948960302457467,0.45348837209302323,0.0030105368790767687,-0.08394907449696798,-0.14650283553875235,-0.1975796516366255,0.0030105368790767687
CONTRASTIVE,XGBOOST,42,0.25,1000,TEMPORAL,8000,0.9883657097816467,0.005,0.00468384074941452,0.1390728476821192,5.818751691999978,0.02333415900000091,0.8697488108756875,0.8595488749999999,0.9800266311584553,0.184,0.3098295095769312,0.00375,736,15,3985,3264,0.9256401476110678,0.2545,0.40533545689826794,0.00125,-0.05589133673538038,-0.07050000000000001,-0.09550594732133677,0.0024999999999999996
CONTRASTIVE,XGBOOST,42,0.25,1000,DOMAIN_OOD,3858,0.9883657097816467,0.005,0.00468384074941452,0.1390728476821192,5.818751691999978,0.012470295999946757,0.8293680109665564,0.8206977563536656,0.9629629629629629,0.10782789009849664,0.19393939393939394,0.00414722654224987,208,8,1921,1721,0.8937490233996681,0.1394504924831519,0.24454545454545454,0.0010368066355624676,-0.06438101243311167,-0.03162260238465525,-0.0506060606060606,0.003110419906687403
CONTRASTIVE,XGBOOST,42,0.25,1000,TEMPLATE_OOD,6832,0.9883657097816467,0.005,0.00468384074941452,0.1390728476821192,5.818751691999978,0.02105009800004609,0.8669380482052752,0.8544901575585891,0.9815100154083205,0.1864754098360656,0.3134071340713407,0.00351288056206089,637,12,3404,2779,0.9188520663073494,0.25731850117096017,0.4088372093023256,0.0014637002341920376,-0.05191401810207419,-0.07084309133489458,-0.0954300752309849,0.002049180327868852
CONTRASTIVE,XGBOOST,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.9883657097816467,0.005,0.00468384074941452,0.1390728476821192,5.818751691999978,0.011409646000061002,0.8217936412876471,0.8125505481602506,0.9655172413793104,0.10571736785329018,0.19056878949927078,0.0037756202804746495,196,7,1847,1658,0.8842646063958204,0.13754045307443366,0.24159166271909047,0.0010787486515641855,-0.06247096510817329,-0.03182308522114348,-0.05102287321981969,0.002696871628910464
CONTRASTIVE,MLP,42,0.25,1000,IID,3051,0.9917106032371521,0.005,0.00468384074941452,0.1545253863134658,0.545882243000051,0.021261888000026374,0.8022099344901275,0.8792337453298266,0.9378238341968912,0.17107750472589792,0.28936850519584334,0.006021073758153537,181,12,1981,877,0.8740764355475602,0.3771266540642722,0.5443383356070941,0.004515805318615153,-0.07186650105743275,-0.2060491493383743,-0.25496983041125076,0.0015052684395383846
CONTRASTIVE,MLP,42,0.25,1000,TEMPORAL,8000,0.9917106032371521,0.005,0.00468384074941452,0.1545253863134658,0.545882243000051,0.058919420000052014,0.8902414883062039,0.883052125,0.9726477024070022,0.22225,0.36182336182336183,0.00625,889,25,3975,3111,0.932125377759016,0.32275,0.48634394424562066,0.0045,-0.041883889452812184,-0.10049999999999998,-0.12452058242225883,0.0017500000000000007
CONTRASTIVE,MLP,42,0.25,1000,DOMAIN_OOD,3858,0.9917106032371521,0.005,0.00468384074941452,0.1545253863134658,0.545882243000051,0.026870591999909266,0.8586762471060783,0.8534678870778366,0.9587020648967551,0.168481078278901,0.2865961199294533,0.007257646448937273,325,14,1915,1604,0.8971163480498583,0.20269569725246242,0.3354783354783355,0.005702436495593572,-0.03844010094378003,-0.03421461897356143,-0.048882215548882224,0.001555209953343701
CONTRASTIVE,MLP,42,0.25,1000,TEMPLATE_OOD,6832,0.9917106032371521,0.005,0.00468384074941452,0.1545253863134658,0.545882243000051,0.047538794000047346,0.8891847796678004,0.8810974083936183,0.9735182849936949,0.2259953161592506,0.36683297695414585,0.006147540983606557,772,21,3395,2644,0.9256942404195135,0.3164519906323185,0.4788482834994463,0.005269320843091335,-0.03650946075171313,-0.0904566744730679,-0.11201530654530045,0.0008782201405152226
CONTRASTIVE,MLP,42,0.25,1000,DOMAIN_TEMPLATE_OOD,3708,0.9917106032371521,0.005,0.00468384074941452,0.1545253863134658,0.545882243000051,0.026560509999967508,0.8524460777896993,0.8442869378317268,0.9584664536741214,0.16181229773462782,0.2768804799261652,0.007011866235167206,300,13,1841,1554,0.8880807092531171,0.18770226537216828,0.3145051965657479,0.005933117583603021,-0.03563463146341783,-0.02588996763754045,-0.03762471663958267,0.0010787486515641855
DAPT,LOGREG,42,1.0,4000,IID,3051,0.9936721263883593,0.005,0.00468384074941452,0.32450331125827814,0.6458043239999824,0.0432084900000973,0.892491563283498,0.9218152000811914,0.982089552238806,0.31096408317580343,0.4723618090452261,0.0030105368790767687,329,6,1987,729,0.8961567104863788,0.29773156899810965,0.45751633986928103,0.002007024586051179,-0.003665147202880803,0.013232514177693777,0.014845469175945092,0.0010035122930255897
DAPT,LOGREG,42,1.0,4000,TEMPORAL,8000,0.9936721263883593,0.005,0.00468384074941452,0.32450331125827814,0.6458043239999824,0.050819994999983464,0.9542373482735207,0.9491515625,0.9933993399339934,0.37625,0.5457842248413418,0.0025,1505,10,3990,2495,0.9499098889746075,0.322,0.4861294583883752,0.00275,0.0043274592989132055,0.054249999999999965,0.059654766452966634,-0.0002499999999999998
