representation,classifier,seed,label_budget,target_fpr,comparison,iid_n,ood_n,iid_prevalence,ood_prevalence,iid_ap,ood_ap,ap_delta_ood_minus_iid,iid_empirical_fpr,ood_empirical_fpr,empirical_fpr_delta,iid_recall,ood_recall,recall_delta
BASE,LOGREG,42,0.1,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9037980924555247,0.9166973883424776,0.012899295886952933,0.01606805293005671,0.015515222482435597,-0.0005528304476211145,0.4810964083175803,0.4153981264637002,-0.0656982818538801
BASE,LOGREG,42,0.1,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9037980924555247,0.8796824802823101,-0.024115612173214562,0.01606805293005671,0.020496224379719527,0.0044281714496628155,0.4810964083175803,0.32470334412081986,-0.15639306419676047
BASE,LOGREG,42,0.25,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9177763846888436,0.9364627804978285,0.0186863958089849,0.000945179584120983,0.00125,0.000304820415879017,0.19281663516068054,0.214,0.021183364839319457
BASE,LOGREG,42,0.25,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9177763846888436,0.9163930765037394,-0.0013833081851042373,0.000945179584120983,0.0015552099533437014,0.0006100303692227184,0.19281663516068054,0.18040435458786935,-0.012412280572811185
BASE,LOGREG,42,0.25,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9177763846888436,0.9314459231083095,0.013669538419465943,0.000945179584120983,0.0014637002341920376,0.0005185206500710546,0.19281663516068054,0.21311475409836064,0.020298118937680104
BASE,LOGREG,42,0.25,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9177763846888436,0.9084288200381455,-0.009347564650698081,0.000945179584120983,0.0016181229773462784,0.0006729433932252954,0.19281663516068054,0.18122977346278318,-0.011586861697897355
BASE,LOGREG,42,0.25,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9177763846888436,0.9364627804978285,0.0186863958089849,0.004725897920604915,0.00625,0.0015241020793950854,0.39697542533081287,0.402,0.005024574669187154
BASE,LOGREG,42,0.25,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9177763846888436,0.9163930765037394,-0.0013833081851042373,0.004725897920604915,0.008812856402280975,0.00408695848167606,0.39697542533081287,0.3499222395023328,-0.04705318582848006
BASE,LOGREG,42,0.25,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9177763846888436,0.9314459231083095,0.013669538419465943,0.004725897920604915,0.00702576112412178,0.002299863203516865,0.39697542533081287,0.3931498829039813,-0.003825542426831585
BASE,LOGREG,42,0.25,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9177763846888436,0.9084288200381455,-0.009347564650698081,0.004725897920604915,0.008629989212513484,0.0039040912919085687,0.39697542533081287,0.33495145631067963,-0.06202396902013324
BASE,LOGREG,42,0.25,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9177763846888436,0.9364627804978285,0.0186863958089849,0.01890359168241966,0.021,0.0020964083175803415,0.5472589792060492,0.58325,0.03599102079395089
BASE,LOGREG,42,0.25,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9177763846888436,0.9163930765037394,-0.0013833081851042373,0.01890359168241966,0.026438569206842923,0.0075349775244232635,0.5472589792060492,0.5443234836702955,-0.002935495535753674
BASE,LOGREG,42,0.25,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9177763846888436,0.9314459231083095,0.013669538419465943,0.01890359168241966,0.02224824355971897,0.00334465187729931,0.5472589792060492,0.5766978922716628,0.029438913065613637
BASE,LOGREG,42,0.25,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9177763846888436,0.9084288200381455,-0.009347564650698081,0.01890359168241966,0.026429341963322545,0.0075257502809028855,0.5472589792060492,0.5167206040992449,-0.03053837510680424
BASE,LOGREG,42,1.0,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.933757155456087,0.9499098889746075,0.016152733518520535,0.001890359168241966,0.00275,0.0008596408317580338,0.29773156899810965,0.322,0.024268431001890356
BASE,LOGREG,42,1.0,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.933757155456087,0.925876188699382,-0.00788096675670491,0.001890359168241966,0.00414722654224987,0.0022568673740079046,0.29773156899810965,0.2332814930015552,-0.06445007599655445
BASE,LOGREG,42,1.0,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.933757155456087,0.9457954310921128,0.012038275636025886,0.001890359168241966,0.0032201405152224825,0.0013297813469805165,0.29773156899810965,0.3190866510538642,0.021355082055754537
BASE,LOGREG,42,1.0,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.933757155456087,0.9213074954291286,-0.012449660026958353,0.001890359168241966,0.004314994606256742,0.002424635438014776,0.29773156899810965,0.22168284789644013,-0.07604872110166952
BASE,LOGREG,42,1.0,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.933757155456087,0.9499098889746075,0.016152733518520535,0.005671077504725898,0.0075,0.0018289224952741014,0.46313799621928164,0.4945,0.03136200378071835
BASE,LOGREG,42,1.0,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.933757155456087,0.925876188699382,-0.00788096675670491,0.005671077504725898,0.01088646967340591,0.005215392168680012,0.46313799621928164,0.40435458786936235,-0.0587834083499193
BASE,LOGREG,42,1.0,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.933757155456087,0.9457954310921128,0.012038275636025886,0.005671077504725898,0.007903981264637002,0.002232903759911104,0.46313799621928164,0.4882903981264637,0.025152401907182043
BASE,LOGREG,42,1.0,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.933757155456087,0.9213074954291286,-0.012449660026958353,0.005671077504725898,0.010248112189859764,0.004577034685133865,0.46313799621928164,0.3888888888888889,-0.07424910733039275
BASE,LOGREG,42,1.0,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.933757155456087,0.9499098889746075,0.016152733518520535,0.013232514177693762,0.01375,0.0005174858223062385,0.556710775047259,0.58225,0.02553922495274108
BASE,LOGREG,42,1.0,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.933757155456087,0.925876188699382,-0.00788096675670491,0.013232514177693762,0.020736132711249352,0.00750361853355559,0.556710775047259,0.5002592016588906,-0.05645157338836837
BASE,LOGREG,42,1.0,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.933757155456087,0.9457954310921128,0.012038275636025886,0.013232514177693762,0.014929742388758781,0.00169722821106502,0.556710775047259,0.5711358313817331,0.014425056334474107
BASE,LOGREG,42,1.0,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.933757155456087,0.9213074954291286,-0.012449660026958353,0.013232514177693762,0.019956850053937433,0.006724335876243671,0.556710775047259,0.47518878101402373,-0.08152199403323523
BASE,LOGREG,52,0.1,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.8993387007893024,0.9123922244125747,0.013053523623272278,0.010396975425330813,0.006,-0.004396975425330813,0.34120982986767484,0.33125,-0.009959829867674852
BASE,LOGREG,52,0.1,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.8993387007893024,0.8854540099057087,-0.013884690883593787,0.010396975425330813,0.00673924313115604,-0.0036577322941747734,0.34120982986767484,0.32089165370658373,-0.020318176161091106
BASE,LOGREG,52,0.1,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.8993387007893024,0.907010480456393,0.007671779667090539,0.010396975425330813,0.004976580796252928,-0.0054203946290778855,0.34120982986767484,0.33138173302107726,-0.009828096846597578
BASE,LOGREG,52,0.1,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.8993387007893024,0.8744923072350446,-0.024846393554257884,0.010396975425330813,0.007011866235167206,-0.003385109190163607,0.34120982986767484,0.3220064724919094,-0.01920335737576545
BASE,LOGREG,52,0.1,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.8993387007893024,0.9123922244125747,0.013053523623272278,0.013232514177693762,0.01075,-0.0024825141776937624,0.39224952741020797,0.39,-0.002249527410207952
BASE,LOGREG,52,0.1,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.8993387007893024,0.8854540099057087,-0.013884690883593787,0.013232514177693762,0.012960082944530845,-0.0002724312331629161,0.39224952741020797,0.36391912908242613,-0.028330398327781836
BASE,LOGREG,52,0.1,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.8993387007893024,0.907010480456393,0.007671779667090539,0.013232514177693762,0.009660421545667448,-0.003572092632026314,0.39224952741020797,0.3861241217798595,-0.006125405630348468
BASE,LOGREG,52,0.1,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.8993387007893024,0.8744923072350446,-0.024846393554257884,0.013232514177693762,0.012944983818770227,-0.0002875303589235344,0.39224952741020797,0.3667745415318231,-0.02547498587838487
BASE,LOGREG,52,0.1,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.8993387007893024,0.9123922244125747,0.013053523623272278,0.01890359168241966,0.01775,-0.0011535916824196614,0.4848771266540643,0.50075,0.015872873345935734
BASE,LOGREG,52,0.1,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.8993387007893024,0.8854540099057087,-0.013884690883593787,0.01890359168241966,0.024883359253499222,0.0059797675710795625,0.4848771266540643,0.4701918092275791,-0.014685317426485212
BASE,LOGREG,52,0.1,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.8993387007893024,0.907010480456393,0.007671779667090539,0.01890359168241966,0.01756440281030445,-0.0013391888721152115,0.4848771266540643,0.49004683840749413,0.00516971175342984
BASE,LOGREG,52,0.1,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.8993387007893024,0.8744923072350446,-0.024846393554257884,0.01890359168241966,0.02535059331175836,0.0064470016293387,0.4848771266540643,0.45037756202804746,-0.03449956462601683
BASE,LOGREG,52,0.25,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9116627659270797,0.938939723257684,0.027276957330604312,0.007561436672967864,0.00775,0.00018856332703213585,0.32325141776937616,0.36875,0.04549858223062386
BASE,LOGREG,52,0.25,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9116627659270797,0.9263392427658415,0.01467647683876172,0.007561436672967864,0.006220839813374806,-0.0013405968595930585,0.32325141776937616,0.3462934162778642,0.023041998508488037
BASE,LOGREG,52,0.25,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9116627659270797,0.9365696938112558,0.024906927884176033,0.007561436672967864,0.006440281030444965,-0.001121155642522899,0.32325141776937616,0.3635831381733021,0.040331720403925964
BASE,LOGREG,52,0.25,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9116627659270797,0.92000824818065,0.008345482253570236,0.007561436672967864,0.006472491909385114,-0.0010889447635827505,0.32325141776937616,0.3419633225458468,0.018711904776470667
BASE,LOGREG,52,0.25,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9116627659270797,0.938939723257684,0.027276957330604312,0.012287334593572778,0.01275,0.000462665406427221,0.42627599243856334,0.5015,0.0752240075614366
BASE,LOGREG,52,0.25,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9116627659270797,0.9263392427658415,0.01467647683876172,0.012287334593572778,0.012441679626749611,0.00015434503317683299,0.42627599243856334,0.4691550025920166,0.042879010153453245
BASE,LOGREG,52,0.25,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9116627659270797,0.9365696938112558,0.024906927884176033,0.012287334593572778,0.011416861826697893,-0.0008704727668748854,0.42627599243856334,0.4918032786885246,0.06552728624996124
BASE,LOGREG,52,0.25,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9116627659270797,0.92000824818065,0.008345482253570236,0.012287334593572778,0.012405609492988134,0.00011827489941535624,0.42627599243856334,0.45685005393743255,0.03057406149886921
BASE,LOGREG,52,0.25,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9116627659270797,0.938939723257684,0.027276957330604312,0.024574669187145556,0.01975,-0.004824669187145556,0.5170132325141777,0.59625,0.0792367674858222
BASE,LOGREG,52,0.25,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9116627659270797,0.9263392427658415,0.01467647683876172,0.024574669187145556,0.023846552617936754,-0.0007281165692088025,0.5170132325141777,0.5717988595127009,0.054785626998523185
BASE,LOGREG,52,0.25,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9116627659270797,0.9365696938112558,0.024906927884176033,0.024574669187145556,0.019028103044496487,-0.005546566142649069,0.5170132325141777,0.5837236533957846,0.06671042088160684
BASE,LOGREG,52,0.25,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9116627659270797,0.92000824818065,0.008345482253570236,0.024574669187145556,0.023732470334412083,-0.000842198852733473,0.5170132325141777,0.5512405609492989,0.03422732843512111
BASE,LOGREG,52,1.0,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.933757155456087,0.9499098889746075,0.016152733518520535,0.001890359168241966,0.00275,0.0008596408317580338,0.29773156899810965,0.322,0.024268431001890356
BASE,LOGREG,52,1.0,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.933757155456087,0.925876188699382,-0.00788096675670491,0.001890359168241966,0.00414722654224987,0.0022568673740079046,0.29773156899810965,0.2332814930015552,-0.06445007599655445
BASE,LOGREG,52,1.0,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.933757155456087,0.9457954310921128,0.012038275636025886,0.001890359168241966,0.0032201405152224825,0.0013297813469805165,0.29773156899810965,0.3190866510538642,0.021355082055754537
BASE,LOGREG,52,1.0,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.933757155456087,0.9213074954291286,-0.012449660026958353,0.001890359168241966,0.004314994606256742,0.002424635438014776,0.29773156899810965,0.22168284789644013,-0.07604872110166952
BASE,LOGREG,52,1.0,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.933757155456087,0.9499098889746075,0.016152733518520535,0.005671077504725898,0.0075,0.0018289224952741014,0.46313799621928164,0.4945,0.03136200378071835
BASE,LOGREG,52,1.0,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.933757155456087,0.925876188699382,-0.00788096675670491,0.005671077504725898,0.01088646967340591,0.005215392168680012,0.46313799621928164,0.40435458786936235,-0.0587834083499193
BASE,LOGREG,52,1.0,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.933757155456087,0.9457954310921128,0.012038275636025886,0.005671077504725898,0.007903981264637002,0.002232903759911104,0.46313799621928164,0.4882903981264637,0.025152401907182043
BASE,LOGREG,52,1.0,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.933757155456087,0.9213074954291286,-0.012449660026958353,0.005671077504725898,0.010248112189859764,0.004577034685133865,0.46313799621928164,0.3888888888888889,-0.07424910733039275
BASE,LOGREG,52,1.0,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.933757155456087,0.9499098889746075,0.016152733518520535,0.013232514177693762,0.01375,0.0005174858223062385,0.556710775047259,0.58225,0.02553922495274108
BASE,LOGREG,52,1.0,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.933757155456087,0.925876188699382,-0.00788096675670491,0.013232514177693762,0.020736132711249352,0.00750361853355559,0.556710775047259,0.5002592016588906,-0.05645157338836837
BASE,LOGREG,52,1.0,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.933757155456087,0.9457954310921128,0.012038275636025886,0.013232514177693762,0.014929742388758781,0.00169722821106502,0.556710775047259,0.5711358313817331,0.014425056334474107
BASE,LOGREG,52,1.0,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.933757155456087,0.9213074954291286,-0.012449660026958353,0.013232514177693762,0.019956850053937433,0.006724335876243671,0.556710775047259,0.47518878101402373,-0.08152199403323523
BASE,LOGREG,62,0.1,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9039167477242702,0.9184294318654724,0.014512684141202215,0.006616257088846881,0.0055,-0.001116257088846881,0.34120982986767484,0.3175,-0.023709829867674836
BASE,LOGREG,62,0.1,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9039167477242702,0.8855641610722524,-0.018352586652017777,0.006616257088846881,0.008812856402280975,0.0021965993134340943,0.34120982986767484,0.2700881285640228,-0.07112170130365203
BASE,LOGREG,62,0.1,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9039167477242702,0.9127579057506428,0.008841158026372531,0.006616257088846881,0.006147540983606557,-0.0004687161052403235,0.34120982986767484,0.3085480093676815,-0.03266182049999333
BASE,LOGREG,62,0.1,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9039167477242702,0.8780934277212462,-0.02582332000302401,0.006616257088846881,0.008629989212513484,0.002013732123666603,0.34120982986767484,0.26429341963322545,-0.0769164102344494
BASE,LOGREG,62,0.1,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9039167477242702,0.9184294318654724,0.014512684141202215,0.008506616257088847,0.0075,-0.0010066162570888468,0.40264650283553877,0.385,-0.017646502835538758
BASE,LOGREG,62,0.1,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9039167477242702,0.8855641610722524,-0.018352586652017777,0.008506616257088847,0.011404872991187144,0.002898256734098298,0.40264650283553877,0.33177812337998963,-0.07086837945554914
BASE,LOGREG,62,0.1,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9039167477242702,0.9127579057506428,0.008841158026372531,0.008506616257088847,0.00819672131147541,-0.0003098949456134363,0.40264650283553877,0.3788056206088993,-0.023840882226639493
BASE,LOGREG,62,0.1,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9039167477242702,0.8780934277212462,-0.02582332000302401,0.008506616257088847,0.010787486515641856,0.0022808702585530097,0.40264650283553877,0.33063646170442285,-0.07201004113111592
BASE,LOGREG,62,0.1,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9039167477242702,0.9184294318654724,0.014512684141202215,0.021739130434782608,0.02,-0.0017391304347826077,0.5293005671077504,0.5285,-0.0008005671077504495
BASE,LOGREG,62,0.1,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9039167477242702,0.8855641610722524,-0.018352586652017777,0.021739130434782608,0.02436495593571799,0.0026258255009353818,0.5293005671077504,0.46241575946086055,-0.06688480764688987
BASE,LOGREG,62,0.1,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9039167477242702,0.9127579057506428,0.008841158026372531,0.021739130434782608,0.01990632318501171,-0.0018328072497708972,0.5293005671077504,0.5190281030444965,-0.010272464063253883
BASE,LOGREG,62,0.1,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9039167477242702,0.8780934277212462,-0.02582332000302401,0.021739130434782608,0.024271844660194174,0.0025327142254115663,0.5293005671077504,0.447680690399137,-0.08161987670861343
BASE,LOGREG,62,0.25,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9101010488366469,0.9298274500182462,0.019726401181599296,0.002835538752362949,0.002,-0.0008355387523629491,0.1502835538752363,0.24725,0.09696644612476371
BASE,LOGREG,62,0.25,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9101010488366469,0.9010605181257381,-0.009040530710908823,0.002835538752362949,0.002592016588906169,-0.00024352216345678015,0.1502835538752363,0.22757905650596164,0.07729550263072535
BASE,LOGREG,62,0.25,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9101010488366469,0.9263277616319344,0.016226712795287535,0.002835538752362949,0.00234192037470726,-0.0004936183776556892,0.1502835538752363,0.24151053864168617,0.09122698476644989
BASE,LOGREG,62,0.25,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9101010488366469,0.8968117348118001,-0.013289314024846788,0.002835538752362949,0.002696871628910464,-0.00013866712345248508,0.1502835538752363,0.21467098166127294,0.06438742778603665
BASE,LOGREG,62,0.25,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9101010488366469,0.9298274500182462,0.019726401181599296,0.006616257088846881,0.008,0.0013837429111531194,0.3431001890359168,0.41075,0.06764981096408318
BASE,LOGREG,62,0.25,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9101010488366469,0.9010605181257381,-0.009040530710908823,0.006616257088846881,0.011923276308968377,0.005307019220121496,0.3431001890359168,0.3691031622602385,0.026002973224321657
BASE,LOGREG,62,0.25,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9101010488366469,0.9263277616319344,0.016226712795287535,0.006616257088846881,0.008782201405152224,0.0021659443163053434,0.3431001890359168,0.40895784543325525,0.06585765639733843
BASE,LOGREG,62,0.25,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9101010488366469,0.8968117348118001,-0.013289314024846788,0.006616257088846881,0.011866235167206042,0.005249978078359161,0.3431001890359168,0.3667745415318231,0.02367435249590627
BASE,LOGREG,62,0.25,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9101010488366469,0.9298274500182462,0.019726401181599296,0.017013232514177693,0.0255,0.008486767485822305,0.5321361058601134,0.565,0.03286389413988655
BASE,LOGREG,62,0.25,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9101010488366469,0.9010605181257381,-0.009040530710908823,0.017013232514177693,0.03732503888024884,0.020311806366071144,0.5321361058601134,0.5127008812856402,-0.01943522457447322
BASE,LOGREG,62,0.25,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9101010488366469,0.9263277616319344,0.016226712795287535,0.017013232514177693,0.028395784543325527,0.011382552029147834,0.5321361058601134,0.5685011709601874,0.03636506510007398
BASE,LOGREG,62,0.25,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9101010488366469,0.8968117348118001,-0.013289314024846788,0.017013232514177693,0.037756202804746494,0.0207429702905688,0.5321361058601134,0.5064724919093851,-0.025663613950728248
BASE,LOGREG,62,1.0,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.933757155456087,0.9499098889746075,0.016152733518520535,0.001890359168241966,0.00275,0.0008596408317580338,0.29773156899810965,0.322,0.024268431001890356
BASE,LOGREG,62,1.0,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.933757155456087,0.925876188699382,-0.00788096675670491,0.001890359168241966,0.00414722654224987,0.0022568673740079046,0.29773156899810965,0.2332814930015552,-0.06445007599655445
BASE,LOGREG,62,1.0,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.933757155456087,0.9457954310921128,0.012038275636025886,0.001890359168241966,0.0032201405152224825,0.0013297813469805165,0.29773156899810965,0.3190866510538642,0.021355082055754537
BASE,LOGREG,62,1.0,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.933757155456087,0.9213074954291286,-0.012449660026958353,0.001890359168241966,0.004314994606256742,0.002424635438014776,0.29773156899810965,0.22168284789644013,-0.07604872110166952
BASE,LOGREG,62,1.0,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.933757155456087,0.9499098889746075,0.016152733518520535,0.005671077504725898,0.0075,0.0018289224952741014,0.46313799621928164,0.4945,0.03136200378071835
