representation,classifier,seed,label_budget,n_train,scenario,n_test,target_fpr,threshold,calibration_empirical_fpr,calibration_recall,fit_seconds,average_precision,roc_auc,precision,recall,f1,empirical_fpr,tp,fp,tn,fn,prevalence_phish
BASE,MLP,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.01,0.9860240221023561,0.00936768149882904,0.4282560706401766,0.3127501389999452,0.8580664870002435,0.8553734949012544,0.928416485900217,0.2308522114347357,0.3697624190064795,0.01779935275080906,428,33,1821,1426,0.5
BASE,MLP,42,0.1,400,IID_ORIGINAL,3051,0.02,0.9409886598587037,0.01990632318501171,0.5099337748344371,0.3127501389999452,0.8472223446253704,0.894692861688879,0.8955479452054794,0.4943289224952741,0.6370280146163215,0.030607124937280482,523,61,1932,535,0.3467715503113733
BASE,MLP,42,0.1,400,IID_BALANCED,2116,0.02,0.9409886598587037,0.01990632318501171,0.5099337748344371,0.3127501389999452,0.9020461070448695,0.8933045908212164,0.945750452079566,0.4943289224952741,0.6492861576660459,0.02835538752362949,523,30,1028,535,0.5
BASE,MLP,42,0.1,400,TEMPORAL,8000,0.02,0.9409886598587037,0.01990632318501171,0.5099337748344371,0.3127501389999452,0.9094466636506398,0.90061934375,0.9549418604651163,0.49275,0.650065963060686,0.02325,1971,93,3907,2029,0.5
BASE,MLP,42,0.1,400,DOMAIN_OOD,3858,0.02,0.9409886598587037,0.01990632318501171,0.5099337748344371,0.3127501389999452,0.8702722232146491,0.868718458087401,0.9325153374233128,0.3939865215137377,0.5539358600583091,0.02851218247796786,760,55,1874,1169,0.5
BASE,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.02,0.9409886598587037,0.01990632318501171,0.5099337748344371,0.3127501389999452,0.9054913172079063,0.8970196475190452,0.9532934131736527,0.46604215456674475,0.6260322453794731,0.022833723653395786,1592,78,3338,1824,0.5
BASE,MLP,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.02,0.9409886598587037,0.01990632318501171,0.5099337748344371,0.3127501389999452,0.8580664870002435,0.8553734949012544,0.9266943291839558,0.36138079827400216,0.5199844780752814,0.028586839266450916,670,53,1801,1184,0.5
DAPT,LOGREG,42,0.1,400,IID_ORIGINAL,3051,0.005,0.9936045756149189,0.00468384074941452,0.17218543046357615,0.0238258589997713,0.8367207193567879,0.8843214957455062,0.9751552795031055,0.14839319470699433,0.2575881870385562,0.002007024586051179,157,4,1989,901,0.3467715503113733
DAPT,LOGREG,42,0.1,400,IID_BALANCED,2116,0.005,0.9936045756149189,0.00468384074941452,0.17218543046357615,0.0238258589997713,0.8911862092883179,0.8820401585185873,0.9751552795031055,0.14839319470699433,0.2575881870385562,0.003780718336483932,157,4,1054,901,0.5
DAPT,LOGREG,42,0.1,400,TEMPORAL,8000,0.005,0.9936045756149189,0.00468384074941452,0.17218543046357615,0.0238258589997713,0.9151393528299777,0.9021093750000001,0.9899777282850779,0.22225,0.3630053082890976,0.00225,889,9,3991,3111,0.5
DAPT,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.005,0.9936045756149189,0.00468384074941452,0.17218543046357615,0.0238258589997713,0.8904571013486733,0.8825498025955638,0.9745454545454545,0.13893208916537067,0.24319419237749546,0.0036288232244686366,268,7,1922,1661,0.5
DAPT,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.005,0.9936045756149189,0.00468384074941452,0.17218543046357615,0.0238258589997713,0.9151737023189007,0.9035352988279429,0.9875346260387812,0.20872365339578455,0.34461092315128083,0.0026346604215456673,713,9,3407,2703,0.5
DAPT,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.005,0.9936045756149189,0.00468384074941452,0.17218543046357615,0.0238258589997713,0.8782175371202539,0.8682826949864372,0.9711934156378601,0.1272923408845739,0.22508345255126372,0.0037756202804746495,236,7,1847,1618,0.5
DAPT,LOGREG,42,0.1,400,IID_ORIGINAL,3051,0.01,0.9579655413518023,0.00936768149882904,0.41280353200883,0.0238258589997713,0.8367207193567879,0.8843214957455062,0.9435665914221218,0.3950850661625709,0.5569620253164557,0.012543903662819869,418,25,1968,640,0.3467715503113733
DAPT,LOGREG,42,0.1,400,IID_BALANCED,2116,0.01,0.9579655413518023,0.00936768149882904,0.41280353200883,0.0238258589997713,0.8911862092883179,0.8820401585185873,0.9631336405529954,0.3950850661625709,0.5603217158176944,0.015122873345935728,418,16,1042,640,0.5
DAPT,LOGREG,42,0.1,400,TEMPORAL,8000,0.01,0.9579655413518023,0.00936768149882904,0.41280353200883,0.0238258589997713,0.9151393528299777,0.9021093750000001,0.9847374847374848,0.40325,0.572188719404044,0.00625,1613,25,3975,2387,0.5
DAPT,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.01,0.9579655413518023,0.00936768149882904,0.41280353200883,0.0238258589997713,0.8904571013486733,0.8825498025955638,0.9808027923211169,0.2913426645930534,0.4492406075139888,0.005702436495593572,562,11,1918,1367,0.5
DAPT,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.01,0.9579655413518023,0.00936768149882904,0.41280353200883,0.0238258589997713,0.9151737023189007,0.9035352988279429,0.9863636363636363,0.38114754098360654,0.549831081081081,0.005269320843091335,1302,18,3398,2114,0.5
DAPT,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.01,0.9579655413518023,0.00936768149882904,0.41280353200883,0.0238258589997713,0.8782175371202539,0.8682826949864372,0.9775510204081632,0.25836030204962246,0.4087030716723549,0.005933117583603021,479,11,1843,1375,0.5
DAPT,LOGREG,42,0.1,400,IID_ORIGINAL,3051,0.02,0.9132300409769512,0.01990632318501171,0.5077262693156733,0.0238258589997713,0.8367207193567879,0.8843214957455062,0.9237435008665511,0.503780718336484,0.6519877675840978,0.02207727044656297,533,44,1949,525,0.3467715503113733
DAPT,LOGREG,42,0.1,400,IID_BALANCED,2116,0.02,0.9132300409769512,0.01990632318501171,0.5077262693156733,0.0238258589997713,0.8911862092883179,0.8820401585185873,0.9467140319715808,0.503780718336484,0.6576187538556446,0.02835538752362949,533,30,1028,525,0.5
DAPT,LOGREG,42,0.1,400,TEMPORAL,8000,0.02,0.9132300409769512,0.01990632318501171,0.5077262693156733,0.0238258589997713,0.9151393528299777,0.9021093750000001,0.9760191846522782,0.50875,0.6688578471651603,0.0125,2035,50,3950,1965,0.5
DAPT,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.02,0.9132300409769512,0.01990632318501171,0.5077262693156733,0.0238258589997713,0.8904571013486733,0.8825498025955638,0.9695817490494296,0.3965785381026439,0.5629139072847682,0.012441679626749611,765,24,1905,1164,0.5
DAPT,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.02,0.9132300409769512,0.01990632318501171,0.5077262693156733,0.0238258589997713,0.9151737023189007,0.9035352988279429,0.9804849201655825,0.4853629976580796,0.6493048756608576,0.009660421545667448,1658,33,3383,1758,0.5
DAPT,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.02,0.9132300409769512,0.01990632318501171,0.5077262693156733,0.0238258589997713,0.8782175371202539,0.8682826949864372,0.9672830725462305,0.3667745415318231,0.5318732890105593,0.012405609492988134,680,23,1831,1174,0.5
DAPT,XGBOOST,42,0.1,400,IID_ORIGINAL,3051,0.005,0.9880515336990358,0.00468384074941452,0.20088300220750552,1.7845714949999092,0.8018627007784181,0.8636385193166631,0.9482071713147411,0.22495274102079396,0.36363636363636365,0.006522829904666332,238,13,1980,820,0.3467715503113733
DAPT,XGBOOST,42,0.1,400,IID_BALANCED,2116,0.005,0.9880515336990358,0.00468384074941452,0.20088300220750552,1.7845714949999092,0.8689512930357273,0.8616884230688141,0.9754098360655737,0.22495274102079396,0.3655913978494624,0.005671077504725898,238,6,1052,820,0.5
DAPT,XGBOOST,42,0.1,400,TEMPORAL,8000,0.005,0.9880515336990358,0.00468384074941452,0.20088300220750552,1.7845714949999092,0.891378540247235,0.8793841874999999,0.9919517102615694,0.2465,0.394873848618342,0.002,986,8,3992,3014,0.5
DAPT,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.005,0.9880515336990358,0.00468384074941452,0.20088300220750552,1.7845714949999092,0.851344216428065,0.851068558502849,0.9750889679715302,0.14204250907205807,0.24796380090497738,0.0036288232244686366,274,7,1922,1655,0.5
DAPT,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.005,0.9880515336990358,0.00468384074941452,0.20088300220750552,1.7845714949999092,0.8881451739096473,0.8766595172737195,0.9914738124238733,0.2382903981264637,0.3842341279206986,0.0020491803278688526,814,7,3409,2602,0.5
DAPT,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.005,0.9880515336990358,0.00468384074941452,0.20088300220750552,1.7845714949999092,0.8351875191355482,0.8331451050761699,0.9715447154471545,0.12891046386192018,0.2276190476190476,0.0037756202804746495,239,7,1847,1615,0.5
DAPT,XGBOOST,42,0.1,400,IID_ORIGINAL,3051,0.01,0.979153871536255,0.00936768149882904,0.282560706401766,1.7845714949999092,0.8018627007784181,0.8636385193166631,0.9303621169916435,0.31568998109640833,0.47141848976711365,0.012543903662819869,334,25,1968,724,0.3467715503113733
DAPT,XGBOOST,42,0.1,400,IID_BALANCED,2116,0.01,0.979153871536255,0.00936768149882904,0.282560706401766,1.7845714949999092,0.8689512930357273,0.8616884230688141,0.9515669515669516,0.31568998109640833,0.4740951029098652,0.01606805293005671,334,17,1041,724,0.5
DAPT,XGBOOST,42,0.1,400,TEMPORAL,8000,0.01,0.979153871536255,0.00936768149882904,0.282560706401766,1.7845714949999092,0.891378540247235,0.8793841874999999,0.9749791492910759,0.29225,0.4497018657434122,0.0075,1169,30,3970,2831,0.5
DAPT,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.01,0.979153871536255,0.00936768149882904,0.282560706401766,1.7845714949999092,0.851344216428065,0.851068558502849,0.9536784741144414,0.18144116122343182,0.3048780487804878,0.008812856402280975,350,17,1912,1579,0.5
DAPT,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.01,0.979153871536255,0.00936768149882904,0.282560706401766,1.7845714949999092,0.8881451739096473,0.8766595172737195,0.9766497461928934,0.281615925058548,0.4371733696887071,0.006733021077283372,962,23,3393,2454,0.5
DAPT,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.01,0.979153871536255,0.00936768149882904,0.282560706401766,1.7845714949999092,0.8351875191355482,0.8331451050761699,0.946031746031746,0.16073354908306364,0.2747810050714615,0.009169363538295576,298,17,1837,1556,0.5
DAPT,XGBOOST,42,0.1,400,IID_ORIGINAL,3051,0.02,0.9385442137718202,0.01990632318501171,0.4481236203090508,1.7845714949999092,0.8018627007784181,0.8636385193166631,0.8946360153256705,0.44139886578449905,0.5911392405063292,0.027596588058203714,467,55,1938,591,0.3467715503113733
DAPT,XGBOOST,42,0.1,400,IID_BALANCED,2116,0.02,0.9385442137718202,0.01990632318501171,0.4481236203090508,1.7845714949999092,0.8689512930357273,0.8616884230688141,0.9284294234592445,0.44139886578449905,0.598334401024984,0.034026465028355386,467,36,1022,591,0.5
DAPT,XGBOOST,42,0.1,400,TEMPORAL,8000,0.02,0.9385442137718202,0.01990632318501171,0.4481236203090508,1.7845714949999092,0.891378540247235,0.8793841874999999,0.9544648137196925,0.4035,0.5672113863995782,0.01925,1614,77,3923,2386,0.5
DAPT,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.02,0.9385442137718202,0.01990632318501171,0.4481236203090508,1.7845714949999092,0.851344216428065,0.851068558502849,0.9275123558484349,0.2918610679108346,0.444006309148265,0.02280974598237429,563,44,1885,1366,0.5
DAPT,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.02,0.9385442137718202,0.01990632318501171,0.4481236203090508,1.7845714949999092,0.8881451739096473,0.8766595172737195,0.9561781609195402,0.3896370023419204,0.5536605657237936,0.017857142857142856,1331,61,3355,2085,0.5
DAPT,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.02,0.9385442137718202,0.01990632318501171,0.4481236203090508,1.7845714949999092,0.8351875191355482,0.8331451050761699,0.9212880143112702,0.2777777777777778,0.42685453791960215,0.023732470334412083,515,44,1810,1339,0.5
DAPT,MLP,42,0.1,400,IID_ORIGINAL,3051,0.005,0.9953033924102784,0.00468384074941452,0.24503311258278146,0.29433037000035256,0.8263416780141808,0.8905405687391693,0.9194139194139194,0.23724007561436672,0.377160030052592,0.011038635223281485,251,22,1971,807,0.3467715503113733
DAPT,MLP,42,0.1,400,IID_BALANCED,2116,0.005,0.9953033924102784,0.00468384074941452,0.24503311258278146,0.29433037000035256,0.8864140450923769,0.8869063146572518,0.9471698113207547,0.23724007561436672,0.3794406651549509,0.013232514177693762,251,14,1044,807,0.5
DAPT,MLP,42,0.1,400,TEMPORAL,8000,0.005,0.9953033924102784,0.00468384074941452,0.24503311258278146,0.29433037000035256,0.9117350075317493,0.9030664374999999,0.9808459696727854,0.30725,0.4679230915667238,0.006,1229,24,3976,2771,0.5
DAPT,MLP,42,0.1,400,DOMAIN_OOD,3858,0.005,0.9953033924102784,0.00468384074941452,0.24503311258278146,0.29433037000035256,0.8779480183053615,0.8752026650606644,0.9733333333333334,0.18921721099015035,0.3168402777777778,0.005184033177812338,365,10,1919,1564,0.5
DAPT,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.005,0.9953033924102784,0.00468384074941452,0.24503311258278146,0.29433037000035256,0.9091005888383092,0.9009964902045204,0.9854085603112841,0.2965456674473068,0.45589558955895587,0.004391100702576112,1013,15,3401,2403,0.5
DAPT,MLP,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.005,0.9953033924102784,0.00468384074941452,0.24503311258278146,0.29433037000035256,0.864587006552688,0.8601430592939374,0.9694189602446484,0.1709816612729234,0.2906923429619441,0.005393743257820928,317,10,1844,1537,0.5
DAPT,MLP,42,0.1,400,IID_ORIGINAL,3051,0.01,0.9883024096488954,0.00936768149882904,0.30022075055187636,0.29433037000035256,0.8263416780141808,0.8905405687391693,0.9181286549707602,0.29678638941398866,0.44857142857142857,0.014049172102358254,314,28,1965,744,0.3467715503113733
DAPT,MLP,42,0.1,400,IID_BALANCED,2116,0.01,0.9883024096488954,0.00936768149882904,0.30022075055187636,0.29433037000035256,0.8864140450923769,0.8869063146572518,0.9429429429429429,0.29678638941398866,0.45147375988497485,0.017958412098298678,314,19,1039,744,0.5
