seed_group,contrast,scenario,metric,target_fpr,review_fraction,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,direct_recall,0.005,0.2,5,0.0016978922716627599,0.16562534909255835,-0.2039531408864978,0.2073489254298233,1.0,0.010251403429277646,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,direct_fpr,0.005,0.2,5,0.001053864168618267,0.001382402687718688,-0.0006626154797421519,0.002770343816978686,0.1875,0.7623423897977281,4,0,1
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,direct_ap,0.005,0.2,5,0.0008250169152656195,0.004409924720307838,-0.004650627844729437,0.006300661675260676,0.6875,0.18708185912253592,3,0,2
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,assisted_recall,0.005,0.2,5,-0.0005269320843091174,0.00647147544271918,-0.008562330156793304,0.0075084659881750684,0.875,-0.08142379415222065,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,review_precision,0.005,0.2,5,-0.0018404957829772917,0.024179110435525834,-0.03186282671936271,0.02818183515340813,0.9375,-0.07611925128035693,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,capture_rate,0.005,0.2,5,-0.0013417961763571684,0.01910028842105041,-0.025057936664083725,0.02237434431136939,0.875,-0.07025004789343264,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,direct_recall,0.005,0.2,5,0.0028047464940668676,0.20978659141910844,-0.25767971137692325,0.263289204365057,1.0,0.013369522213474493,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,direct_fpr,0.005,0.2,5,0.00151024811218986,0.0017226234544413495,-0.0006286714136513696,0.0036491676380310894,0.1875,0.8767140075192095,4,0,1
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,direct_ap,0.005,0.2,5,0.0002801440104922337,0.004944385493019963,-0.005859121449431636,0.006419409470416103,0.875,0.056659014732511385,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,assisted_recall,0.005,0.2,5,-0.0012944983818770294,0.005306741694174237,-0.007883688491300042,0.005294691727545984,0.6875,-0.24393468845452473,1,0,4
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,review_precision,0.005,0.2,5,-0.004307694084276581,0.018524602106219454,-0.027309025600618944,0.018693637432065778,0.6875,-0.23253908826631775,1,0,4
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,capture_rate,0.005,0.2,5,-0.0026577420882311965,0.012422407406789958,-0.0180821981362621,0.012766713959799706,0.75,-0.21394742590542495,1,0,4
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,direct_recall,0.005,0.2,5,-0.05774999999999999,0.07836592850212395,-0.1550541521068977,0.03955415210689774,0.25,-0.736927400770027,1,0,4
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,direct_fpr,0.005,0.2,5,-0.0008500000000000001,0.001859099244257821,-0.0031583766006827666,0.0014583766006827665,0.375,-0.4572106640489396,2,0,3
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,direct_ap,0.005,0.2,5,0.0018260782379247997,0.0034394024545605067,-0.0024445039652366473,0.006096660441086247,0.375,0.5309289221165423,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,assisted_recall,0.005,0.2,5,0.0011499999999999623,0.0032910864467527784,-0.0029364235559093204,0.0052364235559092445,0.5625,0.34942868217109113,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,review_precision,0.005,0.2,5,0.0042378910122901296,0.01234340992314761,-0.011088476704353378,0.019564258728933637,0.5625,0.3433322751716127,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,capture_rate,0.005,0.2,5,0.0032803599081214106,0.009939361270005989,-0.009060987145985893,0.015621706962228712,0.5625,0.3300372950544169,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,direct_recall,0.005,0.2,5,-0.07900466562986004,0.09899711866243492,-0.20192582379891172,0.04391649253919162,0.1875,-0.7980501523408363,1,0,4
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,direct_fpr,0.005,0.2,5,-0.0009331259720062209,0.002300916642941643,-0.00379009133041473,0.001923839386402288,0.4375,-0.4055453181533996,2,0,3
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,direct_ap,0.005,0.2,5,0.001659551892629052,0.0021957514491746707,-0.0010668336308148837,0.004385937416072988,0.25,0.7558013422934718,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,assisted_recall,0.005,0.2,5,0.0012441679626749914,0.005566502724954323,-0.005667558066803954,0.008155893992153936,0.875,0.22350980932739967,2,0,3
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,review_precision,0.005,0.2,5,0.004044640819475287,0.01975407044611951,-0.020483277271452327,0.028572558910402904,0.875,0.20474974160425835,2,0,3
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,capture_rate,0.005,0.2,5,0.0021155760862083817,0.013732936977151687,-0.014936117347922127,0.01916726952033889,0.875,0.15405124844948992,2,0,3
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,direct_recall,0.005,0.2,5,-0.060304449648711955,0.08008701070976121,-0.15974560757078193,0.03913670827335801,0.25,-0.7529866468266357,1,0,4
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,direct_fpr,0.005,0.2,5,-0.0007025761124121782,0.001611400344791907,-0.0027033939072334257,0.001298241682409069,0.4375,-0.4360034517076558,2,0,3
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,direct_ap,0.005,0.2,5,0.0018993364416771685,0.0034122447034792545,-0.0023375249596945084,0.0061361978430488455,0.4375,0.5566237496802421,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,assisted_recall,0.005,0.2,5,0.0007611241217798659,0.003968760498848346,-0.004166742907133347,0.005688991150693079,0.75,0.19177879894761315,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,review_precision,0.005,0.2,5,0.0028381471322210363,0.015006802709315733,-0.015795259520083052,0.021471553784525123,0.75,0.18912403842420128,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,capture_rate,0.005,0.2,5,0.002357131282859437,0.012405036957909477,-0.013045756504163933,0.017760019069882806,0.75,0.19001404758867124,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,direct_recall,0.005,0.2,5,-0.07864077669902912,0.10443365082930803,-0.2083122811347638,0.05103072773670557,0.25,-0.7530214262791964,1,0,4
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,direct_fpr,0.005,0.2,5,-0.00075512405609493,0.0019297242524270025,-0.0031511931867942164,0.0016409450746043563,0.4375,-0.3913118960624633,2,0,3
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,direct_ap,0.005,0.2,5,0.0017335170474704232,0.0030893126274776452,-0.0021023712212648524,0.005569405316205699,0.375,0.5611335777582993,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,assisted_recall,0.005,0.2,5,0.0017259978425026913,0.0053721249613759405,-0.004944376315889613,0.008396372000894997,0.75,0.32128773156099827,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,review_precision,0.005,0.2,5,0.005957221176684113,0.018641652851861,-0.017189448036484263,0.02910389038985249,0.6875,0.3195650741929465,3,0,2
REPLICATION5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,capture_rate,0.005,0.2,5,0.0038720268541271976,0.012176119007826705,-0.011246621755735788,0.018990675463990185,0.6875,0.31800172547905386,3,0,2
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,direct_recall,0.005,0.2,10,-0.028775000000000002,0.12638567792013988,-0.11918586751819013,0.06163586751819012,0.48828125,-0.22767611388833348,3,0,7
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,direct_fpr,0.005,0.2,10,-5e-05,0.0017029386365926401,-0.001268208914160913,0.0011682089141609132,0.962890625,-0.029361010975735177,6,0,4
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,direct_ap,0.005,0.2,10,0.00141626140420259,0.0039925308574219245,-0.0014398231170257322,0.004272345925430913,0.2890625,0.3547277290468094,6,0,4
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,assisted_recall,0.005,0.2,10,0.0004749999999999699,0.00436120842071195,-0.002644820562210825,0.003594820562210765,0.75,0.10891476723380904,5,0,5
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,review_precision,0.005,0.2,10,0.001775368254957066,0.016440988813025022,-0.009985806633717426,0.013536543143631556,0.73828125,0.10798427486007219,5,0,5
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,capture_rate,0.005,0.2,10,0.0013716670958982657,0.013385783367905399,-0.008203945478396724,0.010947279670193254,0.75,0.10247193296038702,5,0,5
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,direct_recall,0.005,0.2,10,-0.040798341109383116,0.1618715777874833,-0.15659429216288806,0.07499760994412184,0.44140625,-0.2520414125013727,3,0,7
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,direct_fpr,0.005,0.2,10,0.0002073613271124936,0.002295069323087471,-0.0014344323628801134,0.0018491550171051007,0.833984375,0.09035079029052515,6,0,4
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,direct_ap,0.005,0.2,10,0.0009545262842815983,0.0034870484677990703,-0.0015399579186745262,0.003449010487237723,0.408203125,0.2737347338576195,5,0,5
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,assisted_recall,0.005,0.2,10,0.0003110419906687589,0.005487353467399554,-0.0036143742078345756,0.004236458189172093,0.88671875,0.05668342535553138,3,0,7
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,review_precision,0.005,0.2,10,0.0009742508892257917,0.01953547778007627,-0.013000588052533534,0.014949089830985116,0.880859375,0.049870850367396954,3,0,7
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,capture_rate,0.005,0.2,10,0.0003816657391370271,0.013676980629910884,-0.00940225680753848,0.010165588285812535,0.921875,0.027905701518823742,3,0,7
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,direct_recall,0.005,0.2,10,-0.029303278688524597,0.12692669283875657,-0.1201011649649899,0.0614946075879407,0.482421875,-0.23086773974132063,3,0,7
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,direct_fpr,0.005,0.2,10,0.0001756440281030444,0.0016912618300775407,-0.0010342118018774027,0.0013854998580834915,0.78515625,0.10385383562697179,6,0,4
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,direct_ap,0.005,0.2,10,0.001362176678471394,0.0037601537488200667,-0.001327675273324987,0.004052028630267775,0.27734375,0.36226621820951976,6,0,4
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,assisted_recall,0.005,0.2,10,0.00011709601873537423,0.005106335271958816,-0.003535756182352213,0.003769948219822961,0.95703125,0.022931517908430562,5,0,5
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,review_precision,0.005,0.2,10,0.0004988256746218722,0.019131295724424822,-0.013186878842350626,0.01418453019159437,0.927734375,0.026073805026442833,5,0,5
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPLATE_OOD,capture_rate,0.005,0.2,10,0.0005076675532511343,0.015308055249330576,-0.010443055486608553,0.011458390593110821,0.921875,0.03316342572472324,5,0,5
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,direct_recall,0.005,0.2,10,-0.03791801510248113,0.1620187364266642,-0.15381923710479997,0.07798320689983773,0.474609375,-0.23403475387332287,3,0,7
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,direct_fpr,0.005,0.2,10,0.0003775620280474651,0.0020974812057662543,-0.0011228856376781754,0.0018780096937731055,0.630859375,0.18000734738861876,6,0,4
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,direct_ap,0.005,0.2,10,0.0010068305289813284,0.003961536382895662,-0.0018270818808471523,0.003840742938809809,0.44140625,0.254151529020009,5,0,5
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,assisted_recall,0.005,0.2,10,0.00021574973031283085,0.005279871943323302,-0.00356124312707757,0.003992742587703232,0.92578125,0.04086268239623854,4,0,6
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,review_precision,0.005,0.2,10,0.0008247635462037661,0.018336695540966633,-0.012292518242032315,0.013942045334439846,0.8828125,0.044978853706827054,4,0,6
POOLED10,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_TEMPLATE_OOD,capture_rate,0.005,0.2,10,0.0006071423829480005,0.01209633105805037,-0.008046051576549576,0.009260336342445578,0.873046875,0.050192275660637956,4,0,6
